Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Cresta,https://www.crunchbase.com/organization/cresta,101-250,Active,https://www.cresta.com/,pro@cresta.ai,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Automotive, Customer Service, Intelligent Systems, Machine Learning, Natural Language Processing, Retail, Software, Telecommunications",9,2,,Scientific and technological services,159772,USD,159772,,,"San Francisco, California, United States",,2017-01-01,year,"Five9, JP Morgan Chase, Zoom, CarMax, Genesys",https://www.linkedin.com/company/cresta-inc/
Splunk,https://www.crunchbase.com/organization/splunk,5001-10000,Active,https://www.splunk.com,info@splunk.com,+1 415.848.8400,3,3,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering","Analytics, Information Technology, Intelligent Systems, Real Time","1,725",51,Computing; Calculating,Scientific and technological services,,,,,,"San Francisco, California, United States",$1B to $10B,2003-01-01,year,"Silver Lake, TCV, August Capital, Ignition Partners, Akkadian Ventures",http://www.linkedin.com/company/splunk
DataSnipper,https://www.crunchbase.com/organization/datasnipper,101-250,Active,https://www.datasnipper.com,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Professional Services, Science and Engineering, Software","Accounting, Database, Finance, Information Services, Intelligent Systems, Software",,,,,,,,,,"Amsterdam, Noord-Holland, The Netherlands",,2017-01-01,year,"Insight Partners, Index Ventures",https://www.linkedin.com/company/datasnipper
Recorded Future,https://www.crunchbase.com/organization/recorded-future,1001-5000,Active,http://www.recordedfuture.com/,info@recordedfuture.com,+1-617-553-6400,2,2,1,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Privacy and Security, Science and Engineering","Analytics, Cyber Security, Intelligent Systems, Real Time",,,,,15431583,USD,15431583,,,"Somerville, Massachusetts, United States",$1M to $10M,2009-01-01,year,"Employee Stock Option Fund, MassMutual Ventures, Google Ventures, Insight Partners, REV",http://www.linkedin.com/company/recorded-future
Robovision,https://www.crunchbase.com/organization/robovision,101-250,Active,https://robovision.ai/,info@robovision.eu,,,,,,,,,,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","AgTech, Artificial Intelligence (AI), Computer Vision, Enterprise Software, Intelligent Systems, Machine Learning, PaaS, Robotics, SaaS, Software",0,1,,Scientific and electric apparatus and instruments,1200654,USD,1200654,,,"Ghent, Oost-Vlaanderen, Belgium",$10M to $50M,2009-01-01,year,"Target Global, Astanor Ventures, Red River West",https://www.linkedin.com/company/robovisionai/about/
UpGuard,https://www.crunchbase.com/organization/upguard,51-100,Active,https://www.upguard.com/,press@upguard.com,(850)956-1511,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Privacy and Security, Science and Engineering, Software","Cyber Security, Enterprise Software, Insurance, Intelligent Systems, SaaS, Software, Test and Measurement",15,5,Electric Communication Technique,Scientific and electric apparatus and instruments,1410061,USD,1410061,,,"San Francisco, California, United States",$10M to $50M,2012-01-01,year,"500 Global, Cicada Innovations, Valar Ventures, IAG Capital Partners, Pelion Venture Partners",https://in.linkedin.com/company/upguard
Apprentice.io,https://www.crunchbase.com/organization/apprentice,101-250,Active,http://apprentice.io,kristen.kucks@apprentice.io,201-819-1575,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Manufacturing, Science and Engineering, Software","Enterprise Software, Intelligent Systems, Life Science, Manufacturing, Pharmaceutical, Software",10,4,,Scientific and technological services,1439612,USD,1439612,,,"Jersey City, New Jersey, United States",$1M to $10M,2014-01-01,year,"ICONIQ Growth, Silverton Partners, Pritzker Group Venture Capital, GFR Fund, The Venture Reality Fund/VRF",https://www.linkedin.com/company/apprentice-field-suite
Featurespace,https://www.crunchbase.com/organization/featurespace,251-500,Active,https://www.featurespace.com/,info@featurespace.com,44 (0) 1223 345940,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Payments, Privacy and Security, Professional Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Banking, Fraud Detection, Intelligent Systems, Machine Learning, Payments, Risk Management, Software",7,11,Computing; Calculating,Advertising; business,,,,,,"Cambridge, Cambridgeshire, United Kingdom",$1M to $10M,2008-01-01,year,"IP Group, Worldpay, TTV Capital, Highland Europe, MissionOG",https://www.linkedin.com/company/featurespace/
VERSES,https://www.crunchbase.com/organization/verses,101-250,Active,https://www.verses.io/,info@verses.io,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Intelligent Systems, Internet of Things",1,9,Computing; Calculating,Scientific and technological services,406236,USD,406236,,,"Los Angeles, California, United States",Less than $1M,2018-01-01,year,"Pyfera Growth Capital, DecentraNet",https://www.linkedin.com/company/helloverses/
Kayrros,https://www.crunchbase.com/organization/kayrros,101-250,Active,https://www.kayrros.com/,contact@kayrros.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Energy, Hardware, Information Technology, Internet Services, Natural Resources, Navigation and Mapping, Other, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Energy, Geospatial, GPS, Image Recognition, Information Technology, Intelligent Systems, Machine Learning, Oil and Gas, Predictive Analytics, Real Time, Semantic Search",18,2,Computing; Calculating,Advertising; business,1204898,USD,1204898,,,"Paris, Ile-de-France, France",Less than $1M,2016-01-01,year,"Bpifrance, European Investment Bank, Cathay Innovation, Korelya Capital, Index Ventures",https://www.linkedin.com/company/kayrros/
