Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
MicroAge,https://www.crunchbase.com/organization/microage,251-500,Active,https://microage.com,employment@microage.com,+1 480 366 2000,,,,,,,,,"Financial Services, Hardware, Information Technology, Internet Services, Payments, Privacy and Security, Professional Services","Cloud Data Services, Cloud Infrastructure, Cloud Security, Consulting, Data Center, Fraud Detection, Identity Management, Information Technology, Intrusion Detection, Penetration Testing",,,,,3918387,USD,3918387,,,"Tempe, Arizona, United States",$100M to $500M,1976-01-01,year,,https://www.linkedin.com/company/microage/
Evolv Technology,https://www.crunchbase.com/organization/evolv-technologies,251-500,Active,http://www.evolvtechnology.com,info@evolvtechnology.com,+1 781 374 8100,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Intrusion Detection, Machine Learning, Physical Security",21,7,Testing,Scientific and electric apparatus and instruments,2191902,USD,2191902,,,"Waltham, Massachusetts, United States",$50M to $100M,2013-01-01,year,"Motorola Solutions, DCVC, Horizons Ventures, General Catalyst, Finback Investment Partners",https://www.linkedin.com/company/evolv-technology
TEHTRIS,https://www.crunchbase.com/organization/tehtris,251-500,Active,https://tehtris.com/,contact@tehtris.com,+33(0)188335333,,,,,,,,,"Information Technology, Privacy and Security, Professional Services","Cloud Security, Consulting, Cyber Security, Intrusion Detection, Network Security, Penetration Testing",,,,,8673290,USD,8673290,,,"Pessac, Aquitaine, France",$50M to $100M,2010-04-01,day,"Jolt Capital, Ace Capital Partners, Open CNP, AQUITI Gestion, Tikehau Ace Capital",https://www.linkedin.com/company/tehtris/
Norbain,https://www.crunchbase.com/organization/norbain,251-500,Active,http://www.norbain.com/,export@norbain.com,44 11 8912 5000,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Privacy and Security","Electronics, Intrusion Detection, Security",,,,,2319875,USD,2319875,,,"Blackpool, Blackpool, United Kingdom",$50M to $100M,1990-01-01,year,,https://www.linkedin.com/company/norbain-sd-ltd
Securiton,https://www.crunchbase.com/organization/securiton,251-500,Active,https://www.securiton.de/,info@securiton.de,+49 7841 62230,,,,,,,,,"Financial Services, Information Technology, Payments, Privacy and Security","Fraud Detection, Intrusion Detection, Security",2,0,Signalling,,5237524,USD,5237524,,,"Achern, Baden-Wurttemberg, Germany",$50M to $100M,1978-01-01,year,,https://www.linkedin.com/company/securiton-deutschland/
Blackbird.AI,https://www.crunchbase.com/organization/socialtrendly-inc,51-100,Active,http://www.blackbird.ai,info@blackbird.ai,1.212.547.9408,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Intrusion Detection, Machine Learning, Security",0,2,,Scientific and technological services,826593,USD,826593,,,"New York, New York, United States",$10M to $50M,2017-08-05,day,"Centrality, Ten Eleven Ventures, Dorilton Capital, Trousdale Ventures, Nex Cubed",https://www.linkedin.com/company/blackbird-ai
TXOne Networks,https://www.crunchbase.com/organization/txone-networks,251-500,Active,https://www.txone.com/,support@txone.com,,,,,,,,,,"Information Technology, Internet Services, Privacy and Security","Cyber Security, Internet of Things, Intrusion Detection, Network Security",1,22,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Taipei, T'ai-pei, Taiwan",$10M to $50M,2019-04-01,day,"Trend Micro, MediaTek, JAFCO Asia, TGVest Capital, Purestone Capital",https://www.linkedin.com/company/txone-networks/
Openpath,https://www.crunchbase.com/organization/openpath-security-inc,51-100,Active,https://www.openpath.com,info@openpath.com,844-673-6728,,,,,,,,,"Administrative Services, Consumer Electronics, Hardware, Information Technology, Privacy and Security, Real Estate","Hardware, Identity Management, Intrusion Detection, Physical Security, Property Management, Smart Home",,,,,200782,USD,200782,,,"Culver City, California, United States",$10M to $50M,2016-01-01,year,"Emergence, Fika Ventures, Touchdown Ventures, Bonfire Ventures, Sorenson Capital",https://www.linkedin.com/company/openpath-security/
SOC Prime,https://www.crunchbase.com/organization/soc-prime,101-250,Active,https://socprime.com,sales@socprime.com,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Software","Cloud Security, Cyber Security, Data Integration, Fraud Detection, Intrusion Detection, Marketplace, Predictive Analytics, SaaS",0,14,,Scientific and technological services,2163788,USD,2163788,,,"Boston, Massachusetts, United States",$10M to $50M,2015-01-01,year,"DNX Ventures, Rembrandt Venture Partners, Streamlined Ventures",https://www.linkedin.com/company/soc-prime
Security On-Demand,https://www.crunchbase.com/organization/security-on-demand,51-100,Active,http://www.securityondemand.com,info@securityondemand.com,(888) 722-6364,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Intrusion Detection, Machine Learning, Network Security",1,7,Computing; Calculating,Scientific and technological services,1699249,USD,1699249,,,"San Diego, California, United States",$10M to $50M,2002-02-21,day,,https://www.linkedin.com/company/398834
