Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Faculdades Promove,https://www.crunchbase.com/organization/faculdades-promove,501-1000,Active,https://faculdadepromove.br,comunicacao@somospromove.com.br,55-800-031-2103,,,,,,,,,"Education, Software","E-Learning, Education, MOOC",,,,,,,,,,"Belo Horizonte, Minas Gerais, Brazil",$100M to $500M,,,,https://www.linkedin.com/company/faculdade-promove-de-minas-gerais
Edflex,https://www.crunchbase.com/organization/my-mooc,51-100,Active,https://www.edflex.com/,contact@edflex.com,,,,,,,,,,"Education, Software","E-Learning, EdTech, Education, MOOC, Personal Development, SaaS, Training",0,2,,Education; entertainment,862804,USD,862804,,,"Paris, Ile-de-France, France",$10M to $50M,2016-03-01,month,"Bpifrance, Crédit Mutuel Arkéa, Wille Finance, Educapital, MAIF Avenir",https://www.linkedin.com/company/9247198/
Schoo,https://www.crunchbase.com/organization/schoo,101-250,Active,http://schoo.jp,support@schoo.jp,,,,,,,,,,"Education, Internet Services, Software","Education, Internet, MOOC",,,,,,,,,,"Tokyo, Tokyo, Japan",$10M to $50M,2011-10-03,day,"ANRI, Incubate Fund, Mitsubishi UFJ Capital, ITOCHU Technology Ventures, Global Brain Corporation",https://www.linkedin.com/company/schoo
Liaison International,https://www.crunchbase.com/organization/liaison-international,501-1000,Active,http://www.liaisonedu.com,info@liaisonedu.com,+1 617 926 0504,,,,,,,,,"Apps, Education, Information Technology, Sales and Marketing, Science and Engineering, Software","Continuing Education, CRM, Direct Marketing, EdTech, Enterprise Applications, Higher Education, MOOC, STEM Education",1,2,Electric Communication Technique,Scientific and technological services,4940575,USD,4940575,,,"Watertown, Massachusetts, United States",$10M to $50M,1991-01-01,year,Polaris Partners,https://www.linkedin.com/company/47093
eQuilibrium,https://www.crunchbase.com/organization/equilibrium-3,1-10,Active,https://www.equilibrium-learning.com/,contact@equilibrium-learning.com,+40 31 426 1014,,,,,,,,,"Education, Software","Corporate Training, E-Learning, MOOC, Training",,,,,,,,,,"Bucharest, Bucuresti, Romania",$10M to $50M,2016-01-01,year,THE Q AGENCY,https://www.linkedin.com/company/equilibriumeducation/
UniDistance Suisse,https://www.crunchbase.com/organization/unidistance-suisse,101-250,Active,https://unidistance.ch,studentservices@unidistance.ch,41 27 922 70 50,,,,,,,,,"Education, Other, Software","Education, MOOC, Training, Universities",,,,,3643752,USD,3643752,,,"Brig, Valais, Switzerland",$10M to $50M,,,,https://www.linkedin.com/school/unidistance/
CloudRoom,https://www.crunchbase.com/organization/cloudroom,1-10,Active,http://www.cloudroom.co,contact@cloudroom.co,,,,,,,,,,"Education, Software","Corporate Training, Education, Enterprise Software, MOOC",,,,,367360,USD,367360,,,"Madrid, Madrid, Spain",$10M to $50M,2015-02-01,day,,https://www.linkedin.com/company/cloudroom
Korbit Technologies,https://www.crunchbase.com/organization/korbit-ai,11-50,Active,https://www.korbit.ai/,success@korbit.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Corporate Training, Education, Information Technology, Machine Learning, MOOC, Natural Language Processing, Software",0,2,,Scientific and electric apparatus and instruments,702150,USD,702150,,,"Montréal, Quebec, Canada",$1M to $10M,2017-12-31,day,"Jobs for the Future, Alumni Ventures, Khosla Ventures, Real Ventures, Merus Capital",https://www.linkedin.com/company/korbit-tech/
Jovian,https://www.crunchbase.com/organization/jovian,11-50,Active,https://jovian.com,support@jovian.ai,,,,,,,,,,"Education, Software","E-Learning, Education, MOOC",,,,,,,,,,"Bengaluru, Karnataka, India",$1M to $10M,2019-01-01,year,"Y Combinator, Sprint Vc, Axilor Ventures, Silicon Valley Bank, Arka Venture Labs",https://www.linkedin.com/school/jovianhq
Cognii,https://www.crunchbase.com/organization/cognii,11-50,Active,http://cognii.com,,617-899-1744,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software","Artificial Intelligence (AI), EdTech, Education, Machine Learning, MOOC, Software",,,,,,,,,,"Boston, Massachusetts, United States",$1M to $10M,2013-01-01,year,"LearnLaunch Fund + Accelerator, National Science Foundation",http://www.linkedin.com/company/cognii
