Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Vodafone,https://www.crunchbase.com/organization/vodafone,10001+,Active,http://vodafone.com,info@vodafone.com,+61 1300 100 818,24,25,13,1,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Information Technology, Messaging, Telecommunications",291,156,Electric Communication Technique,Telecommunications,,,,,,"Newbury, West Berkshire, United Kingdom",$10B+,1982-01-01,year,"e&, Atlas Investissement",https://www.linkedin.com/company/vodafone
Royal Mail,https://www.crunchbase.com/organization/royal-mail-8221,10001+,Active,https://www.royalmail.com/,,+44 345 774 0740,1,1,1,,,,,,"Administrative Services, Information Technology, Internet Services, Messaging and Telecommunications","Delivery, Internet, Messaging",2,91,Information Storage,"Transport, packaging and storing",3165795383,USD,3165795383,,,"London, England, United Kingdom",$10B+,1516-01-01,year,"Sky Zero Footprint Fund, Vesa Equity Investment",https://www.linkedin.com/company/royal-mail/
SAP Litmos,https://www.crunchbase.com/organization/litmos,501-1000,Active,http://www.litmos.com,support@litmos.com,(866) 447-2211,,,,,,,,,"Data and Analytics, Design, Education, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software, Video","E-Learning, Education, Market Research, Messaging, Presentations, SaaS, Skill Assessment, Software, Training, Video",,,,,,,,,,"Dublin, California, United States",$10B+,2006-08-01,day,,https://www.linkedin.com/company/litmos
United Parcel Service,https://www.crunchbase.com/organization/united-parcel-service,10001+,Active,http://www.ups.com,,(404)828-6000,9,13,5,2,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Transportation","Logistics, Messaging, Transportation","1,000",425,Computing; Calculating,"Transport, packaging and storing",139981,USD,139981,,,"Atlanta, Georgia, United States",$10B+,1907-01-01,year,,http://www.linkedin.com/company/ups
Radian6,https://www.crunchbase.com/organization/radian6,1001-5000,Active,https://www.salesforce.com,community@radian6.com,1-888-747-9736,,,,,,,,,"Advertising, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Navigation and Mapping, Sales and Marketing, Software, Video","Advertising, CRM, Information Technology, Location Based Services, Messaging, Social Media Management, Social Media Marketing, Software, Video",,,,,,,,,,"Fredericton, Nova Scotia, Canada",$10B+,2006-04-01,day,"BDC Venture Capital, Brightspark Ventures, BDC IT Venture Fund, New Brunswick Innovation Foundation, East Valley Ventures",https://www.linkedin.com/company/salesforce
Optus,https://www.crunchbase.com/organization/optus,5001-10000,Active,http://www.optus.com.au/,,+61 1300 298 011,1,1,,,,,,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Software","Apps, Cyber Security, Messaging, Mobile, Mobile Apps, Telecommunications",0,1,,Advertising; business,,,,,,"Sydney, New South Wales, Australia",$10B+,1981-01-01,year,,http://www.linkedin.com/company/optus
FaceTime Communications,https://www.crunchbase.com/organization/facetime-communications-inc-2,251-500,Active,http://www.facetime.com,info@facetime.com,+1 888 349 3223,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security","Cyber Security, Internet, Messaging, Mobile, Unified Communications",,,,,127449,USD,127449,,,"Foster City, California, United States",$10B+,1998-01-01,year,"Sutter Hill Ventures, Compaq, TH Lee Putnam Ventures, Sumitomo Ventures, Novell Ventures",https://www.linkedin.com/company/facetime-communications
Context Aware Solutions,https://www.crunchbase.com/organization/context-aware-solutions,10001+,Active,http://www8.hp.com,,,,,,,,,,,"Events, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","Concerts, Events, Messaging",,,,,4133215837,USD,4133215837,,,"Palo Alto, California, United States",$10B+,,,NextStart,https://www.linkedin.com/company/hp
Intel IoT Solutions Alliance,https://www.crunchbase.com/organization/intel-iot-solutions-alliance,10001+,Active,https://www.intel.com/content/www/us/en/partner/solutions-alliance/program-overview.html,,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications","Information Technology, Internet of Things, Messaging",,,,,4767758387,USD,4767758387,,,"Santa Clara, California, United States",$10B+,1968-07-18,day,,https://www.linkedin.com/company/intel-corporation/about/
Snap,https://www.crunchbase.com/organization/Snapchat,5001-10000,Active,https://www.snap.com,,+1 310 399-3339,17,17,5,4,,,,,"Apps, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","Apps, Messaging, Mobile, Social Media, Software",37,0,Computing; Calculating,,,,,,,"Venice, California, United States",$1B to $10B,2011-05-01,day,"Alibaba Group, Fidelity, Kingdom Holding Company, Tencent, Yahoo",https://www.linkedin.com/company/snap-inc-co
