Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Meta,https://www.crunchbase.com/organization/facebook,10001+,Active,https://meta.com,,,50,55,27,7,,,,,"Hardware, Internet Services, Media and Entertainment, Software","Augmented Reality, Metaverse, Social Media, Social Network, Virtual Reality","12,285",467,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Menlo Park, California, United States",$10B+,2004-02-04,day,"PayPal, TCV, Horizons Ventures, Meritech Capital Partners, Peter Thiel",https://www.linkedin.com/company/meta
Epic Games,https://www.crunchbase.com/organization/epic-games-2,1001-5000,Active,http://www.epicgames.com,pr@epicgames.com,(919) 854-0070,26,28,12,1,,,,,"Gaming, Media and Entertainment, Software","Developer Platform, Gaming, Metaverse, Software, Video Games",17,341,Computing; Calculating,Scientific and electric apparatus and instruments,276376950,USD,276376950,,,"Cary, North Carolina, United States",$1B to $10B,1991-01-01,year,"Fidelity, The Walt Disney Company, Stableton Financial, Tencent, AXiomatic",https://www.linkedin.com/company/epic-games
Roblox,https://www.crunchbase.com/organization/roblox,1001-5000,Active,https://corp.roblox.com,roblox@thehatchagency.com,888-858-2569,1,1,,,,,,,"Gaming, Hardware, Media and Entertainment, Software","3D Technology, Gaming, Metaverse, Online Games, Software, Video Games",207,24,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"San Mateo, California, United States",$1B to $10B,2004-01-01,year,"Employee Stock Option Fund, Warner Music Group, Tencent, Andreessen Horowitz, Dragoneer Investment Group",https://www.linkedin.com/company/roblox
Unity,https://www.crunchbase.com/organization/unity-technologies,5001-10000,Active,https://unity.com,info@unity3d.com,+1 (415) 539-3162,2,2,1,,,,,,"Apps, Hardware, Media and Entertainment, Mobile, Software","Augmented Reality, Developer Platform, Metaverse, Mobile Apps, Virtual Reality",,,,,126083,USD,126083,,,"San Francisco, California, United States",$1B to $10B,2004-08-02,day,"Silver Lake, Thrive Capital, Sequoia Capital, DFJ Growth, Canada Pension Plan Investment Board",http://www.linkedin.com/company/unity-technologies
Animoca Brands,https://www.crunchbase.com/organization/animoca-brands-corporation,101-250,Active,https://www.animocabrands.com,press@animocabrands.com,+852 2534 0888,293,322,126,12,,,,,"Apps, Blockchain and Cryptocurrency, Gaming, Media and Entertainment, Other, Software","Apps, Blockchain, Casual Games, Developer Platform, Metaverse, Video Games",0,12,,Scientific and electric apparatus and instruments,,,,,,"Cyberport, Hong Kong Island, Hong Kong",$500M to $1B,2014-01-01,year,"Hashed, Ubisoft, Mirae Asset, ThunderCore, Outlier Ventures",https://www.linkedin.com/company/animoca-brands
Barça Studios,https://www.crunchbase.com/organization/barça-studios,101-250,Active,https://www.fcbarcelona.com/en/card/2035434/barca-studios,,,,,,,,,,,"Media and Entertainment, Sales and Marketing, Software","Content, Digital Marketing, Metaverse",,,,,86100000,USD,86100000,,,"Barcelona, Catalonia, Spain",$500M to $1B,1899-01-01,year,"Chiliz, Orpheus Media",https://www.linkedin.com/company/fc-barcelona
ZEGOCLOUD,https://www.crunchbase.com/organization/zego-2bef,501-1000,Active,https://www.zegocloud.com,marketing@zegocloud.com,,,,,,,,,,"Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Other, Software, Video","Collaboration, Internet, Metaverse, Video, Video Conferencing",,,,,,,,,,"Singapore, Central Region, Singapore",$100M to $500M,2015-01-01,year,"Tencent, Qiming Venture Partners, IDG Capital",https://www.linkedin.com/company/zegocloud/
Discord,https://www.crunchbase.com/organization/discord,1001-5000,Active,https://discord.com,jason@hammerandchisel.com,888-594-0085,,,,,,,,,"Advertising, Apps, Blockchain and Cryptocurrency, Clothing and Apparel, Community and Lifestyle, Design, Gaming, Internet Services, Media and Entertainment, Other, Sales and Marketing, Software","Advertising, Apps, Blockchain, Communities, Fashion, Gaming, Internet, Metaverse, Software, Web3",4,14,,Telecommunications,,,,,,"San Francisco, California, United States",$100M to $500M,2015-01-01,year,"Fidelity, Tencent, Franklin Templeton, Dragoneer Investment Group, General Catalyst",https://www.linkedin.com/company/discord
Improbable,https://www.crunchbase.com/organization/improbable,501-1000,Active,http://www.improbable.io,contact@improbable.io,+44 20 8099 5349,2,2,,,,,,,"Community and Lifestyle, Gaming, Information Technology, Media and Entertainment, Software","Gamification, Gaming, Information Technology, Metaverse, Software, Virtual World",26,25,Computing; Calculating,Scientific and electric apparatus and instruments,51182,USD,51182,,,"London, England, United Kingdom",$100M to $500M,2012-01-01,year,"Elrond, Valour, Andreessen Horowitz, Horizons Ventures, Amadeus Capital Partners",https://www.linkedin.com/company/improbable
Mobiloitte,https://www.crunchbase.com/organization/mobiloitte,501-1000,Active,https://www.mobiloitte.com/,connect@mobiloitte.com,9999525801,,,,,,,,,"Apps, Blockchain and Cryptocurrency, Financial Services, Gaming, Information Technology, Internet Services, Media and Entertainment, Mobile, Other, Software","Blockchain, Cloud Computing, Cloud Management, DevOps, Foreign Exchange Trading, Gaming, Metaverse, Mobile Apps, Smart Contracts, Web Apps",,,,,,,,,,"New Delhi, Delhi, India",$100M to $500M,2004-03-27,day,,https://www.linkedin.com/company/mobiloitte
