Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Didi,https://www.crunchbase.com/organization/didi-dache,10001+,Active,https://www.didiglobal.com,support@didiglobal.com,+86 1083043181,25,30,8,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Mobile, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), InsurTech, Mobile Apps, Public Transportation, Ride Sharing, Transportation",,,,,,,,,,"Haidian, Beijing, China",$10B+,2012-09-01,day,"Citi, Silver Lake, SoftBank, Alibaba Group, Ant Group",https://www.linkedin.com/company/didiglobal
Uber Freight,https://www.crunchbase.com/organization/uber-freight,10001+,Active,https://www.uberfreight.com,freight@uber.com,,,,,,,,,,"Apps, Mobile, Software, Transportation","Apps, Logistics, Mobile Apps, Supply Chain Management",,,,,2459562793,USD,2459562793,,,"San Francisco, California, United States",$10B+,2017-01-01,year,"GCM Grosvenor, Greenbriar Equity Group, Abu Dhabi Growth Fund, D1 Capital Partners",https://www.linkedin.com/showcase/uber-freight/
Sberbank,https://www.crunchbase.com/organization/sberbank,10001+,Active,http://www.sberbank.ru,media@sberbank.ru,,25,26,11,,,,,,"Apps, Financial Services, Lending and Investments, Mobile, Payments, Software","Banking, Finance, Financial Services, Mobile Apps, Payments",,,,,,,,,,"Moscow, Moscow City, Russian Federation",$10B+,1841-01-01,year,Bank of Russia,https://www.linkedin.com/company/25880
América Móvil,https://www.crunchbase.com/organization/amrica-mvil,10001+,Active,http://www.americamovil.com,"araceli.ruiz@americamovil.com, enrique.deleon@americamovil.com",866-254-7069,2,3,1,,,,,,"Apps, Internet Services, Mobile, Software","Internet, Mobile, Mobile Apps",171,115,Electric Communication Technique,Telecommunications,,,,,,"Mexico City, Distrito Federal, Mexico",$10B+,2000-12-11,day,,http://www.linkedin.com/company/am-rica-m-vil
DoorDash,https://www.crunchbase.com/organization/doordash,10001+,Active,http://www.doordash.com,support@doordash.com,+1 650 681 9470,4,5,1,,,,,,"Administrative Services, Apps, Commerce and Shopping, Food and Beverage, Internet Services, Mobile, Software, Transportation","Apps, Delivery, E-Commerce Platforms, Food Delivery, Logistics, Mobile Apps, Online Portals, Software",237,75,Computing; Calculating,Advertising; business,507930541,USD,507930541,,,"San Francisco, California, United States",$10B+,2013-01-01,month,"Fidelity, Wellcome Trust, Pear VC, Dragoneer Investment Group, T. Rowe Price",http://www.linkedin.com/company/doordash
Getir,https://www.crunchbase.com/organization/getir,5001-10000,Active,https://getir.uk,info@getir.com,+90 (850) 532 50 50,1,1,1,,,,,,"Apps, Commerce and Shopping, Mobile, Software, Transportation","Delivery Service, E-Commerce, Logistics, Mobile Apps",0,26,,Advertising; business,,,,,,"London, England, United Kingdom",$10B+,2015-07-09,day,"Silver Lake, Mubadala, Alpha Wave Global, G Squared, Sequoia Capital",https://www.linkedin.com/company/getir
Rocket Money,https://www.crunchbase.com/organization/truebill,101-250,Active,https://www.rocketmoney.com/,,+1 310-990-2803,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Financial Services, Mobile, Payments, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Education, Financial Services, Mobile, Mobile Apps, Mobile Payments, Payments, Personal Finance, Task Management",0,4,,Insurance; financial affairs,,,,,,"Silver Spring, Maryland, United States",$10B+,2015-01-01,year,"Social Capital, Y Combinator, Cota Capital, ACME Capital, Eldridge Industries",https://www.linkedin.com/company/rocketmoney/
Samsung Electronics,https://www.crunchbase.com/organization/samsung-electronics,10001+,Active,http://www.samsung.com,,+82 312001114,54,56,22,3,,,,,"Apps, Consumer Electronics, Financial Services, Hardware, Manufacturing, Mobile, Payments, Software","Consumer Electronics, Electronics, Manufacturing, Mobile, Mobile Apps, Mobile Devices, Mobile Payments, Software","135,752","3,604",Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$10B+,1969-02-12,day,KB Securities,https://www.linkedin.com/company/samsung-electronics
Aiming,https://www.crunchbase.com/organization/aiming,501-1000,Active,http://aiming-inc.com/en,,81 3 5333 8424,,,,,,,,,"Apps, Gaming, Mobile, Software","Gaming, Mobile Apps, Online Games",0,3,,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$10B+,2011-05-12,day,"Alibaba Group, SMBC Venture Capital, JAFCO, Incubate Fund, Mizuho Capital",https://www.linkedin.com/company/aiming-inc-/
Angel One,https://www.crunchbase.com/organization/angel-broking,5001-10000,Active,https://www.angelone.in,partners@angelbroking.com,+917045013013,,,,,,,,,"Apps, Financial Services, Mobile, Software","Finance, Financial Services, Mobile Apps, Wealth Management",,,,,,,,,,"Mumbai, Maharashtra, India",$10B+,1987-01-01,year,,https://www.linkedin.com/company/angelone
