Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
PayPal,https://www.crunchbase.com/organization/paypal,10001+,Active,https://www.paypal.com/home,spoof@paypal.com,(408)967-1000,33,34,10,3,,,,,"Commerce and Shopping, Financial Services, Internet Services, Mobile, Payments, Software","E-Commerce Platforms, FinTech, Mobile Payments, Transaction Processing","3,081",243,Computing; Calculating,Insurance; financial affairs,2743824717,USD,2743824717,,,"San Jose, California, United States",$10B+,1998-12-01,day,"Singtel, Sequoia Capital, Qualcomm Ventures, Peter Thiel, Goldman Sachs",http://www.linkedin.com/company/paypal
Stripe,https://www.crunchbase.com/organization/stripe,5001-10000,Active,https://www.stripe.com,info@stripe.com,+1 415 298 5539,43,66,32,8,,,,,"Financial Services, Mobile, Payments, Software","Finance, FinTech, Mobile Payments, SaaS",298,89,Computing; Calculating,Scientific and technological services,113449986,USD,113449986,,,"South San Francisco, California, United States",$10B+,2010-01-01,year,"Fidelity, Thrive Capital, National Treasury Management Agency (NTMA), Visa, Baillie Gifford",https://www.linkedin.com/company/stripe
Amazon Pay,https://www.crunchbase.com/organization/amazon-payments,10001+,Active,https://pay.amazon.com,,+1 206-266-1000,,,,,,,,,"Commerce and Shopping, Financial Services, Internet Services, Mobile, Payments, Software","E-Commerce, Internet, Mobile Payments, Online Portals, Payments",,,,,8659987,USD,8659987,,,"Seattle, Washington, United States",$10B+,2007-01-01,year,"Amazon, Amazon.com.incs Ltd, Amazon Corporate Holdings",https://www.linkedin.com/showcase/amazon-pay/
Rocket Money,https://www.crunchbase.com/organization/truebill,101-250,Active,https://www.rocketmoney.com/,,+1 310-990-2803,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Financial Services, Mobile, Payments, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Education, Financial Services, Mobile, Mobile Apps, Mobile Payments, Payments, Personal Finance, Task Management",0,4,,Insurance; financial affairs,,,,,,"Silver Spring, Maryland, United States",$10B+,2015-01-01,year,"Social Capital, Y Combinator, Cota Capital, ACME Capital, Eldridge Industries",https://www.linkedin.com/company/rocketmoney/
Visa,https://www.crunchbase.com/organization/visa,5001-10000,Active,https://www.visa.com,,+1-303-967-1096 /  1-800-847-2911,94,106,40,12,,,,,"Financial Services, Information Technology, Lending and Investments, Mobile, Payments, Software","Banking, Finance, Financial Services, Information Technology, Mobile Payments, Payments","3,948",306,Computing; Calculating,Insurance; financial affairs,3018700000,USD,3018700000,,,"Foster City, California, United States",$10B+,1958-01-01,year,TNB Financial Services,https://www.linkedin.com/company/visa
Samsung Electronics,https://www.crunchbase.com/organization/samsung-electronics,10001+,Active,http://www.samsung.com,,+82 312001114,54,56,22,3,,,,,"Apps, Consumer Electronics, Financial Services, Hardware, Manufacturing, Mobile, Payments, Software","Consumer Electronics, Electronics, Manufacturing, Mobile, Mobile Apps, Mobile Devices, Mobile Payments, Software","135,752","3,604",Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$10B+,1969-02-12,day,KB Securities,https://www.linkedin.com/company/samsung-electronics
PagSeguro,https://www.crunchbase.com/organization/pagseguro,5001-10000,Active,https://pagseguro.uol.com.br/,,55 11 3038 8127,,,,,,,,,"Apps, Commerce and Shopping, Financial Services, Gaming, Mobile, Other, Payments, Software","Apps, Financial Services, FinTech, Lending, Mobile Payments, Online Games, Peer to Peer, Point of Sale, Small and Medium Businesses, Software",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$10B+,2006-09-05,day,,https://www.linkedin.com/company/pagseguro-uol/
EDEKA,https://www.crunchbase.com/organization/edeka,10001+,Active,https://www.edeka.de/,info@edeka.de,+49 800 3335211,2,2,,,,,,,"Apps, Commerce and Shopping, Consumer Goods, Financial Services, Food and Beverage, Mobile, Payments, Software","Consumer Goods, Food and Beverage, Grocery, Mobile Apps, Mobile Payments, Retail, Shopping Mall",0,4,,Meats and prepared or preserved foods; dairy products,986684481,USD,986684481,,,"Hamburg, Hamburg, Germany",$10B+,1907-10-21,day,,https://www.linkedin.com/company/edeka-ag/
Paysafe,https://www.crunchbase.com/organization/paysafe,1001-5000,Active,https://www.paysafe.com,pr@paysafe.com,44 (0) 207 608 8460,,,,,,,,,"Financial Services, Mobile, Payments, Professional Services, Software","Financial Services, FinTech, Mobile Payments, Risk Management",0,65,,Insurance; financial affairs,96912893,USD,96912893,,,"London, England, United Kingdom",$1B to $10B,1996-01-01,year,"F&G Annuities & Life, Canada Pension Plan Investment Board, Third Point, Blackstone Group, Chicago Title Insurance Company",https://www.linkedin.com/company/paysafegroup
HUMBL,https://www.crunchbase.com/organization/humbl,11-50,Active,https://www.humblpay.com,social@humblpay.com,,,,,,,,,,"Financial Services, Mobile, Payments, Software","Financial Services, FinTech, Mobile Payments, Software",,,,,320282,USD,320282,,,"San Diego, California, United States",$1B to $10B,2019-01-01,year,"Pacific Lion, CYBERBEAT",https://www.linkedin.com/company/humbl-llc
SumUp,https://www.crunchbase.com/organization/sumup,1001-5000,Active,https://sumup.co.uk,info@sumup.com,1-888-250-2164,,,,,,,,,"Commerce and Shopping, Financial Services, Lending and Investments, Mobile, Payments, Software","Credit Cards, Financial Services, FinTech, Mobile Payments, Point of Sale",3,9,Computing; Calculating,Insurance; financial affairs,,,,,,"London, England, United Kingdom",$1B to $10B,2011-01-01,year,"Groupon, Apollo, Arini, LIQUiDITY Group, Sixth Street",https://www.linkedin.com/company/sumup
