Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Identiv,https://www.crunchbase.com/organization/identiv,251-500,Active,http://www.identiv.com,info@identive-group.com,01524 840112,1,1,1,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cyber Security, Developer Platform, Hardware, Identity Management, Internet of Things, Network Security, NFC, RFID, Security",3,6,Computing; Calculating,Scientific and electric apparatus and instruments,8059703,USD,8059703,,,"Fremont, California, United States",$100M to $500M,1990-01-01,year,"Western Technology Investment, Mountain Partners, Reference Capital SA, Dr. Cornelius Boersch",http://www.linkedin.com/company/identiv
PouchNATION,https://www.crunchbase.com/organization/pouch-nation,51-100,Active,http://pouchnation.com,sales@pouchnation.com,,,,,,,,,,"Events, Financial Services, Hardware, Media and Entertainment, Mobile, Payments, Software, Travel and Tourism","Events, Hospitality, Hotel, Mobile, Mobile Payments, NFC, Payments, SaaS, Software",,,,,,,,,,"Singapore, Central Region, Singapore",$1M to $10M,2012-01-01,year,"Artesian VC, Traveloka, Orbit Startups, Chinaccelerator, SOSV",https://www.linkedin.com/company/pouchnation/
MeaWallet,https://www.crunchbase.com/organization/meawallet,51-100,Active,http://www.meawallet.com,sales@meawallet.com,,,,,,,,,,"Commerce and Shopping, Financial Services, Hardware, Lending and Investments, Mobile, Payments, Software","Credit Cards, Debit Cards, E-Commerce, FinTech, Mobile, Mobile Payments, NFC, Payments",,,,,381308,USD,381308,,,"Oslo, Oslo, Norway",,2013-08-01,day,VentureOut,http://www.linkedin.com/company/3267875
Cardsmobile,https://www.crunchbase.com/organization/cardsmobile,51-100,Active,https://cardsmobile.ru/,partners@cardsmobile.ru,,,,,,,,,,"Apps, Hardware, Mobile, Privacy and Security, Sales and Marketing, Software","Loyalty Programs, Mobile Apps, NFC, Security, Wireless",,,,,,,,,,"Saint Petersburg, Saint Petersburg City, Russian Federation",,2012-01-01,year,"Alfa-Bank, LANIT",https://www.linkedin.com/company/cardsmobile
Droisys,https://www.crunchbase.com/organization/droisys,251-500,Active,http://www.droisys.com,sales@droisys.com,408-874-8333,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Gaming, Hardware, Mobile, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Consulting, Gamification, Machine Learning, Mobile Apps, NFC, Software",,,,,1676333,USD,1676333,,,"Fremont, California, United States",$10M to $50M,2003-02-11,day,,http://www.linkedin.com/company/droisys-inc
Fondy,https://www.crunchbase.com/organization/fondy,51-100,Active,https://fondy.io/?utm_source=crunchbase&utm_medium=referrer,support@fondy.eu,+442 080 68-25-91,,,,,,,,,"Financial Services, Hardware, Payments, Software","Financial Services, NFC, Payments, Transaction Processing",,,,,110553,USD,110553,,,"London, England, United Kingdom",$1M to $10M,2019-12-01,day,,https://www.linkedin.com/company/fondy/
Escher,https://www.crunchbase.com/organization/escher-group,101-250,Active,http://www.eschergroup.com,information@eschergroup.com,857-366-9500,1,1,,,,,,,"Commerce and Shopping, Education, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Software, Transportation","Customer Service, Information Technology, Last Mile Transportation, Messaging, NFC, Point of Sale, Retail Technology, SaaS, Software, Training",1,0,Computing; Calculating,,4060138,USD,4060138,,,"Dublin, Dublin, Ireland",$10M to $50M,1989-01-01,year,TA Associates,http://www.linkedin.com/company/eschergroup
AuthenTec,https://www.crunchbase.com/organization/authentec,101-250,Closed,http://authentec.com,info@authentec.com,13213081431,,,,,,,,,"Biotechnology, Data and Analytics, Hardware, Information Technology, Mobile, Privacy and Security, Science and Engineering","Biometrics, Cyber Security, Identity Management, Mobile, NFC, Security, Semiconductor, Sensor",31,0,Computing; Calculating,,4024943,USD,4024943,,,"Melbourne Beach, Florida, United States",,1998-01-01,year,"Texas Instruments, The Carlyle Group, RBC Capital, Advantage Capital, Sierra Ventures",http://www.linkedin.com/company/authentec
Visa Europe,https://www.crunchbase.com/organization/visa-europe,1001-5000,Active,http://www.visaeurope.com,enquiries.europe@visa.com,44 20 7937 8111,1,1,,,,,,,"Commerce and Shopping, Financial Services, Hardware, Lending and Investments, Mobile, Payments","Banking, E-Commerce, Mobile, NFC, Payments",76,6,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"London, England, United Kingdom",$100M to $500M,2004-01-01,year,,http://www.linkedin.com/company/2266946
i-Free,https://www.crunchbase.com/organization/i-free,501-1000,Active,http://i-free.com/en,pr@i-free.com,+7 812 438-16-78,2,2,1,,,,,,"Commerce and Shopping, Hardware, Software","E-Commerce, NFC, Software",,,,,,,,,,"Saint Petersburg, Saint Petersburg City, Russian Federation",,2001-01-01,year,,http://www.linkedin.com/company/i-free
Unwire,https://www.crunchbase.com/organization/unwire,51-100,Active,http://www.unwire.com,info@unwire.com,+45 33 93 14 34,,,,,,,,,"Financial Services, Hardware, Internet Services, Messaging and Telecommunications, Mobile, Payments, Software","Mobile, Mobile Payments, NFC, SMS",,,,,,,,,,"Copenhagen, Hovedstaden, Denmark",$10M to $50M,1999-01-01,year,,http://www.linkedin.com/company/unwire
