Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Writer,https://www.crunchbase.com/organization/writer,51-100,Active,http://writer.com,marketing@writer.com,(415) 400-5299,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Software","Content, Generative AI, Natural Language Processing, Productivity Tools, Software, Virtual Assistant",1,1,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$10M to $50M,2020-08-30,day,"Vanguard, Accenture, Gradient Ventures, ICONIQ Growth, Scott Belsky",http://www.linkedin.com/company/getwriter
Kore.ai,https://www.crunchbase.com/organization/kore-ai,501-1000,Active,https://kore.ai,info@kore.ai,(844) 756-7324,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Collaboration, Enterprise Software, Generative AI, Machine Learning, Natural Language Processing",9,1,,Scientific and electric apparatus and instruments,847578,USD,847578,,,"Orlando, Florida, United States",$100M to $500M,2013-01-01,year,"NVIDIA, FTV Capital, Vistara Growth, PNC, Dallas Venture Capital",https://www.linkedin.com/company/kore-inc
Cresta,https://www.crunchbase.com/organization/cresta,101-250,Active,https://www.cresta.com/,pro@cresta.ai,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Automotive, Customer Service, Intelligent Systems, Machine Learning, Natural Language Processing, Retail, Software, Telecommunications",9,2,,Scientific and technological services,159772,USD,159772,,,"San Francisco, California, United States",,2017-01-01,year,"Five9, JP Morgan Chase, Zoom, CarMax, Genesys",https://www.linkedin.com/company/cresta-inc/
Observe.AI,https://www.crunchbase.com/organization/observe-ai,251-500,Active,https://observe.ai,support@observe.ai,+1 628 238 5683,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Customer Service, Machine Learning, Natural Language Processing, SaaS, Speech Recognition",,,,,3231528,USD,3231528,,,"Redwood City, California, United States",$10M to $50M,2017-07-19,day,"Zoom, Hack VC, Nexus Venture Partners, Y Combinator, Scale Venture Partners",https://in.linkedin.com/company/observeai
Aleph Alpha,https://www.crunchbase.com/organization/aleph-alpha,51-100,Active,https://aleph-alpha.com,info@aleph-alpha.com,+49 176 466 977 30,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software",,,,,174481,USD,174481,,,"Heidelberg, Baden-Wurttemberg, Germany",$10M to $50M,2019-01-31,day,"SAP, NVIDIA, Intel, Public, Earlybird Venture Capital",https://www.linkedin.com/company/aleph-alpha
MosaicML,https://www.crunchbase.com/organization/mosaic-ml,101-250,Active,https://www.mosaicml.com,customers@mosaicml.com,(+1)650-669-8149,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Generative AI, Machine Learning, Natural Language Processing, Software",0,2,,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$10M to $50M,2021-01-01,year,"DCVC, Playground Global, Correlation Ventures, Frontline Ventures, AME Cloud Ventures",https://www.linkedin.com/company/mosaicml
Clarifai,https://www.crunchbase.com/organization/clarifai,101-250,Active,https://clarifai.com/,info@clarifai.com,866 - 464 - 7326,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Data Integration, Developer Platform, Machine Learning, Natural Language Processing",37,6,Computing; Calculating,Scientific and technological services,,,,,,"Wilmington, Delaware, United States",Less than $1M,2013-01-01,year,"Union Square Ventures, Qualcomm Ventures, Google Ventures, LDV Capital, CPP Investments",https://www.linkedin.com/company/clarifai
InVideo,https://www.crunchbase.com/organization/invideo,101-250,Active,http://invideo.io,info@invideo.io,415-670-9803,,,,,,,,,"Advertising, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Video","Animation, Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Software, Video, Video Advertising, Video Editing",,,,,,,,,,"Singapore, Central Region, Singapore",$1M to $10M,2017-08-04,day,"Blume Ventures, Hummingbird Ventures, Omidyar Network, Titan Capital, Surge",https://www.linkedin.com/company/invideoio
Guru,https://www.crunchbase.com/organization/guru-technologies,251-500,Active,http://www.getguru.com,,,,,,,,,,,"Administrative Services, Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Applications, Enterprise Software, Generative AI, IT Infrastructure, Knowledge Management, Natural Language Processing, SaaS, Search Engine, Semantic Search",,,,,5135123,USD,5135123,,,"Philadelphia, Pennsylvania, United States",$1M to $10M,2013-01-01,year,"Thrive Capital, Emergence, MSD Capital, Accel, Slack Fund",https://www.linkedin.com/company/getguru
Suki,https://www.crunchbase.com/organization/sukihq,101-250,Active,https://www.suki.ai,contact@suki.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Machine Learning, Natural Language Processing, Software",19,1,Musical Instruments; Acoustics,Scientific and electric apparatus and instruments,,,,,,"Redwood City, California, United States",$10M to $50M,2016-01-01,year,"Gaingels, Social Capital, Breyer Capital, March Capital, Flare Capital Partners",https://www.linkedin.com/company/SukiHQ
