Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Orange,https://www.crunchbase.com/organization/orange,10001+,Active,http://www.orange.com,infos.groupe@orange.com,+33 1 44 44 22 22,17,21,5,,,,,,"Hardware, Media and Entertainment","Digital Media, Network Hardware, Telecommunications","1,300",41,Electric Communication Technique,Telecommunications,,,,,,"Arcueil, Ile-de-France, France",$10B+,1991-01-01,day,European Investment Bank,https://www.linkedin.com/company/orange
AMD Pensando,https://www.crunchbase.com/organization/pensando,251-500,Active,http://www.pensando.io,,1-408-451-9026,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Computing, Cloud Infrastructure, Cloud Security, Enterprise Software, Network Hardware",,,,,8508820,USD,8508820,,,"Milpitas, California, United States",$10M to $50M,2017-01-01,year,"Qualcomm Ventures, Hewlett Packard Enterprise, Goldman Sachs, Lightspeed Venture Partners, Ericsson Ventures",https://www.linkedin.com/company/pensando-systems
Starry,https://www.crunchbase.com/organization/starry-2,251-500,Active,https://starry.com/,business@starry.com,+118882319403,,,,,,,,,"Hardware, Internet Services, Mobile","Hardware, Internet, Network Hardware, Wireless",24,6,Electric Communication Technique,Telecommunications,2433349,USD,2433349,,,"Boston, Massachusetts, United States",$100M to $500M,2014-01-01,year,"Fidelity, IAC, Atreides Management, Highbridge Capital Management, Tiger Global Management",https://www.linkedin.com/company/starry-inc-
Qorvo,https://www.crunchbase.com/organization/qorvo,5001-10000,Active,https://www.qorvo.com/,customer.support@qorvo.com,+1 844- 890-8163,,,,,,,,,"Hardware, Mobile, Science and Engineering","Network Hardware, Semiconductor, Wireless","1,828",19,Basic Electronic Circuitry,Scientific and electric apparatus and instruments,310006602,USD,310006602,,,"Greensboro, North Carolina, United States",$1B to $10B,2015-01-01,day,,https://www.linkedin.com/company/qorvo
SiPearl,https://www.crunchbase.com/organization/sipearl,101-250,Active,https://www.sipearl.com/en,contact@sipearl.com,+33180835490,,,,,,,,,"Hardware, Science and Engineering","Hardware, Network Hardware, Semiconductor",1,5,Computing; Calculating,Scientific and electric apparatus and instruments,1264058,USD,1264058,,,"Maisons-laffitte, Ile-de-France, France",$10M to $50M,2019-06-01,month,"Arm Holdings, European Investment Bank, European Innovation Council, France 2030",https://www.linkedin.com/company/sipearl
Digi International,https://www.crunchbase.com/organization/digi-international,501-1000,Active,http://www.digi.com,,952-912-3444,,,,,,,,,"Hardware, Internet Services, Mobile, Software","Cloud Computing, Developer Tools, Internet of Things, Network Hardware, Wireless",154,213,Electric Communication Technique,Scientific and electric apparatus and instruments,147068,USD,147068,,,"Minnetonka, Minnesota, United States",$100M to $500M,1985-01-01,year,"Bank of America, MUFG Bank, BMO Harris Bank",http://www.linkedin.com/company/digi-international
CityFibre,https://www.crunchbase.com/organization/cityfibre,1001-5000,Active,http://www.cityfibre.com/,,+44 845 293 0774,,,,,,,,,"Hardware, Other","Infrastructure, Network Hardware, Telecommunications",,,,,,,,,,"London, England, United Kingdom",$50M to $100M,2011-01-01,year,"Societe Generale, ABN AMRO Bank, Santander Bank, Mubadala, Intesa Sanpaolo",http://www.linkedin.com/company/cityfibre
Ethernovia,https://www.crunchbase.com/organization/ethernovia,101-250,Active,https://www.ethernovia.com,info@ethernovia.com,,,,,,,,,,"Hardware, Information Technology, Software, Transportation","Autonomous Vehicles, Information and Communications Technology (ICT), Network Hardware, Software",26,2,Electric Communication Technique,Scientific and electric apparatus and instruments,602250,USD,602250,,,"San Jose, California, United States",$1M to $10M,2018-01-01,year,"Qualcomm Ventures, ENEA Capital, Fall Line Capital, Taiwania Capital Management Corporation, AMD Ventures",https://www.linkedin.com/company/ethernovia
Vero Fiber Networks,https://www.crunchbase.com/organization/vero-fiber-networks,51-100,Active,https://www.veronetworks.com/,,(303) 350-4060,,,,,,,,,"Education, Hardware, Information Technology, Internet Services","Education, Information Technology, Internet, Network Hardware",0,1,,Telecommunications,317319,USD,317319,,,"Boulder, Colorado, United States",$1M to $10M,2017-01-01,year,,https://www.linkedin.com/company/vero-networks/
Claranet,https://www.crunchbase.com/organization/claranet,1001-5000,Active,https://www.claranet.co.uk/,info@claranet.co.uk,0330 390 0507,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Software","Cloud Computing, Cyber Security, Information Technology, Network Hardware, Unified Communications",,,,,3085301,USD,3085301,,,"London, England, United Kingdom",$100M to $500M,1996-01-01,year,"Tikehau Capital, ABRY Partners",http://www.linkedin.com/company/claranet
