Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
NEC Corporation,https://www.crunchbase.com/organization/nec,10001+,Active,http://www.nec.com,,+81 3-3454-1111,25,28,7,,,,,,"Data and Analytics, Hardware, Information Technology, Privacy and Security","Big Data, Information Technology, Network Security, Telecommunications","31,716",173,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$10B+,1899-07-17,day,Nippon Telegraph and Telephone,https://www.linkedin.com/company/nec
Comcast Business,https://www.crunchbase.com/organization/comcast-business,10001+,Active,http://business.comcast.com/,,(855) 439-8603,1,1,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Privacy and Security","Internet, Network Security, Service Industry, Telecommunications, Wired Telecommunications, Wireless",,,,,814891890,USD,814891890,,,"Philadelphia, Pennsylvania, United States",$10B+,2006-08-07,day,,http://www.linkedin.com/company/2313203
BT,https://www.crunchbase.com/organization/bt,10001+,Active,https://www.bt.com,ir@bt.com,(+44) 020 7440 4220,10,10,5,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security","Cyber Security, Information Technology, Internet, Network Security, Telecommunications","2,366",74,Electric Communication Technique,Telecommunications,,,,,,"London, England, United Kingdom",$10B+,1969-10-01,day,"Altice, Patrick Drahi, Sekunjalo Group, AYO Technology Solutions",http://www.linkedin.com/company/bt
Hewlett Packard Enterprise,https://www.crunchbase.com/organization/hewlett-packard-enterprise,10001+,Active,https://www.hpe.com,,800-633-3600,26,37,6,5,,,,,"Hardware, Information Technology, Privacy and Security, Software","Data Center, Enterprise Software, Information Technology, IT Management, Network Security","9,782",407,Computing; Calculating,Scientific and electric apparatus and instruments,2217196547,USD,2217196547,,,"Roseville, California, United States",$10B+,1939-07-02,day,,https://www.linkedin.com/company/hewlett-packard-enterprise
Azure,https://www.crunchbase.com/organization/azure,101-250,Active,https://azure.microsoft.com/en-in/,,1-855-270-0615,3,3,3,,,,,,"Information Technology, Privacy and Security, Software","Developer Tools, Information Services, Information Technology, Network Security, Software",,,,,1193850,USD,1193850,,,"Redmond, Washington, United States",$10B+,2010-02-01,day,,https://www.linkedin.com/showcase/azure---microsoft's-cloud-computing-platform/
Cisco Systems,https://www.crunchbase.com/organization/cisco-systems-danmark,10001+,Active,http://www.cisco.com,nfuru@cisco.com,45 39585000,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Information Technology, Internet of Things, Network Hardware, Network Security, Software",,,,,4016779772,USD,4016779772,,,"Copenhagen, Hovedstaden, Denmark",$10B+,1984-01-01,day,,https://www.linkedin.com/company/cisco
IBM Security Services,https://www.crunchbase.com/organization/ibm-security-services,10001+,Active,http://www.ibm.com/security/,,,,,,,,,,,"Information Technology, Privacy and Security, Sales and Marketing, Software","CRM, Information Technology, Network Security, Security, Software",,,,,4670599948,USD,4670599948,,,"Armonk, New York, United States",$10B+,1911-01-01,year,,https://www.linkedin.com/company/ibm/about/
Comcast NBCUniversal,https://www.crunchbase.com/organization/nbcuniversal-media-llc,10001+,Active,https://www.nbc.com,,(212) 664-4444,6,6,3,1,,,,,"Advertising, Content and Publishing, Gaming, Information Technology, Media and Entertainment, Music and Audio, Privacy and Security, Sales and Marketing, Video","Advertising, Broadcasting, Gaming, Media and Entertainment, Music, Network Security, Publishing, TV, Video Games",,,,,,,,,,"New York, New York, United States",$10B+,1926-01-01,year,,https://www.linkedin.com/company/nationalbroadcastingcompany
Siminn,https://www.crunchbase.com/organization/siminn,501-1000,Active,http://www.siminn.is/,,354 800 7000,,,,,,,,,"Hardware, Information Technology, Media and Entertainment, Privacy and Security, Video","Network Security, Telecommunications, TV",,,,,,,,,,"Reykjavík, Gullbringusysla, Iceland",$10B+,1906-01-01,day,,https://www.linkedin.com/company/siminn
NEC Enterprise Solutions,https://www.crunchbase.com/organization/nec-enterprise-solutions,51-100,Active,https://www.nec-enterprise.com,smb.marketing@emea.nec.com,+31-35-689-9111,,,,,,,,,"Information Technology, Privacy and Security","Information and Communications Technology (ICT), Information Services, Information Technology, Network Security",,,,,1779227157,USD,1779227157,,,"Hilversum, Noord-Holland, The Netherlands",$10B+,1899-01-01,year,,https://www.linkedin.com/company/nec-enterprise-solutions/
OpenText,https://www.crunchbase.com/organization/opentext,10001+,Active,https://www.opentext.com,support@opentext.com,+118004996544,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Media and Entertainment, Privacy and Security, Software","Content, Data Center, Data Management, Information Services, Information Technology, Network Security, Software",510,36,Computing; Calculating,Scientific and electric apparatus and instruments,272692499,USD,272692499,,,"Waterloo, Ontario, Canada",$1B to $10B,1991-06-26,day,"TCV, Tera Capital Corporation",http://www.linkedin.com/company/opentext
Sophos,https://www.crunchbase.com/organization/sophos,1001-5000,Active,http://www.sophos.com,support@sophos.com,+441235559933,,,,,,,,,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Network Security, Software",315,120,Computing; Calculating,Scientific and technological services,112142062,USD,112142062,,,"Abingdon, Oxfordshire, United Kingdom",$1B to $10B,1985-01-01,year,TA Associates,https://www.linkedin.com/company/sophos
Giesecke+Devrient,https://www.crunchbase.com/organization/giesecke-devrient,10001+,Active,https://www.gi-de.com/en/,info@gi-de.com,+49 89 4119 0,2,2,2,,,,,,"Information Technology, Mobile, Privacy and Security","Cyber Security, Identity Management, Information Technology, Mobile, Network Security, Security","1,887",132,Computing; Calculating,Scientific and electric apparatus and instruments,154396083,USD,154396083,,,"Munich, Bayern, Germany",$1B to $10B,1852-01-01,year,"DZ BANK, Bayern LB",https://www.linkedin.com/company/giesecke-devrient/
IDEMIA,https://www.crunchbase.com/organization/idemia-2,10001+,Active,https://www.idemia.com/,info@idemia.com,+33 (0)1 73 60 20 20,,,,,,,,,"Information Technology, Privacy and Security","Identity Management, Information Technology, Network Security",131,0,Computing; Calculating,,167453770,USD,167453770,,,"Courbevoie, Ile-de-France, France",$1B to $10B,2007-01-01,year,,https://www.linkedin.com/company/idemiagroup
