Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
1stdibs,https://www.crunchbase.com/organization/1stdibs,251-500,Active,http://www.1stdibs.com,pr@1stdibs.com,212-627-3927,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Media and Entertainment","Art, E-Commerce, Fashion, Furniture, Marketplace, Online Auctions",,,,,,,,,,"New York, New York, United States",$50M to $100M,2000-01-01,year,"Alibaba Group, Employee Stock Option Fund, T. Rowe Price, Allen & Company, Sofina",https://www.linkedin.com/company/1stdibs-com
Allegro,https://www.crunchbase.com/organization/allegro-2,1001-5000,Active,http://allegro.pl/,,+48 618434927,,,,,,,,,"Commerce and Shopping, Sales and Marketing","E-Commerce, Marketing, Online Auctions, Price Comparison",,,,,18387118,USD,18387118,,,"Poznan, Wielkopolskie, Poland",$100M to $500M,1999-01-01,year,"JP Morgan Chase, Goldman Sachs, MCI Capital SA, Permira Credit, Powszechny Zakład Ubezpieczeń Spółka Akcyjna",https://www.linkedin.com/company/allegro-pl/
Avito,https://www.crunchbase.com/organization/avito-ru,1001-5000,Closed,https://www.avito.ru,support@avito.ru,+74952283630,2,2,1,,,,,,"Advertising, Commerce and Shopping, Internet Services, Sales and Marketing","Advertising, Classifieds, E-Commerce, Internet, Online Auctions",,,,,,,,,,"Moscow, Moscow City, Russian Federation",$100M to $500M,2007-01-01,year,"Prosus & Naspers, Kinnevik, GP Bullhound, Accel, VNV Global",https://www.linkedin.com/company/avito.ru
Copart,https://www.crunchbase.com/organization/copart,5001-10000,Active,http://www.copart.com,marketing@copart.com,(707) 639-5268,,,,,,,,,"Commerce and Shopping, Transportation","Automotive, E-Commerce, Online Auctions, Shipping",,,,,110202750,USD,110202750,,,"Fairfield, California, United States",$1B to $10B,1982-01-01,year,,http://www.linkedin.com/company/copart
Catawiki,https://www.crunchbase.com/organization/catawiki,501-1000,Active,http://www.catawiki.com,press@catawiki.com,44 20 3856 4102,,,,,,,,,Commerce and Shopping,"Collectibles, Marketplace, Online Auctions",,,,,,,,,,"Amsterdam, Noord-Holland, The Netherlands",$100M to $500M,2008-01-01,year,"Permira, Lead Edge Capital, Peak, Accel, Jose Marin",https://www.linkedin.com/company/catawiki
Chehaoduo,https://www.crunchbase.com/organization/guazi-com,10001+,Active,http://www.guazi.com,bd@guazi.com,(400)733-6622,,,,,,,,,"Commerce and Shopping, Transportation","Automotive, E-Commerce, Online Auctions",0,0,,"Paper, cardboard and goods made from these materials",,,,,,"Beijing, Beijing, China",$1M to $10M,2015-01-01,year,"Tencent, Sequoia Capital China, Sequoia Capital, Dragoneer Investment Group, Matrix Partners China",https://www.linkedin.com/company/guazi
myTukar.com,https://www.crunchbase.com/organization/mytukar-com,51-100,Active,http://www.mytukar.com,info@mytukar.com,+60355690999,,,,,,,,,"Apps, Commerce and Shopping, Internet Services, Software, Transportation","Automotive, Internet, Online Auctions, Web Apps",,,,,,,,,,"Selangor, Selangor, Malaysia",$500M to $1B,2017-10-03,day,Carro,https://www.linkedin.com/company/mytukar
IronPlanet,https://www.crunchbase.com/organization/ironplanet,251-500,Active,http://www.ironplanet.com,CustomerCare@ironplanet.com,1(925)225-8600,,,,,,,,,"Agriculture and Farming, Commerce and Shopping, Real Estate, Transportation","Agriculture, Construction, E-Commerce, Marketplace, Online Auctions, Transportation",,,,,18171752,USD,18171752,,,"Pleasanton, California, United States",$50M to $100M,1999-01-01,year,"JP Morgan Chase, Caterpillar, Capital One Ventures, Kleiner Perkins, Accel",http://www.linkedin.com/company/ironplanet
OneCause (formerly BidPal),https://www.crunchbase.com/organization/bidpal-network,251-500,Active,http://www.onecause.com,hello@onecause.com,(888) 729-0399,5,5,5,,,,,,"Commerce and Shopping, Financial Services, Information Technology, Other, Social Impact, Software","Auctions, Crowdfunding, Enterprise Software, Financial Services, Information Technology, Non Profit, Online Auctions, SaaS, Software",0,17,,Insurance; financial affairs,290086,USD,290086,,,"Indianapolis, Indiana, United States",$50M to $100M,2008-01-01,year,"Allos Ventures, MK Capital, Square 1 Bank, Wintrust Ventures",https://www.linkedin.com/company/27191314/
MaxSold Incorporated,https://www.crunchbase.com/organization/maxsold-incorporated,501-1000,Active,https://maxsold.com/,,1-833-629-7653,,,,,,,,,Commerce and Shopping,"Auctions, Online Auctions, Shopping",0,2,,Advertising; business,,,,,,"Kingston, Ontario, Canada",$50M to $100M,2010-01-01,year,"Business Development Bank of Canada, Framework Venture Partners, Silicon Valley Bank, Canadian Business Growth Fund",https://www.linkedin.com/company/maxsold/?originalSubdomain=in
