Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Intel Open Source Technology Center,https://www.crunchbase.com/organization/intel-open-source-technology-center,1001-5000,Active,https://01.org/,,,,,,,,,,,Software,"Open Source, Software",,,,,,,,,,"Hillsboro, Oregon, United States",$10B+,2004-01-01,year,,
Thoughtworks,https://www.crunchbase.com/organization/thoughtworks,10001+,Active,http://www.thoughtworks.com,contact-us@thoughtworks.com,+1 312 373 1000,,,,,,,,,"Apps, Information Technology, Other, Professional Services, Software","Apps, Consulting, Information Technology, Open Source, Professional Services, Software, Web Development",0,22,,Scientific and technological services,,,,,,"Chicago, Illinois, United States",$1B to $10B,1993-01-01,year,"Siemens, Fidelity, Cowen Group, Mubadala, GIC",http://www.linkedin.com/company/thoughtworks
TTEC,https://www.crunchbase.com/organization/ttec,10001+,Active,http://www.ttec.com/,solutions@teletech.com,1.800.835.3832,2,2,,1,,,,,"Financial Services, Information Technology, Professional Services, Software","Consulting, Information Technology, Open Source, Outsourcing, Software, Wealth Management",7,37,,Scientific and technological services,193637696,USD,193637696,,,"Englewood, Colorado, United States",$1B to $10B,1982-01-01,year,,https://www.linkedin.com/company/ttec/
MongoDB,https://www.crunchbase.com/organization/mongodb-inc,1001-5000,Active,https://www.mongodb.com/,info@mongodb.com,+1 866-237-8815,1,1,,,,,,,"Data and Analytics, Internet Services, Software","Cloud Computing, Database, Open Source, SaaS, Software",78,22,,Scientific and technological services,114734125,USD,114734125,,,"New York, New York, United States",$1B to $10B,2007-11-01,day,"Fidelity, Employee Stock Option Fund, Union Square Ventures, Sequoia Capital, Red Hat",http://www.linkedin.com/company/783611
Red Hat,https://www.crunchbase.com/organization/red-hat,10001+,Active,http://www.redhat.com,apac@redhat.com,+1 919 754 3700,9,18,3,,,,,,"Financial Services, Platforms, Software","Enterprise Software, InsurTech, Linux, Open Source, Operating Systems, Software","3,746",155,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Raleigh, North Carolina, United States",$1B to $10B,1993-01-01,year,"Intel, IBM, Benchmark, Oracle, Greylock",https://www.linkedin.com/company/red-hat
Clover,https://www.crunchbase.com/organization/clover,1001-5000,Active,http://www.clover.com,support@clover.com,808-400-2659,,,,,,,,,"Financial Services, Mobile, Payments, Software","Mobile, Open Source, Payments, Software",,,,,,,,,,"Sunnyvale, California, United States",$1B to $10B,2010-10-01,day,"Sutter Hill Ventures, Andreessen Horowitz, Morado Ventures, Jeffrey Housenbold",https://www.linkedin.com/company/clover-network-inc.
ITOCHU Techno-Solutions Corporation,https://www.crunchbase.com/organization/itochu-techno-solutions-corporation-ctc,5001-10000,Active,http://www.ctc-g.co.jp/en/index.html,press@ctc-g.co.jp,81-3-6203-5000,9,11,1,,,,,,"Information Technology, Software","Information Services, Information Technology, Open Source",1,3,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$1B to $10B,2006-10-01,day,,https://www.linkedin.com/company/itochu-techno-solutions-corporation-ctc/
VMWare Denmark,https://www.crunchbase.com/organization/vmware-denmark,10001+,Active,http://www.vmware.dk,,45 70106888,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, Data Center Automation, Open Source",,,,,,,,,,"Vedbæk, Hovedstaden, Denmark",$1B to $10B,1998-01-01,day,,https://www.linkedin.com/company/vmware/about/
Confluent,https://www.crunchbase.com/organization/confluent,1001-5000,Active,https://confluent.io/,info@confluent.io,,,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Software","Analytics, Cloud Data Services, Enterprise Software, Open Source",7,9,Computing; Calculating,Scientific and electric apparatus and instruments,59025803,USD,59025803,,,"Mountain View, California, United States",$500M to $1B,2014-09-23,day,"Employee Stock Option Fund, DCVC, Franklin Templeton, Sequoia Capital, Index Ventures",https://www.linkedin.com/company/confluent
HPCC Systems,https://www.crunchbase.com/organization/hpcc-systems,51-100,Active,http://hpccsystems.com,sales@hpccsystems.com,1(877) 316-9669,,,,,,,,,"Data and Analytics, Information Technology, Software","Big Data, Information Technology, Open Source",,,,,1813983,USD,1813983,,,"Alpharetta, Georgia, United States",$500M to $1B,2011-01-01,year,,https://www.linkedin.com/company/hpcc-systems
Space Apps Challenge,https://www.crunchbase.com/organization/space-apps-challenge,5001-10000,Active,https://2016.spaceappschallenge.org/,,,,,,,,,,,"Apps, Financial Services, Lending and Investments, Other, Software","Apps, Collaboration, Incubators, Open Source",,,,,,,,,,"Midland, Texas, United States",$500M to $1B,2012-01-01,year,,https://www.linkedin.com/company/nasa-international-space-apps-challenge
