Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Tenneco,https://www.crunchbase.com/organization/tenneco,10001+,Active,https://www.tenneco.com/,jostrander@tenneco.com,+1 847 482 5000,,,,,,,,,"Design, Hardware, Manufacturing, Platforms, Professional Services, Software, Transportation","Automotive, Industrial Design, Industrial Manufacturing, Innovation Management, Manufacturing, Operating Systems, Product Design",876,163,Engine Plants In General; Steam Engines,Vehicles,305845693,USD,305845693,,,"Lake Forest, Illinois, United States",$10B+,1998-01-01,year,,https://www.linkedin.com/company/tenneco
Apple,https://www.crunchbase.com/organization/apple,10001+,Active,http://www.apple.com,,408-996-1010,28,30,20,2,,,,2,"Consumer Electronics, Hardware, Mobile, Platforms, Software","Consumer Electronics, Hardware, Mobile Devices, Operating Systems, Wearables","40,443","3,248",Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Cupertino, California, United States",$10B+,1976-04-01,day,"Berkshire Hathaway, Microsoft, Sequoia Capital, KB Securities, Matrix",http://www.linkedin.com/company/apple
Microsoft,https://www.crunchbase.com/organization/microsoft,10001+,Active,https://www.microsoft.com,mdcc@microsoft.com,1800 1 441 0158,238,262,93,10,,,,,"Data and Analytics, Information Technology, Platforms, Software","Data Management, Developer Tools, DevOps, Enterprise Software, Operating Systems","56,609","2,646",Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Redmond, Washington, United States",$10B+,1975-04-04,day,"KB Securities, Lucky Everlasting Peace, Technology Venture Investors",https://www.linkedin.com/company/microsoft
Interline Brands,https://www.crunchbase.com/organization/interline-brands,5001-10000,Closed,https://www.interlinebrands.com,,(904) 598-1504,,,,,,,,,"Commerce and Shopping, Platforms, Software, Transportation","Logistics, Operating Systems, Wholesale",1,0,Lighting,,,,,,,"Jacksonville, Florida, United States",$1B to $10B,1978-01-01,day,,http://www.linkedin.com/company/interline-brands
Red Hat,https://www.crunchbase.com/organization/red-hat,10001+,Active,http://www.redhat.com,apac@redhat.com,+1 919 754 3700,9,18,3,,,,,,"Financial Services, Platforms, Software","Enterprise Software, InsurTech, Linux, Open Source, Operating Systems, Software","3,746",155,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Raleigh, North Carolina, United States",$1B to $10B,1993-01-01,year,"Intel, IBM, Benchmark, Oracle, Greylock",https://www.linkedin.com/company/red-hat
Cogentrix Energy,https://www.crunchbase.com/organization/cogentrix-energy,501-1000,Active,http://www.cogentrix.com,info@cogentrix.com,704-525-3800,1,1,,,,,,,"Energy, Platforms, Real Estate, Science and Engineering, Software, Sustainability","Construction, Energy, Environmental Engineering, Operating Systems",,,,,9429121,USD,9429121,,,"Charlotte, North Carolina, United States",$1B to $10B,2007-01-01,year,,https://www.linkedin.com/company/cogentrix-energy-llc
Orange Espagne,https://www.crunchbase.com/organization/orange-espagne,1001-5000,Active,https://www.orange.es/,info@ya.com,+34-912 521 200,,,,,,,,,"Financial Services, Hardware, Lending and Investments, Platforms, Software","Angel Investment, Operating Systems, Telecommunications",0,12,,Telecommunications,,,,,,"Pozuelo De Alarcón, Madrid, Spain",$1B to $10B,1998-01-01,day,,https://www.linkedin.com/company/france-telecom-spain/?internal_source=orange
Everi Holdings,https://www.crunchbase.com/organization/global-cash-access,501-1000,Closed,http://www.everi.com,marketing@everi.com,+1 (702) 855-3000,,,,,,,,,"Gaming, Other, Platforms, Software, Travel and Tourism","Casino, Gamification, Gaming, Operating Systems, Service Industry, Video Games",3,2,Sports; Games; Amusements,Insurance; financial affairs,,,,,,"Las Vegas, Nevada, United States",$500M to $1B,1998-01-01,year,,http://www.linkedin.com/company/global-cash-access
Wind River,https://www.crunchbase.com/organization/wind-river,1001-5000,Active,http://www.windriver.com,inquiries@windriver.com,510-748-4100,2,2,1,,,,,,"Administrative Services, Hardware, Other, Platforms, Software","Developer Tools, Hardware, Operating Systems, Project Management, Software",51,23,Computing; Calculating,Scientific and technological services,24447176,USD,24447176,,,"Alameda, California, United States",$100M to $500M,1981-01-01,year,,https://www.linkedin.com/company/wind-river
CRIS,https://www.crunchbase.com/organization/cris,501-1000,Active,https://cris.org.in,adhikari.devendra@cris.org.in,+91 011-24104525,,,,,,,,,"Information Technology, Platforms, Software, Transportation","IT Management, Operating Systems, Railroad, Transportation",,,,,,,,,,"New Delhi, Delhi, India",$100M to $500M,1986-01-01,year,,https://www.linkedin.com/company/centre-for-railway-information-systems-cris/
