Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Zebra Technologies,https://www.crunchbase.com/organization/zebra-technologies,10001+,Active,https://www.zebra.com,socialmedia@zebra.com,1(877)275-9327,4,4,2,1,,,,,"Hardware, Information Technology, Manufacturing, Mobile, Other, Software","Information Technology, Manufacturing, Optical Communication, Real Time, RFID, Software, Telecommunications, Wireless",,,,,424368522,USD,424368522,,,"Lincolnshire, Illinois, United States",$1B to $10B,1991-01-01,year,"Morgan Stanley, Rev1 Ventures, North Coast Ventures, Deutsche Bank, Plymouth Growth",https://www.linkedin.com/company/zebra-technologies
Viasat,https://www.crunchbase.com/organization/viasat,5001-10000,Active,http://www.viasat.com,viasatlistens@viasat.com,0-476-2200,,,,,,,,,"Hardware, Internet Services","Internet, Optical Communication, Telecommunications","1,299",80,Electric Communication Technique,Scientific and electric apparatus and instruments,430089300,USD,430089300,,,"Carlsbad, California, United States",$1B to $10B,1986-01-01,year,"NASA, The Baupost Group, Kohlberg Kravis Roberts, Intercorp Financial Services",https://www.linkedin.com/company/viasat
Safaricom,https://www.crunchbase.com/organization/safaricom,5001-10000,Active,http://safaricom.co.ke,,+254 722 002100,8,9,6,,,,,,"Hardware, Mobile","Mobile, Optical Communication, Telecommunications",,,,,,,,,,"Nairobi, Nairobi Area, Kenya",$1B to $10B,1997-04-01,day,"British International Investment, Vodacom",http://www.linkedin.com/company/safaricom
Infinera,https://www.crunchbase.com/organization/infinera,1001-5000,Active,http://www.infinera.com,info@infinera.com,(140) 857-2520,,,,,,,,,"Hardware, Information Technology, Internet Services, Other","Information Technology, Internet, Optical Communication, Service Industry, Telecommunications",533,12,Electric Communication Technique,Scientific and electric apparatus and instruments,118872230,USD,118872230,,,"San Jose, California, United States",$1B to $10B,2000-01-01,year,"Sutter Hill Ventures, Juniper Networks, Ben Franklin Technology Partners of Northeastern Pennsylvania, Icon Ventures, Kleiner Perkins",http://www.linkedin.com/company/infinera
Zenlayer,https://www.crunchbase.com/organization/zenlayer,101-250,Active,https://www.zenlayer.com,pr@zenlayer.com,+1 909-718-3558,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Information Technology, ISP, Optical Communication, Software, Telecommunications",0,7,,Scientific and technological services,7200450,USD,7200450,,,"Diamond Bar, California, United States",$100M to $500M,2014-01-01,year,"MDI Ventures, Forebright Capital, NSFOCUS, F&G Venture, Prospect Avenue Capital",https://www.linkedin.com/company/zenlayer/
EFFECT Photonics,https://www.crunchbase.com/organization/effect-photonics,101-250,Active,http://effectphotonics.com,info@effectphotonics.com,+310403041359,,,,,,,,,"Hardware, Mobile, Science and Engineering","Mobile, Optical Communication, Semiconductor",,,,,,,,,,"Eindhoven, Noord-Brabant, The Netherlands",$50M to $100M,2010-01-01,year,"PhotonDelta, BOM, Innovation Industries, Invest-NL, b2venture",https://www.linkedin.com/company/effect-photonics
Lumen Technologies,https://www.crunchbase.com/organization/centurylink,10001+,Active,https://news.lumen.com/home,media@lumen.com,(186) 664-2044,4,4,1,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Privacy and Security","Big Data, Information Services, Infrastructure, Optical Communication, Security, Telecommunications, VoIP, Wireless",188,79,Electric Communication Technique,Telecommunications,1424268045,USD,1424268045,,,"Monroe, Louisiana, United States",$10B+,1968-01-01,day,,https://www.linkedin.com/company/lumentechnologies
Mynaric,https://www.crunchbase.com/organization/vialight-communications,251-500,Active,https://mynaric.com,info@mynaric.com,+49 8105 7999-0,,,,,,,,,"Hardware, Internet Services, Science and Engineering","Aerospace, Internet, Laser, Optical Communication, Satellite Communication",0,4,,Scientific and electric apparatus and instruments,57132,USD,57132,,,"Gilching, Bayern, Germany",$1M to $10M,2009-01-01,year,"Thiel Capital, ARK Investment Management, L3 Harris Technologies, Justin Mateen, Apeiron Investment Group",https://www.linkedin.com/company/mynaric/
Atomica Corp,https://www.crunchbase.com/organization/imt,101-250,Active,http://www.atomica.com,marketing@atomica.com,(805) 681-2800,,,,,,,,,"Biotechnology, Hardware, Health Care, Internet Services, Science and Engineering, Software, Transportation","Autonomous Vehicles, Biotechnology, Cloud Computing, Genetics, Medical, Optical Communication, Semiconductor, Sensor, Therapeutics",0,2,,Treatment of materials,,,,,,"Santa Barbara, California, United States",$10M to $50M,2000-04-01,day,"Scale Venture Partners, Investor Growth Capital Limited, Novo Tellus Capital Partners, Agility Capital, Fondo Italiano d'Investimento",https://www.linkedin.com/company/atomica-mems
DustPhotonics,https://www.crunchbase.com/organization/dustphotonics,51-100,Active,https://www.dustphotonics.com,sales@dustphotonics.com,,,,,,,,,,"Hardware, Information Technology, Manufacturing","Data Center, Manufacturing, Optical Communication, Telecommunications",5,2,Basic Electric Elements,Scientific and electric apparatus and instruments,2640552,USD,2640552,,,"Modi'in, HaMerkaz, Israel",$1M to $10M,2017-01-01,year,"Celesta Capital, Exor Ventures, Atreides Management, Greenfield Partners, Poalim Equity",https://www.linkedin.com/company/dustphotonics/
Altiostar Networks,https://www.crunchbase.com/organization/altiostar-networks,251-500,Active,http://altiostar.com,info@altiostar.com,(855) 709-0701,,,,,,,,,"Hardware, Mobile, Professional Services","Innovation Management, Mobile, Optical Communication",104,6,Electric Communication Technique,Scientific and electric apparatus and instruments,5213108,USD,5213108,,,"Tewksbury, Massachusetts, United States",$10M to $50M,2011-01-01,year,"Rakuten, Qualcomm Ventures, Tech Mahindra, Cisco Investments, Telefónica Innovation Ventures",https://www.linkedin.com/company/alitostar
Source Photonics,https://www.crunchbase.com/organization/source-photonics,1001-5000,Active,http://www.sourcephotonics.com/,sales@sourcephotonics.com,(818)773-9044,,,,,,,,,"Data and Analytics, Hardware, Other, Software","Database, Infrastructure, Optical Communication",39,10,Electric Communication Technique,Scientific and electric apparatus and instruments,36297063,USD,36297063,,,"West Hills, California, United States",$500M to $1B,1988-01-01,year,"Francisco Partners, Guangdong Haomei New Material, InSite Partners, Beijing Vantone Real Estate",https://www.linkedin.com/company/source-photonics
POET Technologies,https://www.crunchbase.com/organization/poet-technologies,51-100,Active,http://www.poet-technologies.com,poet@poet-technologies.com,(416) 368-9411,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing","Electronics, Manufacturing, Optical Communication",0,2,,Scientific and electric apparatus and instruments,15792,USD,15792,,,"Toronto, Ontario, Canada",Less than $1M,1972-02-09,day,"Espresso Capital, Silicon Valley Bank",https://www.linkedin.com/company/poet-technologies
Ranovus,https://www.crunchbase.com/organization/ranovus-inc,51-100,Active,http://ranovus.com,info@ranovus.com,(647) 522-0762,,,,,,,,,"Consumer Electronics, Hardware, Information Technology","Computer, Data Center, Information Technology, Optical Communication, Telecommunications",,,,,398950,USD,398950,,,"Ottawa, Ontario, Canada",$1M to $10M,2012-02-01,day,"BDC Venture Capital, Deutsche Telekom, OMERS Ventures, Export Development Canada, Sustainable Development Technology Canada",http://www.linkedin.com/company/ranovus-inc-
Finisar,https://www.crunchbase.com/organization/finisar,10001+,Closed,http://www.finisar.com,sales@finisar.com,4085430083,3,3,,,,,,,"Hardware, Information Technology, Internet Services, Manufacturing, Mobile","Information Technology, Internet, Manufacturing, Optical Communication, Telecommunications, Wireless",307,4,Optics,Scientific and electric apparatus and instruments,,,,,,"Sunnyvale, California, United States",$1B to $10B,1988-01-01,year,"Apple, TA Associates, Summit Partners",https://www.linkedin.com/company/163813
