Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Intuit,https://www.crunchbase.com/organization/intuit,10001+,Active,http://www.intuit.com,,(650)944-6000,15,18,2,,,,,1,"Financial Services, Professional Services, Software","Accounting, Financial Services, FinTech, PaaS, Software","2,696",333,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Mountain View, California, United States",$1B to $10B,1983-01-01,year,"Sierra Ventures, Kleiner Perkins, Technology Venture Investors",http://www.linkedin.com/company/intuit
Vonage,https://www.crunchbase.com/organization/vonage,5001-10000,Active,http://www.vonage.com,press@nexmo.com,7322025221,,,,,,,,,"Apps, Hardware, Information Technology, Software","Communications Infrastructure, Developer APIs, Enterprise Applications, Information Services, Information Technology, PaaS, Telecommunications",113,5,Electric Communication Technique,Telecommunications,6720902,USD,6720902,,,"Holmdel, New Jersey, United States",$1B to $10B,2001-01-01,year,"JP Morgan Chase, Bain Capital Ventures, Meritech Capital Partners, 3i Group, Fifth Third Bank",http://www.linkedin.com/company/vonage
Kakao Enterprise,https://www.crunchbase.com/organization/kakao-enterprise,501-1000,Active,https://www.kakaoenterprise.com,contact@kakaoenterprise.com,+82 31-600-1000,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, IaaS, Information Technology, PaaS, SaaS, Software",1,0,,,,,,,,"Seongnam, Kyonggi-do, South Korea",$1B to $10B,2019-12-03,day,"Korea Development Bank, Hy",https://www.linkedin.com/company/kakaoenterprise
Qurate Inc. (Japan),https://www.crunchbase.com/organization/qurate,1-10,Active,https://www.qurate.jp,contact@qurate.jp,+81929816379,,,,,,,,,"Information Technology, Sales and Marketing, Software","CMS, Digital Marketing, Marketing, PaaS, Software",,,,,,,,,,"Fukuoka, Fukuoka, Japan",$1B to $10B,2014-02-04,day,"Daiwa Corporate Investment, ABBALab - Atom to Bit, Bit to Atom, DOGAN beta, FGN ABBA Lab, Joshua Tessier",https://www.linkedin.com/company/qurate-inc-japan/
Binary Semantics Limited,https://www.crunchbase.com/organization/binary-symantics,501-1000,Active,https://www.binarysemantics.com/,marketing@binarysemantics.com,+91 124 478 7200,,,,,,,,,Software,"PaaS, SaaS, Software, Web Development",,,,,81035715,USD,81035715,,,"Gurgaon, Haryana, India",$1B to $10B,1986-02-06,day,,https://www.linkedin.com/company/binary-semantics-ltd.
Pivotal,https://www.crunchbase.com/organization/pivotal,1001-5000,Active,http://www.pivotal.io,info@pivotal.io,1(650) 846-1600,1,1,1,,,,,,"Data and Analytics, Internet Services, Software","Big Data, Cloud Computing, Enterprise Software, PaaS, Software",261,65,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$500M to $1B,2013-04-01,day,"General Electric, Ford Motor, Employee Stock Option Fund, Microsoft, VMware",http://www.linkedin.com/company/3048967
Strategikon Pharma,https://www.crunchbase.com/organization/strategikon-pharma,11-50,Active,https://strategikonpharma.com/,acopaescu@strategikonpharma.com,,,,,,,,,,"Biotechnology, Health Care, Other, Science and Engineering, Software","B2B, Biotechnology, PaaS, Pharmaceutical, SaaS, Software",,,,,34639,USD,34639,,,"San Rafael, California, United States",$500M to $1B,2017-11-05,day,"Alumni Ventures, Golden Seeds, Wing Venture Capital, Tech Coast Angels, Osage Venture Partners",https://www.linkedin.com/company/strategikon-pharma/
Inteliquent,https://www.crunchbase.com/organization/inteliquent,501-1000,Active,http://www.inteliquent.com,info@inteliquent.com,855-404-4768,1,1,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Communications Infrastructure, IaaS, PaaS, Telecommunications, VoIP, Wireless",10,5,Electric Communication Technique,Telecommunications,19804318,USD,19804318,,,"Chicago, Illinois, United States",$500M to $1B,1997-01-01,year,"DCM Ventures, GTCR, Greenspring Associates, New Enterprise Associates, Wasatch Advisors",http://www.linkedin.com/company/inteliquent
DSI®,https://www.crunchbase.com/organization/data-systems-international,251-500,Active,https://www.dsiglobal.com/welcome/,info@dsiglobal.com,(800) 217-8030,,,,,,,,,"Apps, Internet Services, Mobile, Software, Transportation","Cloud Computing, Developer Platform, Enterprise Software, Mobile, Mobile Apps, PaaS, SaaS, Software, Supply Chain Management",3,11,Computing; Calculating,Scientific and technological services,68204537,USD,68204537,,,"Kansas City, Missouri, United States",$500M to $1B,1979-01-01,year,Quan Technology Fund,https://www.linkedin.com/company/data-systems-international-%C2%AE/
Progress Software Spain,https://www.crunchbase.com/organization/progress-software-bfb8,1001-5000,Active,http://www.progress.es,mdeville@progress.com,34-917 210 547,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software","PaaS, Predictive Analytics",,,,,,,,,,"Madrid, Madrid, Spain",$500M to $1B,1999-01-01,day,,https://www.linkedin.com/company/progress-software/
OutSystems,https://www.crunchbase.com/organization/outsystems,1001-5000,Active,https://www.outsystems.com,info@outsystems.com,617 837 6840,,,,,,,,,"Data and Analytics, Information Technology, Software","Data Integration, Developer Platform, Developer Tools, DevOps, PaaS, SaaS, Software",0,1,,Scientific and technological services,24310761,USD,24310761,,,"Boston, Massachusetts, United States",$100M to $500M,2001-01-01,year,"Guidepost Growth Equity, Goldman Sachs, Canada Pension Plan Investment Board, GS Growth, Armilar Venture Partners",https://www.linkedin.com/company/outsystems
ApplyBoard,https://www.crunchbase.com/organization/applyboard,1001-5000,Active,http://www.applyboard.com,Josh@applyboard.com,1-844-972-7759,2,2,,,,,,,"Education, Information Technology, Internet Services, Sales and Marketing, Software","EdTech, Education, Internet, PaaS, Sales Automation",2,8,Computing; Calculating,Scientific and electric apparatus and instruments,22598125,USD,22598125,,,"Waterloo, Ontario, Canada",$100M to $500M,2015-05-01,day,"Fidelity, BDC Venture Capital, Accelerator Centre, 500 Global, Drive Capital",https://www.linkedin.com/company/applyboard
Entrata,https://www.crunchbase.com/organization/entrata,1001-5000,Active,https://www.entrata.com/,info@entrata.com,801-375-5522,,,,,,,,,"Financial Services, Internet Services, Mobile, Payments, Real Estate, Software","Leasing, Mobile Payments, Online Portals, PaaS, Property Management, PropTech, Real Estate, SaaS, Software",0,28,,Scientific and technological services,73885650,USD,73885650,,,"Lehi, Utah, United States",$100M to $500M,2003-07-11,day,"Silver Lake, Dragoneer Investment Group, Jaws Ventures, Ryan Smith, Todd Pedersen",https://www.linkedin.com/company/entratasoftware
