Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Lightricks,https://www.crunchbase.com/organization/lightricks,251-500,Active,http://www.lightricks.com,contact@lightricks.com,1-722-644-5449,,,,,,,,,"Apps, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software","Consumer Software, Content, Mobile Apps, Photo Editing, Social Network",2,50,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Jerusalem, Yerushalayim, Israel",$100M to $500M,2013-01-01,day,"Left Lane Capital, Goldman Sachs Asset Management, Goldman Sachs, Viola Ventures, GS Growth",http://www.linkedin.com/company/lightricks
DJI,https://www.crunchbase.com/organization/dji,10001+,Active,http://www.dji.com/,sales@dji.com,(818) 235-0789,4,6,,,,,,,"Consumer Electronics, Consumer Goods, Content and Publishing, Hardware, Manufacturing, Media and Entertainment, Mobile, Science and Engineering","Aerospace, Consumer Electronics, Drones, Manufacturing, Photography, Wireless","6,349",192,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Shenzhen, Guangdong, China",$1B to $10B,2006-11-06,day,"Sequoia Capital China, Accel, Victor Koch, Lighthouse Capital Management",https://www.linkedin.com/company/2630048
Spyne,https://www.crunchbase.com/organization/spyne,101-250,Active,https://www.spyne.ai,sanjay@spyne.ai,+91-9953325165,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Metaverse, Photo Editing, SaaS, Software",,,,,,,,,,"Gurgaon, Haryana, India",$10M to $50M,2018-12-28,day,"Storm Ventures, Accel, Smile Group, Pentathlon Ventures, AngelList India",https://www.linkedin.com/company/spyne-ai/
soona,https://www.crunchbase.com/organization/soona,101-250,Active,https://soona.co/,hey@soona.co,303-748-7743,,,,,,,,,"Commerce and Shopping, Content and Publishing, Media and Entertainment, Sales and Marketing, Video","Content Marketing, E-Commerce, Marketing, Photography, Video",,,,,136151,USD,136151,,,"Denver, Colorado, United States",$1M to $10M,2018-12-12,day,"Techstars, Bain Capital Ventures, Union Square Ventures, 2048 Ventures, Techstars Ventures",https://www.linkedin.com/company/soona/
CompanyCam,https://www.crunchbase.com/organization/companycam,101-250,Active,https://www.companycam.com,hello@companycam.com,,,,,,,,,,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Platforms, Real Estate, Software","Android, Construction, Messaging, Photo Sharing, SaaS",,,,,272753,USD,272753,,,"Lincoln, Nebraska, United States",$1M to $10M,2014-01-01,month,"Invest Nebraska, JMI Equity, Blueprint Equity, Insight Partners, WndrCo",https://www.linkedin.com/company/companycam
Greenfly,https://www.crunchbase.com/organization/greenfly-2,51-100,Active,http://www.greenfly.com,hello@greenfly.com,+1 310 620 8565,,,,,,,,,"Content and Publishing, Media and Entertainment, Sales and Marketing, Software, Video","Digital Media, File Sharing, Photo Sharing, Social Media Marketing, Video",16,5,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Santa Monica, California, United States",Less than $1M,2014-07-01,day,"Mercato Partners, Alpha Edison, Corazon Capital, R/GA Ventures, Elysian Park Ventures",https://www.linkedin.com/company/greenfly-inc-
Getty Images,https://www.crunchbase.com/organization/gettyimages,1001-5000,Active,https://www.gettyimages.com,sales@gettyimages.com,+1 206 925 5000,3,3,2,,,,,,"Content and Publishing, Data and Analytics, Media and Entertainment, Software","Content Creators, Digital Media, Image Recognition, Photography",8,100,Computing; Calculating,Scientific and technological services,,,,,,"Seattle, Washington, United States",$500M to $1B,1995-01-01,year,"Multiply Group, Koch Equity Development",https://www.linkedin.com/company/getty-images
Snappr,https://www.crunchbase.com/organization/snappr-2,51-100,Active,https://www.snappr.com/,,+18443762777,,,,,,,,,"Commerce and Shopping, Content and Publishing, Media and Entertainment, Software","E-Commerce, Marketplace, Photo Editing, Photo Sharing, Photography, SaaS, Software",0,1,,Education; entertainment,1581274,USD,1581274,,,"San Francisco, California, United States",$1M to $10M,2017-01-01,year,"Green D Ventures, Alumni Ventures, Y Combinator, Basis Set Ventures, Airtree Ventures",https://www.linkedin.com/company/snappr.co/
Kuaishou Technology,https://www.crunchbase.com/organization/kuaishou,10001+,Active,http://www.kuaishou.com,support@kuaishou.com,400-650-7337,14,15,7,,,,,,"Apps, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Science and Engineering, Software, Video","Artificial Intelligence (AI), Mobile Apps, Photo Sharing, Social Network, Video Streaming",,,,,,,,,,"Beijing, Beijing, China",$1B to $10B,2011-01-01,year,"Tencent, Sequoia Capital China, DCM Ventures, Canada Pension Plan Investment Board, Mubadala Capital Ventures",https://www.linkedin.com/company/%E5%BF%AB%E6%89%8B
VSCO,https://www.crunchbase.com/organization/visual-supply-co-vsco,101-250,Active,http://www.vsco.co/,,,,,,,,,,,"Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software","Internet, Mobile, Photo Editing, Photography, Software",19,48,Computing; Calculating,Scientific and electric apparatus and instruments,1731447,USD,1731447,,,"Oakland, California, United States",$10M to $50M,2011-03-31,day,"Obvious Ventures, Glynn Capital Management, Accel, Betaworks Ventures, Goldcrest Investments",http://www.linkedin.com/company/visual-supply-co
Giphy,https://www.crunchbase.com/organization/giphy,101-250,Active,http://www.giphy.com,partnerships@giphy.com,,,,,,,,,,"Content and Publishing, Internet Services, Media and Entertainment","Internet, Media and Entertainment, Photo Sharing, Publishing, Search Engine",,,,,162269,USD,162269,,,"New York, New York, United States",$10M to $50M,2013-02-01,day,"Betaworks, General Catalyst, Haystack, Google Ventures, DFJ Growth",https://www.linkedin.com/company/giphy
Insta360,https://www.crunchbase.com/organization/insta360,251-500,Active,http://www.insta360.com/,service@insta360.com,+1 3238073655,,,,,,,,,"Consumer Electronics, Content and Publishing, Hardware, Media and Entertainment, Software, Video","Consumer Electronics, Photography, Video, Virtual Reality",29,0,Computing; Calculating,,,,,,,"Shenzhen, Guangdong, China",$10M to $50M,2014-01-01,year,"Suning.com, Qiming Venture Partners, Chiratae Ventures, Frees Fund, IDG Capital",https://www.linkedin.com/company/insta360/
Creative Force,https://www.crunchbase.com/organization/creative-force,101-250,Active,https://www.creativeforce.io,contact@creativeforce.io,,,,,,,,,,"Commerce and Shopping, Content and Publishing, Media and Entertainment, Software","E-Commerce, Photography, SaaS, Software",,,,,648358,USD,648358,,,"San Francisco, California, United States",$1M to $10M,2019-09-11,day,"Hearst Ventures, Vaekstfonden, Export and Investment Fund, byFounders",https://www.linkedin.com/company/creativeforce/
Promo.com,https://www.crunchbase.com/organization/promocom,51-100,Active,http://promo.com,interest@promo.com,,,,,,,,,,"Advertising, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Other, Sales and Marketing, Software, Video","Advertising, Mobile, Photography, Small and Medium Businesses, Social Media, Social Media Marketing, Software, Video, Video Advertising, Video Editing",,,,,,,,,,"Tel Aviv-yafo, Tel Aviv, Israel",$10M to $50M,2012-01-01,year,"Getty Images, Mizrahi Tefahot Bank, Benson Oak Ventures",https://www.linkedin.com/company/promodotcom
Pixocial,https://www.crunchbase.com/organization/pixocial,101-250,Active,https://www.pixocial.com,info@pixocial.com,,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video","Artificial Intelligence (AI), Photo Editing, Software, Video Editing",0,6,,Scientific and electric apparatus and instruments,,,,,,"Singapore, Central Region, Singapore",$1M to $10M,2013-01-01,year,"Meitu, Eight Roads Ventures, FutureX Capital",https://www.linkedin.com/company/pixocial-technology/
MPB,https://www.crunchbase.com/organization/mpb-com,251-500,Active,https://www.mpb.com,,330 818 0756,,,,,,,,,"Commerce and Shopping, Content and Publishing, Internet Services, Media and Entertainment, Other","Consumer, Content Creators, E-Commerce, E-Commerce Platforms, Photography",0,6,,Scientific and electric apparatus and instruments,830708,USD,830708,,,"Brighton, East Sussex, United Kingdom",Less than $1M,2011-01-01,year,"HSBC, Beringea, Vitruvian Partners, Barclays Corporate Banking, Mobeus Equity Partners",https://www.linkedin.com/company/mpbcom
MediaValet Inc.,https://www.crunchbase.com/organization/mediavalet,101-250,Active,http://www.mediavalet.com/,info@mediavalet.com,(604)688-2321 / 1(877) 688-2321,,,,,,,,,"Content and Publishing, Media and Entertainment, Other, Sales and Marketing, Software, Video","B2B, Content Discovery, Digital Media, Enterprise Software, File Sharing, Marketing, Photo Sharing, SaaS, Software, Video Streaming",0,8,,Scientific and technological services,1653185,USD,1653185,,,"Vancouver, British Columbia, Canada",$10M to $50M,2010-01-01,year,"Canaccord Genuity Group, Haywood Securities Inc., Gravitas Securities, Cormark Securities Inc.",https://www.linkedin.com/company/mediavalet
