Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
SAP Litmos,https://www.crunchbase.com/organization/litmos,501-1000,Active,http://www.litmos.com,support@litmos.com,(866) 447-2211,,,,,,,,,"Data and Analytics, Design, Education, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software, Video","E-Learning, Education, Market Research, Messaging, Presentations, SaaS, Skill Assessment, Software, Training, Video",,,,,,,,,,"Dublin, California, United States",$10B+,2006-08-01,day,,https://www.linkedin.com/company/litmos
TED,https://www.crunchbase.com/organization/ted,51-100,Active,http://www.ted.com,registration@ted.com,+1-212-346-9333,4,4,2,,,,,,"Events, Media and Entertainment, Other, Social Impact, Software, Video","Events, Non Profit, Presentations, Video",0,66,,Education; entertainment,2431885,USD,2431885,,,"New York, New York, United States",$100M to $500M,1984-01-01,year,,https://www.linkedin.com/company/ted-conferences
Panopto,https://www.crunchbase.com/organization/panopto,101-250,Active,http://www.panopto.com,sales@panopto.com,(855) 726-6786,,,,,,,,,"Media and Entertainment, Software, Video","Enterprise Software, Presentations, Software, Video",,,,,2755232,USD,2755232,,,"Seattle, Washington, United States",$50M to $100M,2007-01-01,year,"Runa Capital, K1 Investment Management, Sterling Partners, Square 1 Bank, Mountain Group Capital",http://www.linkedin.com/company/panopto
Rhetoric,https://www.crunchbase.com/organization/rhetoric,1-10,Active,https://www.rhetoric.app,hello@rhetoric.app,,,,,,,,,,Software,"Presentation Software, Presentations, Software",,,,,,,,,,"San Francisco, California, United States",$50M to $100M,2021-01-01,year,"Floodgate, Bloomberg Beta, Liquid 2 Ventures",https://www.linkedin.com/company/meetrhetoric/
Slideshop.com,https://www.crunchbase.com/organization/slideshop-com,11-50,Closed,http://slideshop.com,scarlett@slideshop.com,,,,,,,,,,"Sales and Marketing, Software","Presentations, Public Relations",,,,,,,,,,"San Francisco, California, United States",$50M to $100M,2012-01-01,year,,
Cortec Precision,https://www.crunchbase.com/organization/cortec-precision,251-500,Active,https://www.cortecprecision.com/,cortec@cortecprecision.com,+1 512 927 2909,,,,,,,,,"Administrative Services, Manufacturing, Science and Engineering, Software","Industrial Engineering, Manufacturing, Packaging Services, Presentations",,,,,1568761,USD,1568761,,,"San Jose, California, United States",$50M to $100M,1975-01-01,year,,
Studio B,https://www.crunchbase.com/organization/studio-b-75f4,11-50,Active,https://studiob.com,info@studiob.com,1 (800) 788-3462,,,,,,,,,"Education, Media and Entertainment, Sales and Marketing, Software, Video","Content Creators, Content Marketing, Presentations, Training, Video",,,,,21648,USD,21648,,,"Jacksonville, Florida, United States",$50M to $100M,1995-01-01,year,,https://www.linkedin.com/company/studio-b-productions
Mediafly,https://www.crunchbase.com/organization/mediafly,251-500,Active,http://www.mediafly.com,info@mediafly.com,312-281-5175,,,,,,,,,"Information Technology, Sales and Marketing, Software","CMS, Enterprise Software, Presentation Software, Sales Automation",3,8,Electric Communication Technique,Advertising; business,3241481,USD,3241481,,,"Chicago, Illinois, United States",$10M to $50M,2006-01-01,year,"BIP Ventures, Boathouse Capital, Sterling National Bank, Keiretsu Forum",http://www.linkedin.com/company/mediafly
Prezi,https://www.crunchbase.com/organization/prezi,251-500,Active,https://prezi.com,press@prezi.com,,,,,,,,,,"Data and Analytics, Education, Information Technology, Internet Services, Sales and Marketing, Software","Analytics, Cloud Data Services, Education, Marketing, Presentations, SaaS, Sales, Software",13,11,Computing; Calculating,Scientific and electric apparatus and instruments,4051793,USD,4051793,,,"San Francisco, California, United States",$10M to $50M,2009-01-01,year,"Spectrum Equity, Heartcore Capital, BootstrapLabs, Accel, Magyar Telekom",https://www.linkedin.com/company/prezi
Genially,https://www.crunchbase.com/organization/genially,101-250,Active,http://www.genial.ly,info@genial.ly,+34 957612920,1,1,,,,,,,"Design, Internet Services, Media and Entertainment, Software","Content, Digital Media, Graphic Design, Presentations, Social Media, Software",0,2,,Scientific and electric apparatus and instruments,,,,,,"Córdoba, Andalucia, Spain",$10M to $50M,2014-04-15,day,"Wayra, Owl Ventures, GP Bullhound, Criteria Venture Tech, s16vc",https://www.linkedin.com/company/genial-ly
