Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Dropbox,https://www.crunchbase.com/organization/dropbox,1001-5000,Active,https://www.dropbox.com,,+18552376726,3,3,1,,,,,,"Hardware, Information Technology, Internet Services, Other, Software","Collaboration, Enterprise Software, File Sharing, Private Cloud, Web Hosting","1,195",34,Computing; Calculating,Scientific and technological services,179384432,USD,179384432,,,"San Francisco, California, United States",$1B to $10B,2007-06-01,day,"Bank of America, JP Morgan Chase, Innovation Department, Macquarie Group, RBC Capital",https://www.linkedin.com/company/dropbox
STACKPATH,https://www.crunchbase.com/organization/stackpath,251-500,Active,https://www.stackpath.com/,hello@stackpath.com,(877)629-2361,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Internet, Private Cloud",,,,,8822250,USD,8822250,,,"Dallas, Texas, United States",$100M to $500M,2015-01-01,year,"Juniper Networks, ABRY Partners, Cox Communications, Sweetwater Capital Partners, David Mytton",https://www.linkedin.com/company/stackpath/
Kiteworks,https://www.crunchbase.com/organization/accellion,251-500,Active,http://www.kiteworks.com,info@kiteworks.com,(650)485-4300,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Professional Services, Software","Cloud Security, Compliance, Enterprise Software, File Sharing, Private Cloud, Security, Software",3,0,Computing; Calculating,,3528606,USD,3528606,,,"San Mateo, California, United States",$10M to $50M,1999-01-01,year,"Riverwood Capital, Bregal Sagemount",https://www.linkedin.com/company/kiteworkscgcp/
CloudBolt,https://www.crunchbase.com/organization/cloudbolt-software,101-250,Active,https://www.cloudbolt.io,support@cloudbolt.io,(703) 665-1060,,,,,,,,,"Hardware, Information Technology, Internet Services, Other, Software","Cloud Computing, Cloud Management, Data Center Automation, DevOps, Enterprise, Enterprise Software, IT Management, Private Cloud, SaaS, Software",5,3,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Rockville, Maryland, United States",$10M to $50M,2012-01-01,year,"Hercules Capital, Bridge Bank, Insight Partners",https://www.linkedin.com/company/cloudbolt/
Zerto,https://www.crunchbase.com/organization/zerto,501-1000,Active,http://www.zerto.com,info@zerto.com,800-687-9259,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Software","Computer, Enterprise Software, Private Cloud, SaaS, Software, Virtualization",,,,,8492540,USD,8492540,,,"Boston, Massachusetts, United States",$100M to $500M,2009-01-01,year,"83North, U.S. Venture Partners, Vintage Investment Partners, Kreos Capital, Harmony Partners",http://www.linkedin.com/company/zerto
Cronos Group,https://www.crunchbase.com/organization/cronos-group-93d4,251-500,Active,http://thecronosgroup.com,info@thecronosgroup.com,+1 (416) 504-0004,1,1,1,,,,,,"Community and Lifestyle, Financial Services, Food and Beverage, Hardware, Health Care, Information Technology, Internet Services, Lending and Investments, Professional Services, Software","Cannabis, Consulting, Crowdfunding, Financial Services, FinTech, Medical, Pharmaceutical, Private Cloud, Venture Capital",3,44,,Tobacco; smokers' articles,,,,,,"Toronto, Ontario, Canada",$50M to $100M,2013-01-01,year,"Altria, Korea Investment Corp, Searchtech Ventures",https://www.linkedin.com/company/cronosgroupcron/
FileCloud,https://www.crunchbase.com/organization/codelathe,101-250,Active,https://www.filecloud.com,sales@filecloud.com,1(188)857-16480,,,,,,,,,"Apps, Content and Publishing, Data and Analytics, Hardware, Information Technology, Internet Services, Media and Entertainment, Mobile, Other, Privacy and Security, Professional Services, Software","Cloud Infrastructure, Cloud Security, Compliance, Cyber Security, Database, DRM, Enterprise, Mobile Apps, Private Cloud, Security",0,3,,Scientific and electric apparatus and instruments,740716,USD,740716,,,"Austin, Texas, United States",$1M to $10M,2016-10-03,day,"Avidbank, Kennet Partners, Savant Growth",http://www.linkedin.com/company/filecloud
Pi Datacenters,https://www.crunchbase.com/organization/pi-datacenters,101-250,Active,http://pidatacenters.com/,marcom@pidatacenters.com,8712630334,,,,,,,,,"Hardware, Information Technology, Internet Services, Software, Sustainability","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Storage, Enterprise Software, GreenTech, Information Services, Information Technology, IT Infrastructure, Private Cloud",,,,,,,,,,"Vijayawada, Andhra Pradesh, India",$10M to $50M,2014-09-04,day,Epsilon Venture Partners,https://www.linkedin.com/company/6437312
HashiCorp,https://www.crunchbase.com/organization/hashicorp,1001-5000,Active,https://www.hashicorp.com,hello@hashicorp.com,1 415-301-3250,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Infrastructure, Cyber Security, DevOps, Information Technology, Private Cloud, Software",,,,,71385000,USD,71385000,,,"San Francisco, California, United States",$100M to $500M,2012-01-01,year,"Notable Capital, TCV, Employee Stock Option Fund, Franklin Templeton, ICONIQ Growth",https://www.linkedin.com/company/HashiCorp
Alef Edge,https://www.crunchbase.com/organization/alefedge,51-100,Active,https://www.alefedge.com/,info@wearealef.com,+9735326530,,,,,,,,,"Hardware, Information Technology, Internet Services, Mobile, Software","Cloud Computing, Internet, Mobile, Private Cloud, SaaS, Telecommunications",9,1,Electric Communication Technique,Telecommunications,455471,USD,455471,,,"New York, New York, United States",$1M to $10M,2013-01-01,year,"Tata Capital, Redwood Technology Ventures, Redwood Venture Partners, Select Venture Partners, Newport Asset Management",https://www.linkedin.com/company/alefedge/
