Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Zurich Insurance Group,https://www.crunchbase.com/organization/zurich-insurance-group,10001+,Active,http://www.zurich.com,Johrenk7@gmail.com,+41 44 625 25 25,15,16,11,1,,,,,"Financial Services, Software","Financial Services, Insurance, Productivity Tools",3,29,,Insurance; financial affairs,7580864746,USD,7580864746,,,"Zürich, Zurich, Switzerland",$10B+,1872-01-01,year,,http://www.linkedin.com/company/zurich-insurance-company-ltd
Microsoft Danmark,https://www.crunchbase.com/organization/microsoft-danmark,251-500,Active,http://www.microsoft.dk,danmark@microsoft.com,45 82333100,,,,,,,,,"Apps, Software","Consumer Applications, Productivity Tools, Software",,,,,,,,,,"Kongens Lyngby, Hovedstaden, Denmark",$10B+,1991-01-01,day,,
Lavoro Agro,https://www.crunchbase.com/organization/lavoro-agro,1001-5000,Active,https://www.lavoroagro.com/,atendimento@lavoroagro.com,(11) 4280 0790,,,,,,,,,"Agriculture and Farming, Software","Agriculture, Productivity Tools",,,,,,,,,,"Munhoz De Melo, Parana, Brazil",$1B to $10B,2020-01-01,year,,https://www.linkedin.com/company/lavoroagro/
"Block, Inc.",https://www.crunchbase.com/organization/square,10001+,Active,https://block.xyz,,,20,22,3,3,,,,,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Hardware, Mobile, Payments, Software","Bitcoin, FinTech, Mobile Payments, Productivity Tools, Retail Technology",143,1,Computing; Calculating,Insurance; financial affairs,2629738050,USD,2629738050,,,"San Francisco, California, United States",$1B to $10B,2009-02-01,day,"Notable Capital, Starbucks, JP Morgan Chase, DCVC, VMware",https://www.linkedin.com/company/joinblock
TIBCO,https://www.crunchbase.com/organization/tibco-software,1001-5000,Active,http://www.tibco.com,investor.relations@tibco.com,650 846 1000,10,11,1,1,,,,,"Data and Analytics, Other, Software","Analytics, Big Data, Business Intelligence, Business Process Automation (BPA), Collaboration, Enterprise Software, Infrastructure, Productivity Tools, SaaS, Software",40,55,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Palo Alto, California, United States",$1B to $10B,1997-01-01,year,,http://www.linkedin.com/company/tibco-software-inc-
Cadynce,https://www.crunchbase.com/organization/cadynce,11-50,Active,https://cadynce.com,info@cadynce.com,,,,,,,,,,"Professional Services, Software","Business Development, Productivity Tools, Software",0,1,,Scientific and technological services,,,,,,"Dallas, Texas, United States",$1B to $10B,2020-06-01,month,,https://www.linkedin.com/company/cadynce
Tire Rack,https://www.crunchbase.com/organization/tire-rack,501-1000,Active,https://www.tirerack.com/content/tirerack/desktop/en/homepage.html,,+1 888 981 3953,,,,,,,,,"Design, Hardware, Software, Transportation","Automotive, Mechanical Design, Productivity Tools",0,31,,Advertising; business,13109682,USD,13109682,,,"South Bend, Indiana, United States",$1B to $10B,1979-01-01,year,,https://www.linkedin.com/company/the-tire-rack/
Canon USA,https://www.crunchbase.com/organization/canon-usa,10001+,Active,https://www.usa.canon.com/internet/portal/us/home,,1-855_948_3900,,,,,,,,,"Content and Publishing, Media and Entertainment, Software","Digital Media, Photography, Productivity Tools",468,54,Medical Or Veterinary Science; Hygiene,Scientific and electric apparatus and instruments,,,,,,"Melville, New York, United States",$1B to $10B,1995-01-01,year,,https://www.linkedin.com/company/canonusa/
Datadog,https://www.crunchbase.com/organization/datadog,1001-5000,Active,https://www.datadoghq.com,info@datadoghq.com,866 329-4466,1,1,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Analytics, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Data Management, DevOps, Productivity Tools, SaaS",19,15,,Scientific and technological services,129247220,USD,129247220,,,"New York, New York, United States",$500M to $1B,2010-01-01,year,"ICONIQ Growth, Meritech Capital Partners, Pario Ventures, Contour Venture Partners, Index Ventures",http://www.linkedin.com/company/datadog
DeHaat,https://www.crunchbase.com/organization/dehaat,1001-5000,Active,http://agrevolution.in,contact@agrevolution.in,1800 1036 110,,,,,,,,,"Agriculture and Farming, Software","Agriculture, AgTech, Farming, Productivity Tools",,,,,,,,,,"Patna City, Bihar, India",$500M to $1B,2012-02-06,day,"AgFunder, Lightrock, Omnivore, Prosus Ventures, Sofina",https://www.linkedin.com/company/dehaat
Husqvarna,https://www.crunchbase.com/organization/husqvarna,1001-5000,Active,https://www.husqvarna.com,info@husqvarna.com,+46 36 14 65 00,5,6,3,,,,,,"Agriculture and Farming, Hardware, Manufacturing, Real Estate, Science and Engineering, Software, Sports","Forestry, Home and Garden, Machinery Manufacturing, Manufacturing, Outdoors, Productivity Tools, Robotics","2,038",505,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,Machines and machine tools,411245874,USD,411245874,,,"Stockholm, Stockholms Lan, Sweden",$500M to $1B,1689-01-01,year,Bosch,http://www.linkedin.com/company/husqvarna
SunSource,https://www.crunchbase.com/organization/sunsource-2,501-1000,Active,http://www.sun-source.com,info@sunsrce.com,888-786-7723,,,,,,,,,"Energy, Manufacturing, Natural Resources, Software, Sustainability, Transportation","Energy, Industrial, Machinery Manufacturing, Productivity Tools, Renewable Energy, Solar, Supply Chain Management",,,,,12489189,USD,12489189,,,"Addison, Illinois, United States",$500M to $1B,1929-01-01,day,,https://www.linkedin.com/company/sunsource
Undefined Labs,https://www.crunchbase.com/organization/undefined-labs,11-50,Active,https://undefinedlabs.com/,,,,,,,,,,,Software,"Developer Tools, Productivity Tools, Software",,,,,315422,USD,315422,,,"San Francisco, California, United States",$500M to $1B,2018-01-01,year,,https://linkedin.com/companies/undefinedlabs
Kemmler,https://www.crunchbase.com/organization/kemmler,11-50,Active,https://kemmler-tools.de/,info@kemmler-tools.de,+497473 924080,,,,,,,,,"Information Technology, Manufacturing, Other, Software","Machinery Manufacturing, Manufacturing, Productivity Tools, Technical Support",,,,,100050,USD,100050,,,"Mössingen, Baden-Wurttemberg, Germany",$500M to $1B,1997-01-01,year,,https://www.linkedin.com/company/kemmler-pr%C3%A4zisionswerkzeuge-gmbh/
Zedach group,https://www.crunchbase.com/organization/zedach-group,1-10,Active,http://www.zedach.com,info@zedach.eu,49-431-54626700,,,,,,,,,"Real Estate, Software","Building Material, Productivity Tools, Software",,,,,,,,,,"Hamm, Nordrhein-Westfalen, Germany",$500M to $1B,2002-01-01,day,,
Slack,https://www.crunchbase.com/organization/slack,1001-5000,Active,http://www.slack.com,feedback@slack.com,,22,25,8,3,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Collaboration, Enterprise Software, Messaging, Productivity Tools",96,0,Computing; Calculating,,93666,USD,93666,,,"San Francisco, California, United States",$100M to $500M,2009-01-01,day,"Notable Capital, Thrive Capital, Social Capital, Dragoneer Investment Group, Wellington Management",https://www.linkedin.com/company/tiny-spec-inc
Restaurant365,https://www.crunchbase.com/organization/restaurant365,251-500,Active,https://www.restaurant365.com,support@restaurant365.com,+1 949 652 7800,,,,,,,,,"Financial Services, Food and Beverage, Professional Services, Software","Accounting, Productivity Tools, Restaurants, SaaS, Software",,,,,7293275,USD,7293275,,,"Irvine, California, United States",$100M to $500M,2011-01-01,year,"L Catterton, ICONIQ Growth, Tiger Global Management, Bessemer Venture Partners, Kohlberg Kravis Roberts",https://www.linkedin.com/company/restaurant365-cloud-erp-for-restaurants
