Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
BharatPe,https://www.crunchbase.com/organization/bharatpe,251-500,Active,https://bharatpe.com,support@bharatpe.com,+91 88825 55444,,,,,,,,,"Apps, Financial Services, Payments, Software","Apps, Financial Services, FinTech, Payments, QR Codes",,,,,,,,,,"New Delhi, Delhi, India",$100M to $500M,2018-04-01,month,"ICICI Bank, Venture Catalysts, Northern Arc, Sequoia Capital, Dragoneer Investment Group",https://www.linkedin.com/company/bharatpe
Fineline,https://www.crunchbase.com/organization/fineline,251-500,Active,http://www.finelinetech.com/,,678-969-0835,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Events, Hardware, Manufacturing, Media and Entertainment, Software, Transportation","Fashion, Manufacturing, QR Codes, Retail, Retail Technology, RFID, Software, Supply Chain Management, Ticketing",,,,,2724687,USD,2724687,,,"Norcross, Georgia, United States",$100M to $500M,1998-03-10,day,"Triangle Peak Partners, Jay D. Pauley",http://www.linkedin.com/company/fineline-technologies
Sundayapp,https://www.crunchbase.com/organization/sundayapp,101-250,Active,https://sundayapp.com,press@sundayapp.com,,,,,,,,,,"Apps, Commerce and Shopping, Financial Services, Food and Beverage, Mobile, Payments, Software","Apps, Finance, Mobile Payments, Payments, Point of Sale, QR Codes, Restaurants, Software, Transaction Processing",,,,,,,,,,"Atlanta, Georgia, United States",$10M to $50M,2021-01-01,year,"New Wave (VC), Coatue, DST Global, Sebastien Breteau, French Partners",https://www.linkedin.com/company/sundaytech/about/
Destácame,https://www.crunchbase.com/organization/destacame,101-250,Active,https://www.destacame.cl,soporte@destacame.cl,,,,,,,,,,"Financial Services, Software","Credit Bureau, Financial Services, QR Codes",,,,,,,,,,"Santiago, Region Metropolitana, Chile",$10M to $50M,2014-01-01,year,"Nazca Ventures, Catalyst Fund, Accion Venture Lab, Mountain Partners, Kayyak Ventures",https://www.linkedin.com/company/destacame
Flowcode,https://www.crunchbase.com/organization/flowcode,101-250,Active,https://www.flowcode.com/,partner@flowcode.com,646-200-1291,,,,,,,,,"Data and Analytics, Internet Services, Mobile, Software","Analytics, Internet, Mobile, QR Codes",,,,,2106951,USD,2106951,,,"New York, New York, United States",$10M to $50M,2019-01-01,year,"Allen & Company, Raptor Group, Quad, SV Angel",https://www.linkedin.com/company/flowcode-qr/
Barcoding,https://www.crunchbase.com/organization/barcoding,251-500,Active,http://www.barcoding.com,info@barcoding.com,4103858559,1,1,,,,,,,"Hardware, Mobile, Software","QR Codes, RFID, Software, Wireless",6,8,Computing; Calculating,Scientific and technological services,2745957,USD,2745957,,,"Baltimore, Maryland, United States",$10M to $50M,1998-01-01,year,SOSV,https://www.linkedin.com/company/67301
YouTransactor,https://www.crunchbase.com/organization/youtransactor,11-50,Active,http://www.youtransactor.com,,+33175437520,,,,,,,,,"Commerce and Shopping, Financial Services, Hardware, Mobile, Payments, Software","Debit Cards, E-Commerce, Financial Services, FinTech, Mobile Payments, Payments, Point of Sale, QR Codes, Retail Technology",,,,,198043,USD,198043,,,"Paris, Ile-de-France, France",$10M to $50M,2008-01-01,year,"EASME - EU Executive Agency for SMEs, BlackFin Capital Partners",https://www.linkedin.com/company/youtransactor
SwiftPass Technologies,https://www.crunchbase.com/organization/swiftpass-technologies,501-1000,Active,http://www.swiftpassglobal.com/,info@swiftpass.cn,,2,2,2,,,,,,"Financial Services, Information Technology, Internet Services, Mobile, Payments, Software","Financial Services, Information Technology, Internet, Mobile Payments, Payments, QR Codes",,,,,,,,,,"Shenzhen, Guangdong, China",$10M to $50M,2013-01-01,year,,https://www.linkedin.com/company/swiftpass/
Scanbuy,https://www.crunchbase.com/organization/scanbuy,51-100,Active,http://www.scanlife.com,info@scanbuy.com,(121) 227-8017,,,,,,,,,"Advertising, Mobile, Sales and Marketing, Software","Advertising, Enterprise Software, Mobile, QR Codes",,,,,2571287,USD,2571287,,,"New York, New York, United States",$10M to $50M,2000-01-01,year,"Longworth Venture Partners, Motorola Solutions Venture Capital, Masthead Venture Partners, Zebra Ventures, Hudson Ventures",http://www.linkedin.com/company/scanbuy
Delivr,https://www.crunchbase.com/organization/delivr,1-10,Active,http://delivr.com,support@delivr.com,631.750.2785,,,,,,,,,"Advertising, Mobile, Sales and Marketing, Software","Advertising, Mobile, QR Codes",0,5,,Advertising; business,280623,USD,280623,,,"Nesconset, New York, United States",$10M to $50M,2009-01-01,year,,http://www.linkedin.com/company/delivr
XNAP,https://www.crunchbase.com/organization/xnap,51-100,Active,https://xnap.network,contact@xnap.network,+65 6272 5115,,,,,,,,,"Apps, Financial Services, Mobile, Payments, Software","Mobile Apps, Mobile Payments, QR Codes",,,,,,,,,,"Singapore, Central Region, Singapore",$10M to $50M,,,,https://www.linkedin.com/company/xnapnetwork
Cellum Group,https://www.crunchbase.com/organization/cellum-group,51-100,Active,http://www.cellum.com,marketing@cellum.com,36 23 814 633,,,,,,,,,"Commerce and Shopping, Financial Services, Mobile, Other, Payments, Privacy and Security, Software","B2B, Mobile, Mobile Payments, Payments, QR Codes, Security, Shopping",,,,,90402,USD,90402,,,"Budaörs, Pest, Hungary",$10M to $50M,2000-01-01,year,"PortfoLion Capital Partners, Telkom Indonesia",http://www.linkedin.com/company/cellumgroup
Insignia,https://www.crunchbase.com/organization/insignia-e3cf,101-250,Active,https://www.insignia.com.au/,sales@insignia.com.au,+61 1300 467 446,,,,,,,,,"Content and Publishing, Manufacturing, Media and Entertainment, Software","Industrial Manufacturing, Manufacturing, Printing, QR Codes",,,,,,,,,,"Brisbane, Queensland, Australia",$10M to $50M,1970-01-01,year,,https://www.linkedin.com/company/insignia-pty-ltd/
Vangaurd ID Systems,https://www.crunchbase.com/organization/vangaurd-id-systems,11-50,Active,https://vanguardid.com/,info@vanguardid.com,+1-610-719-0700,,,,,,,,,"Consumer Electronics, Content and Publishing, Hardware, Manufacturing, Media and Entertainment, Software","Electronics, Manufacturing, Printing, QR Codes",,,,,378724,USD,378724,,,"West Chester, Pennsylvania, United States",$10M to $50M,1987-01-01,year,,https://www.linkedin.com/company/vanguard-id-systems/
BlueWave Communications,https://www.crunchbase.com/organization/bluewave-communications,1-10,Active,http://www.bwc.biz,info@bwc.biz,2123587555,,,,,,,,,"Apps, Financial Services, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Payments, Software","Messaging, Mobile, Mobile Apps, Mobile Payments, NFC, QR Codes, SMS, Wireless",,,,,839013,USD,839013,,,"Santa Monica, California, United States",$10M to $50M,2000-01-07,day,,https://www.linkedin.com/company/bluewave-communications
"Qondado, LLC - Digital Debit Group",https://www.crunchbase.com/organization/qondado-llc,1-10,Active,https://digitaldebit.com,info@qondado.com,(844)563-3539,,,,,,,,,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Hardware, Mobile, Other, Payments, Privacy and Security, Software","Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Mobile Payments, QR Codes, Retail Technology, Security, Transaction Processing",,,,,,,,,,"San Juan, NA - Puerto Rico, Puerto Rico",$10M to $50M,2015-11-17,day,,https://pr.linkedin.com/in/edwardrobles
