Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Zebra Technologies,https://www.crunchbase.com/organization/zebra-technologies,10001+,Active,https://www.zebra.com,socialmedia@zebra.com,1(877)275-9327,4,4,2,1,,,,,"Hardware, Information Technology, Manufacturing, Mobile, Other, Software","Information Technology, Manufacturing, Optical Communication, Real Time, RFID, Software, Telecommunications, Wireless",,,,,424368522,USD,424368522,,,"Lincolnshire, Illinois, United States",$1B to $10B,1991-01-01,year,"Morgan Stanley, Rev1 Ventures, North Coast Ventures, Deutsche Bank, Plymouth Growth",https://www.linkedin.com/company/zebra-technologies
Avery Dennison,https://www.crunchbase.com/organization/avery-dennison,10001+,Active,http://www.averydennison.com,communications@averydennison.com,(162) 630-4200,8,11,3,,,,,,"Administrative Services, Hardware, Manufacturing","Manufacturing, Packaging Services, RFID",993,238,Dyes; Paints; Polishes; Natural Resins; Adhesives; Miscellaneous Compositions; Miscellaneous Applications Of Materials,"Rubber and plastic goods; packing, stopping and insulating materials",196185279,USD,196185279,,,"Glendale, California, United States",$1B to $10B,1935-01-01,year,,http://www.linkedin.com/company/avery-dennison
AMCS Group,https://www.crunchbase.com/organization/advanced-manufacturing-control-systems,251-500,Active,http://www.amcsgroup.com,infoIE@amcsgroup.com,+353061390600,,,,,,,,,"Data and Analytics, Energy, Hardware, Natural Resources, Science and Engineering, Software, Sustainability","Business Intelligence, Enterprise Resource Planning (ERP), Environmental Engineering, Oil and Gas, Recycling, RFID, Software",,,,,50386740,USD,50386740,,,"Limerick, Limerick, Ireland",$10M to $50M,2003-01-01,year,"Investec, Enterprise Ireland, Highland Europe, Insight Partners, Silicon Valley Bank",https://www.linkedin.com/company/amcs-group
Identiv,https://www.crunchbase.com/organization/identiv,251-500,Active,http://www.identiv.com,info@identive-group.com,01524 840112,1,1,1,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cyber Security, Developer Platform, Hardware, Identity Management, Internet of Things, Network Security, NFC, RFID, Security",3,6,Computing; Calculating,Scientific and electric apparatus and instruments,8059703,USD,8059703,,,"Fremont, California, United States",$100M to $500M,1990-01-01,year,"Western Technology Investment, Mountain Partners, Reference Capital SA, Dr. Cornelius Boersch",http://www.linkedin.com/company/identiv
PowerFleet,https://www.crunchbase.com/organization/i-d-systems,51-100,Active,https://www.powerfleet.com/,info@id-systems.com,2019969144,,,,,,,,,Hardware,"RFID, Telecommunications",31,14,Electric Communication Technique,Scientific and electric apparatus and instruments,10207297,USD,10207297,,,"Hackensack, New Jersey, United States",$100M to $500M,1993-01-01,year,ABRY Partners,http://www.linkedin.com/company/i.d.-systems-inc
SuperCom,https://www.crunchbase.com/organization/supercom-2,101-250,Active,http://www.supercom.com/,general@supercom.com,+97298890880,,,,,,,,,"Consumer Electronics, Hardware, Information Technology","Electronics, Information Technology, RFID",15,0,Computing; Calculating,,,,,,,"Herzliya, Tel Aviv, Israel",$10M to $50M,1988-01-01,year,Fortress Investment Group,https://www.linkedin.com/company/supercom
Aethon,https://www.crunchbase.com/organization/aethon,101-250,Active,http://www.aethon.com,tmelanson@aethon.com,(412)322-2975,,,,,,,,,"Hardware, Health Care, Transportation","Health Care, Hospital, Logistics, Medical, RFID",4,0,Computing; Calculating,Scientific and electric apparatus and instruments,429228,USD,429228,,,"Pittsburgh, Pennsylvania, United States",$10M to $50M,2001-01-01,year,"Trident Capital, Mitsui & Co, Bosch Ventures, Ascension Ventures, Draper Triangle",https://www.linkedin.com/company/aethon
Ecoark,https://www.crunchbase.com/organization/ecoark,101-250,Active,http://ecoarkusa.com,info@ecoarkusa.com,+1 479 259 2977,,,,,,,,,"Energy, Hardware, Natural Resources, Transportation","Energy, Logistics, Mining, RFID, Supply Chain Management",124,9,Computing; Calculating,Scientific and technological services,2717454,USD,2717454,,,"Rogers, Arkansas, United States",$10M to $50M,2011-11-28,day,"Trend Discovery, Ascendiant Capital Partners",https://www.linkedin.com/company/4839119
Alien Technology,https://www.crunchbase.com/organization/alien-technology,251-500,Active,http://www.alientechnology.com,,(408)782-3900,,,,,,,,,"Clothing and Apparel, Hardware, Information Technology, Science and Engineering, Transportation","Apparel, Information Technology, RFID, Semiconductor, Transportation",0,1,,Scientific and electric apparatus and instruments,15663,USD,15663,,,"San Jose, California, United States",$50M to $100M,1994-01-01,year,"Philips, Dupont, New Enterprise Associates, Rho Capital Partners, Rho Ventures",https://www.linkedin.com/company/alien-technology/
PINC,https://www.crunchbase.com/organization/pinc-solutions,51-100,Active,http://www.pinc.com/,info@pinc.com,(510) 474-7500,,,,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Internet Services, Software, Transportation","Drones, Internet of Things, Logistics, RFID, Software, Supply Chain Management, Transportation",3,0,Computing; Calculating,,486866,USD,486866,,,"Union City, California, United States",$1M to $10M,2004-01-01,year,"Sutter Hill Ventures, Accel-KKR, Horizon Ventures",http://www.linkedin.com/company/pinc-solutions
