Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Blinkist,https://www.crunchbase.com/organization/blinkist,101-250,Active,https://blinkist.com,hello@blinkist.com,,,,,,,,,,"Apps, Content and Publishing, Education, Media and Entertainment, Mobile, Software","Books, Education, Mobile Apps, Reading Apps",0,5,,Scientific and electric apparatus and instruments,,,,,,"Berlin, Berlin, Germany",$10M to $50M,2012-08-21,day,"IBB Ventures, Insight Partners, Headline, Hubraum, Greycroft",https://www.linkedin.com/company/2821100
Pratilipi,https://www.crunchbase.com/organization/pratilipi,251-500,Active,https://www.pratilipi.com/,contact@pratilipi.com,+080 41710149,,,,,,,,,"Apps, Media and Entertainment, Music and Audio, Software","Apps, Audio, Reading Apps",,,,,,,,,,"Bengaluru, Karnataka, India",$1M to $10M,2015-03-12,day,"Krafton, Tencent, Nexus Venture Partners, Qiming Venture Partners, Omidyar Network",https://www.linkedin.com/company/pratilipi/
Radish,https://www.crunchbase.com/organization/radish-media-inc,51-100,Active,https://www.radishfiction.com,info@radishfiction.com,,,,,,,,,,"Apps, Content and Publishing, Media and Entertainment, Mobile, Software","Apps, Media and Entertainment, Mobile Apps, Publishing, Reading Apps",,,,,,,,,,"New York, New York, United States",$1M to $10M,2015-02-01,month,"SoftBank, ACME Capital, RiverPark Ventures, Mirae Asset Venture Investment, BDMI",https://www.linkedin.com/company/radish-fiction/
Mangatoon,https://www.crunchbase.com/organization/mangatoon,51-100,Active,https://mangatoon.mobi/,support@mangatoon.mobi,,,,,,,,,,"Apps, Consumer Goods, Media and Entertainment, Mobile, Software","Comics, Content, Media and Entertainment, Mobile Apps, Reading Apps",,,,,,,,,,"Changning, Shanghai, China",$1M to $10M,2014-01-01,year,"Lianshang Literature, Vision Plus Capital, Engage Capital, 01vc",https://www.linkedin.com/in/%E6%B5%B7%E6%B3%A2-%E5%BE%90-111997184/
HOMER,https://www.crunchbase.com/organization/learn-with-homer,101-250,Active,http://learnwithhomer.com,media@homerapp.com,,,,,,,,,,"Apps, Education, Mobile, Platforms, Software","Android, Apps, E-Learning, EdTech, Education, iOS, Mobile, Reading Apps",,,,,3646637,USD,3646637,,,"New York, New York, United States",$1M to $10M,2013-01-30,day,"LIQUiDITY Group, Sesame Workshop, 3one4 Capital, LEGO Ventures, Trustbridge Partners",https://www.linkedin.com/company/homerlearning-inc-/
Speechify,https://www.crunchbase.com/organization/speechify,51-100,Active,https://speechify.com,info@getspeechify.com,,,,,,,,,,"Apps, Information Technology, Software","Information Technology, Reading Apps, Software",,,,,,,,,,"Miami, Florida, United States",$1M to $10M,2017-01-01,year,"Adjacent, G9 Ventures, Streamlined Ventures",https://www.linkedin.com/company/getspeechify/
Tadu Literature,https://www.crunchbase.com/organization/tadu-ae81,251-500,Active,http://www.tadu.com/,wangxin@tadu.cn,86 010-58300715,,,,,,,,,"Apps, Mobile, Other, Software","Consumer, Mobile Apps, Reading Apps",,,,,,,,,,"Beijing, Beijing, China",,2008-09-05,day,"Phoenix New Media, Chenhuan Keji, Bing Ruixin Keji",https://www.linkedin.com/company/塔读文学
Story Nation,https://www.crunchbase.com/organization/story-nation,101-250,Active,https://www.uju-munbanggu.com/,,,,,,,,,,,"Apps, Content and Publishing, Media and Entertainment, Software","EBooks, Publishing, Reading Apps",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2021-08-18,day,"Laguna Investment, Mark & Company",
Jiatu Technology,https://www.crunchbase.com/organization/jiatu-technology,251-500,Active,https://www.jiatu.info/,sale@jiatu.info,4008367700,,,,,,,,,"Apps, Information Technology, Software","Information Technology, Reading Apps",,,,,,,,,,"Suzhou, Jiangsu, China",,2014-05-09,day,"Ant Group, ShareLink Capital, Guangzhou Tuchuang, Ruichi Haosi Ziguan",
Headway EdTech,https://www.crunchbase.com/organization/headway-9eae,101-250,Active,https://makeheadway.com/,partners@makeheadway.com,,,,,,,,,,"Apps, Education, Media and Entertainment, Mobile, Software","Apps, E-Learning, EdTech, Education, Edutainment, Mobile, Mobile Apps, Reading Apps",,,,,,,,,,"London, England, United Kingdom",,2019-01-01,year,,https://www.linkedin.com/company/gthw-app-limited/
Goodreads,https://www.crunchbase.com/organization/goodreads,51-100,Active,http://www.goodreads.com,,,,,,,,,,,"Apps, Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment, Software","Books, Communities, EBooks, Reading Apps, Social Media, Social Network",,,,,21631838,USD,21631838,,,"Santa Monica, California, United States",$100M to $500M,2007-01-15,day,"TenOneTen Ventures, True Ventures, James Currier, Michael Birch, Michael Jones",https://www.linkedin.com/company/goodreads-com
FaceMetrics,https://www.crunchbase.com/organization/facemetrics,51-100,Active,http://facemetrics.io/,info@facemetrics.io,+375 29 681-12-41 ,,,,,,,,,"Apps, Software","Apps, Reading Apps",,,,,,,,,,"Cracow, Malopolskie, Poland",$1M to $10M,2018-01-01,year,"VP Capital, Larnabel Ventures",https://www.linkedin.com/company/facemetrics
Kanmanhua,https://www.crunchbase.com/organization/kanmanhua,101-250,Active,http://www.kanman.com,kefu@xiaomingtaiji.com,400-616-1961,,,,,,,,,"Apps, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software","Books, Internet, Mobile Apps, Reading Apps",,,,,,,,,,"Chengdu, Sichuan, China",,2008-09-19,day,,
Zhang Wen Information,https://www.crunchbase.com/organization/zhang-wen-information,101-250,Active,http://zhangwen.cn/,,,,,,,,,,,"Apps, Media and Entertainment, Mobile, Software","Digital Media, Mobile Apps, Reading Apps",,,,,,,,,,"Beijing Shi, Beijing, China",,2012-06-15,day,"Sequoia Capital China, Matrix Partners China, Zhiyou Fangcun, Shenzhen Haoxiang Touzi",
