Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Planet,https://www.crunchbase.com/organization/planet-labs,501-1000,Active,http://www.planet.com,press@planet.com,415-655-9083,,,,,,,,,"Data and Analytics, Hardware, Navigation and Mapping, Science and Engineering, Software","Aerospace, Analytics, Big Data, Geospatial, Remote Sensing, Software",19,0,Electric Communication Technique,,31371450,USD,31371450,,,"San Francisco, California, United States",$100M to $500M,2010-12-24,day,"RedSeal, Google, DCVC, International Finance Corporation, The Westly Group",http://www.linkedin.com/company/planet-labs
ICEYE,https://www.crunchbase.com/organization/iceye,251-500,Active,https://www.iceye.com,info@iceye.fi,+44 2071400152,,,,,,,,,"Hardware, Information Technology, Science and Engineering","Aerospace, Information Technology, Remote Sensing, Satellite Communication",27,9,Testing,Scientific and electric apparatus and instruments,,,,,,"Espoo, Southern Finland, Finland",$100M to $500M,2014-01-01,year,"BAE Systems, Molten Ventures, Promus Ventures, DNX Ventures, Seraphim Space",https://www.linkedin.com/company/iceye
Lockheed Martin,https://www.crunchbase.com/organization/lockheed-martin,10001+,Active,http://www.lockheedmartin.com,community.relations@lmco.com,(866)562-2363,17,20,11,1,,,,,"Government and Military, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering","Aerospace, Cyber Security, Machinery Manufacturing, Military, National Security, Remote Sensing, Security","4,249",495,Aircraft; Aviation; Cosmonautics,Scientific and electric apparatus and instruments,4967989128,USD,4967989128,,,"Bethesda, Maryland, United States",$10B+,1912-01-01,year,"NYSERDA, U.S. Air Force, Air Force Research Laboratory",http://www.linkedin.com/company/lockheed-martin
Northrop Grumman,https://www.crunchbase.com/organization/northrop-grumman,10001+,Active,http://www.northropgrumman.com,,+1 703 280 2900,5,6,3,,,,,,"Data and Analytics, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Software","Aerospace, Data Integration, Manufacturing, Remote Sensing, Security, Software","2,661",127,Basic Electric Elements,Scientific and electric apparatus and instruments,623548414,USD,623548414,,,"Falls Church, Virginia, United States",$10B+,1994-01-01,year,"NASA, U.S. Department of Defense",http://www.linkedin.com/company/northrop-grumman-corporation
Maxar Technologies,https://www.crunchbase.com/organization/maxar-technologies,1001-5000,Active,https://www.maxar.com,info@maxar.com,303-684-4561,,,,,,,,,"Data and Analytics, Government and Military, Hardware, Navigation and Mapping, Science and Engineering","Aerospace, Geospatial, Government, Remote Sensing, Satellite Communication, Telecommunications",0,18,,Scientific and technological services,123838450,USD,123838450,,,"Westminster, Colorado, United States",$1B to $10B,1968-01-01,year,Sixth Street,https://www.linkedin.com/company/maxar-technologies-ltd
The Boeing Company,https://www.crunchbase.com/organization/the-boeing-company,10001+,Active,http://www.boeing.com,,(312) 544-2000,22,25,16,1,,,,,"Government and Military, Hardware, Manufacturing, Science and Engineering, Transportation","Aerospace, Manufacturing, National Security, Remote Sensing, Transportation","17,790",426,Aircraft; Aviation; Cosmonautics,Games; toys; sports equipment,1134727960,USD,1134727960,,,"Arlington, Virginia, United States",$10B+,1916-07-15,day,"JP Morgan Chase, NASA, Merrill Lynch, New Mexico Economic Development Department, Citibank",https://www.linkedin.com/company/boeing
GHGSat,https://www.crunchbase.com/organization/ghgsat,51-100,Active,http://www.ghgsat.com/,info@ghgsat.com,+1-514-847-9474,,,,,,,,,"Energy, Hardware, Natural Resources, Professional Services, Science and Engineering","Aerospace, Environmental Consulting, Oil and Gas, Remote Sensing",8,2,Testing,Scientific and technological services,437090,USD,437090,,,"Montréal, Quebec, Canada",$1M to $10M,2011-01-01,year,"Bank of Montreal, BDC Venture Capital, Fonds de solidarité FTQ, Investissement Quebec, SLB",https://www.linkedin.com/company/ghgsat-inc-/?originalSubdomain=in
World View Enterprises,https://www.crunchbase.com/organization/worldview,51-100,Active,https://www.worldview.space/,info@worldview.space,520-745-4445,,,,,,,,,"Government and Military, Hardware, Information Technology, Science and Engineering, Transportation","Aerospace, Military, National Security, Remote Sensing, Space Travel",22,7,Aircraft; Aviation; Cosmonautics,"Transport, packaging and storing",326800,USD,326800,,,"Tucson, Arizona, United States",$10M to $50M,2012-08-30,day,"Base Ventures, Revolution’s Rise of the Rest Seed Fund, Sierra Nevada Corporation, Space Capital, Accel",http://www.linkedin.com/company/world-view-enterprises
Ball Corporation,https://www.crunchbase.com/organization/ball-corporation-altrista,10001+,Active,http://ball.com,corpinfo@ball.com,303-469-3131,,,,,,,,,"Administrative Services, Food and Beverage, Hardware, Manufacturing","Food and Beverage, Manufacturing, Packaging Services, Remote Sensing",373,100,Conveying; Packing; Storing; Handling Thin Or Filamentary Material,"Household or kitchen utensils, containers and materials; glassware; porcelain; earthenware",,,,,,"Broomfield, Colorado, United States",$10B+,1880-01-01,year,,http://www.linkedin.com/company/ball
SI Imaging Services,https://www.crunchbase.com/organization/si-imaging-services,51-100,Active,http://www.si-imaging.com,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology","Consumer Electronics, Information Technology, Remote Sensing, Telecommunications",,,,,409755,USD,409755,,,"Daejeon, Taejon-jikhalsi, South Korea",$1M to $10M,2014-01-01,year,Medici Investment,https://www.linkedin.com/company/si-imaging-services/
