Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Quince,https://www.crunchbase.com/organization/Quince,101-250,Active,https://www.quince.com,care@onequince.com,913-845-9376,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Hardware, Software, Transportation","Apparel, E-Commerce, Logistics, Retail, Retail Technology",0,0,,Advertising; business,,,,,,"San Francisco, California, United States",$1M to $10M,2018-08-01,day,"Notable Capital, Wellington Management, Luxor Capital Group, Basis Set Ventures, Founders Fund",https://www.linkedin.com/company/onequince
Aisles,https://www.crunchbase.com/organization/aisles,1-10,Active,https://aisles.app,help@aisles.app,,,,,,,,,,"Apps, Commerce and Shopping, Hardware, Other, Professional Services, Software","Apps, Customer Service, Retail Technology",,,,,,,,,,"Portland, Oregon, United States",$1M to $10M,2020-01-01,year,"Founders Fund, Ignacio Rosales, Sappe, Kartel Music, SM Ventures",https://www.linkedin.com/company/aisles-app
Crisp,https://www.crunchbase.com/organization/crisp-cad3,51-100,Active,https://www.gocrisp.com,info@gocrisp.com,,,,,,,,,,"Commerce and Shopping, Data and Analytics, Food and Beverage, Hardware, Information Technology, Software","Business Intelligence, Data Integration, Food and Beverage, Retail Technology, SaaS",0,24,,Advertising; business,1442467,USD,1442467,,,"New York, New York, United States",$10M to $50M,2016-01-01,year,"Gaingels, TriplePoint Capital, 3L Capital, 9Yards Capital, Blue Cloud Ventures",https://www.linkedin.com/company/gocrisp
fabric,https://www.crunchbase.com/organization/fabric-3ad9,101-250,Active,https://fabric.inc,hello@fabric.inc,425-298-3167,,,,,,,,,"Commerce and Shopping, Hardware, Internet Services, Other, Software","B2B, B2C, E-Commerce, E-Commerce Platforms, Retail Technology, SaaS, Wholesale",0,1,,Scientific and technological services,4862183,USD,4862183,,,"Seattle, Washington, United States",$50M to $100M,2016-01-01,day,"B Capital, Stripes, Sierra Ventures, Ascend, Glynn Capital Management",https://www.linkedin.com/company/teamfabric
Upside,https://www.crunchbase.com/organization/upside-2,251-500,Active,https://upside.com,press@upside.com,,,,,,,,,,"Apps, Commerce and Shopping, Hardware, Mobile, Professional Services, Software","Business Development, Marketplace, Mobile Apps, Retail, Retail Technology",0,7,,"Transport, packaging and storing",4943199,USD,4943199,,,"Washington, District of Columbia, United States",$1M to $10M,2016-01-01,year,"General Catalyst, Builders VC, Bessemer Venture Partners, Bienville Capital",https://www.linkedin.com/company/upside
Trax,https://www.crunchbase.com/organization/traxretail,501-1000,Active,http://traxretail.com,info@trax-tech.com,(656) 224-9145,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Computer Vision, E-Commerce, Image Recognition, Retail Technology",57,21,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Singapore, Central Region, Singapore",$100M to $500M,2010-01-01,year,"Investec, Warburg Pincus, BlackRock, Boyu Capital, Launchbay Capital",https://www.linkedin.com/company/trax-retail
Lightspeed Commerce,https://www.crunchbase.com/organization/lightspeed-retail,1001-5000,Active,http://www.lightspeedhq.com,info@lightspeedhq.com,866-932-1801,,,,,,,,,"Commerce and Shopping, Hardware, Information Technology, Internet Services, Software","Business Information Systems, Cloud Management, E-Commerce, Retail Technology",3,4,Computing; Calculating,Scientific and electric apparatus and instruments,39765414,USD,39765414,,,"Montréal, Quebec, Canada",$500M to $1B,2005-03-20,day,"CIBC, Inovia Capital, Investissement Quebec, Accel, Silicon Valley Bank",https://www.linkedin.com/company/lightspeedhq
RELEX Solutions,https://www.crunchbase.com/organization/relex,1001-5000,Active,http://www.relexsolutions.com/,info@relexsolutions.com,+3580207435730,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Software, Transportation","Enterprise Software, Machine Learning, Retail, Retail Technology, Software, Supply Chain Management",2,7,Computing; Calculating,Scientific and technological services,55293502,USD,55293502,,,"Helsinki, Southern Finland, Finland",$1M to $10M,2005-05-01,day,"TCV, British Petroleum, Summit Partners, Blackstone Group, EASME - EU Executive Agency for SMEs",https://www.linkedin.com/company/relexsolutions/
Newme,https://www.crunchbase.com/organization/newme-6a11,101-250,Active,https://newme.asia,fam@newme.asia,918904469606,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Hardware, Internet Services, Software","E-Commerce, Fashion, Online Portals, Retail, Retail Technology",,,,,,,,,,"Bengaluru, Karnataka, India",,2022-05-01,month,"Banana Capital, Fireside Ventures, 2am VC, All In Capital, AUM Ventures",https://www.linkedin.com/company/newmein
Pattern,https://www.crunchbase.com/organization/pattern-9b1a,1001-5000,Active,https://pattern.com,hello@pattern.com,+1 888 881 7576,,,,,,,,,"Commerce and Shopping, Hardware, Software","E-Commerce, Retail Technology, Software",3,10,Computing; Calculating,Advertising; business,30172833,USD,30172833,,,"Lehi, Utah, United States",$100M to $500M,2013-01-01,year,"Atrium Companies, KSV Global, Knox Lane, Ambridge Capital, Banner Capital Management, LLC",https://www.linkedin.com/company/pattern-hq
