Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
WorkFusion,https://www.crunchbase.com/organization/crowdcomputing-systems,251-500,Active,http://www.workfusion.com/,learn@workfusion.com,+1 646.453.7974,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Business Process Automation (BPA), Enterprise Software, Machine Learning, Productivity Tools, Robotic Process Automation (RPA), Software",13,2,Computing; Calculating,Scientific and technological services,3575215,USD,3575215,,,"New York, New York, United States",$50M to $100M,2009-01-01,year,"Inovia Capital, NGP Capital, Georgian, Alpha Intelligence Capital, Mohr Davidow Ventures",http://www.linkedin.com/company/workfusion
Unitree Robotics,https://www.crunchbase.com/organization/unitree-robotics,251-500,Active,http://www.unitree.cc/cn/,Laikago@unitree.cc,0571-56716562,,,,,,,,,"Artificial Intelligence (AI), Hardware, Information Technology, Manufacturing, Other, Science and Engineering, Software","Information Technology, Machinery Manufacturing, Manufacturing, Robotic Process Automation (RPA), Robotics, Software, Technical Support",2,5,Generation; Conversion Or Distribution Of Electric Power,Machines and machine tools,,,,,,"Hangzhou, Zhejiang, China",$50M to $100M,2016-08-01,month,"Meituan, Sequoia Capital China, Shunwei Capital, Source Code Capital, Decent Capital",
Blue Prism,https://www.crunchbase.com/organization/blue-prism-group-plc,10001+,Active,http://www.blueprism.com,info@blueprism.com,+4408708793000,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Business Process Automation (BPA), Robotic Process Automation (RPA), Robotics, Software",15,30,Computing; Calculating,Scientific and electric apparatus and instruments,28544692,USD,28544692,,,"London, England, United Kingdom",$10M to $50M,2001-01-01,year,"Endeavour Ventures, Enterprise Ventures, Clydesdale Bank, Yorkshire Bank, Merseyside Special Investment Fund",https://www.linkedin.com/company/blue-prism-limited
Laiye,https://www.crunchbase.com/organization/laiye,251-500,Active,http://www.laiye.com/,business@uibot.com.cn,400-0018-136,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Internet Services, Mobile, Other, Payments, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Enterprise, Internet, Mobile, Mobile Apps, Mobile Payments, Natural Language Processing, Robotic Process Automation (RPA)",19,9,,Scientific and electric apparatus and instruments,,,,,,"Beijing, Beijing, China",$1M to $10M,2015-07-01,day,"Microsoft, Sequoia Capital China, Cathay Innovation, ZhenFund, Lightspeed Venture Partners",https://www.linkedin.com/company/laiye/
Cyclone Robotics,https://www.crunchbase.com/organization/cyclone-robotics,501-1000,Active,http://www.cyclone-robotics.com,Sales@cyclone-robotics.com,400-800-8560,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Industrial Automation, Robotic Process Automation (RPA), Robotics, Software",0,5,,Vehicles,,,,,,"Shanghai, Shanghai, China",$100M to $500M,2015-06-01,day,"DCM Ventures, Goldman Sachs, Source Code Capital, Matrix Partners China, Matrix",https://www.linkedin.com/company/cyclone-robotics
Bridgenext,https://www.crunchbase.com/organization/emtec,1001-5000,Active,https://www.bridgenext.com/,information@bridgenext.com,904-739-7676,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Design, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Video","Analytics, Artificial Intelligence (AI), Data Management, Digital Marketing, Generative AI, Machine Learning, Robotic Process Automation (RPA), Software Engineering, UX Design, Video Editing",0,3,,Scientific and technological services,15808962,USD,15808962,,,"Jacksonville, Florida, United States",$100M to $500M,1995-01-01,year,"NewSpring, Star Mountain Capital, Garrison Investment Group, Crystal Financial, LBC Credit Partners",https://www.linkedin.com/company/bridgenext/
Kofax,https://www.crunchbase.com/organization/kofax,1001-5000,Active,http://www.kofax.com,info@kofax.com,+610388079924,,,,,,,,,"Artificial Intelligence (AI), Education, Professional Services, Software","Business Process Automation (BPA), Consulting, Robotic Process Automation (RPA), Software, Training",162,28,Computing; Calculating,Scientific and electric apparatus and instruments,30793569,USD,30793569,,,"Irvine, California, United States",$100M to $500M,1991-01-01,day,,http://www.linkedin.com/company/kofax
AntWorks,https://www.crunchbase.com/organization/antworks,101-250,Active,https://www.ant.works/,hello@ant.works,800-507-8011,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Business Intelligence, Data Visualization, Information Services, Information Technology, Machine Learning, Predictive Analytics, Robotic Process Automation (RPA)",1,4,Computing; Calculating,Scientific and electric apparatus and instruments,3241481,USD,3241481,,,"Singapore, Central Region, Singapore",$1M to $10M,2015-01-01,year,SBI Investment,https://www.linkedin.com/company/antworksglobal
Kryon,https://www.crunchbase.com/organization/kryon-systems,51-100,Active,http://www.kryonsystems.com/,info@kryonsystems.com,(646)383-7887,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Information Technology, Robotic Process Automation (RPA), Robotics, SaaS",,,,,,,,,,"New York, New York, United States",$1M to $10M,2008-01-01,year,"OurCrowd, Vertex Ventures, Oak HC/FT, Aquiline Technology Growth, Vertex Ventures Israel",http://www.linkedin.com/company/kryon-systems
UiPath,https://www.crunchbase.com/organization/uipath,1001-5000,Active,http://www.uipath.com,jobs@uipath.com,+1 844 432 0455,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Business Process Automation (BPA), Developer Tools, Enterprise Software, InsurTech, Machine Learning, Robotic Process Automation (RPA), Robotics",,,,,80223397,USD,80223397,,,"New York, New York, United States",$500M to $1B,2005-01-01,year,"Employee Stock Option Fund, Tencent, Earlybird Venture Capital, Madrona, Seedcamp",https://www.linkedin.com/company/uipath
