Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
ABB,https://www.crunchbase.com/organization/abb,10001+,Active,https://global.abb/group/en,contact.center@ch.abb.com,+41 84 48 458 45,12,13,4,,,,,,"Energy, Hardware, Manufacturing, Science and Engineering, Software, Transportation","Automotive, Energy, Energy Management, Industrial Automation, Robotics",1,0,Testing,,3247216023,USD,3247216023,,,"Zürich, Zurich, Switzerland",$10B+,1988-01-05,day,European Investment Bank,https://www.linkedin.com/company/abb
SoftBank Robotics Holdings,https://www.crunchbase.com/organization/softbank-robotics,251-500,Active,https://www.softbankrobotics.com,,+81 368892000,1,1,1,,,,,,"Hardware, Information Technology, Manufacturing, Science and Engineering, Software","Information Technology, Manufacturing, Robotics",,,,,,,,,,"Tokyo, Tokyo, Japan",$10B+,2012-07-24,day,"Alibaba Group, Foxconn Technology Group",https://www.linkedin.com/company/softbank-robotics-japan
ABB,https://www.crunchbase.com/organization/abb-ef91,10001+,Active,https://new.abb.com/dk,contact.center@dk.abb.com,45 44504450,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software","Industrial Automation, Robotics",,,,,3247216023,USD,3247216023,,,"Skovlunde, Hovedstaden, Denmark",$10B+,1988-01-01,day,,https://www.linkedin.com/company/abb
Symbotic,https://www.crunchbase.com/organization/symbotic,1001-5000,Active,https://www.symbotic.com,info@symbotic.com,(978) 284-2900,,,,,,,,,"Commerce and Shopping, Hardware, Mobile, Science and Engineering, Software, Transportation","Mobile, Retail, Robotics, Supply Chain Management, Warehouse Automation",186,7,Conveying; Packing; Storing; Handling Thin Or Filamentary Material,Scientific and electric apparatus and instruments,45778716,USD,45778716,,,"Wilmington, Massachusetts, United States",$1B to $10B,2005-01-01,year,"Walmart, SoftBank Vision Fund",http://www.linkedin.com/company/202610
Roborock,https://www.crunchbase.com/organization/roborock,501-1000,Active,https://us.roborock.com,support@roborock.com,010-53241660,1,1,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software","Machinery Manufacturing, Manufacturing, Robotics",192,62,"Furniture,Domestic Articles Or Appliances; Coffee Mills; Spice Mills",Machines and machine tools,,,,,,"Beijing, Beijing, China",$1B to $10B,2014-07-01,month,"Qiming Venture Partners, Gaorong Capital, Shunwei Capital, Xiaomi",https://www.linkedin.com/company/roborock/
ST Engineering,https://www.crunchbase.com/organization/st-engineering,10001+,Active,http://www.stengg.com,careers@stee.stengg.com,(656)722-1818,3,4,2,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Other, Science and Engineering, Software","Consumer Electronics, Electronics, Industrial Engineering, Information Services, Information Technology, Manufacturing, Robotics, Service Industry, Software, Telecommunications",58,1,Aircraft; Aviation; Cosmonautics,Scientific and electric apparatus and instruments,30113922,USD,30113922,,,"Singapore, Central Region, Singapore",$1B to $10B,1997-01-01,year,,https://www.linkedin.com/company/st-engineering
HILTI,https://www.crunchbase.com/organization/hilti,10001+,Active,https://www.hilti.com/,ventures@hilti.com,800-879-8000,4,4,,,,,,,"Consumer Electronics, Hardware, Internet Services, Other, Professional Services, Real Estate, Sales and Marketing, Science and Engineering, Software","Building Material, Civil Engineering, Computer Vision, Customer Service, Direct Sales, Internet of Things, Robotics, Sensor, Software, Wearables","2,526",119,Hand Tools; Portable Power-Driven Tools; Manipulators,Machines and machine tools,11078118,USD,11078118,,,"Schaan, Schaan, Liechtenstein",$1B to $10B,1941-01-01,year,,https://www.linkedin.com/company/hilti
GeBBS Healthcare Solutions,https://www.crunchbase.com/organization/gebbs-healthcare-solutions-2,1001-5000,Active,http://www.gebbs.com/,,+(866) 604-8717,,,,,,,,,"Hardware, Health Care, Information Technology, Sales and Marketing, Science and Engineering, Software","CRM, Health Care, Hospital, Information Technology, Robotics, Software",0,13,,Advertising; business,162071354,USD,162071354,,,"Marina Del Rey, California, United States",$1B to $10B,2005-01-01,year,,https://www.linkedin.com/company/gebbs-healthcare-solutions
KUKA Robotics,https://www.crunchbase.com/organization/kuka-robotics,5001-10000,Active,https://www.kuka.com,facebook@kuka-robotics.com,4982145331616,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software, Transportation","Automotive, Enterprise Software, Industrial, Industrial Automation, Manufacturing, Robotics, Software",548,71,Hand Tools; Portable Power-Driven Tools; Manipulators,Machines and machine tools,,,,,,"Augsburg, Bayern, Germany",$1B to $10B,1898-01-01,year,Midea Group,https://www.linkedin.com/company/kuka-robotics
TOPSOE A/S,https://www.crunchbase.com/organization/haldor-topsoe,1001-5000,Active,https://www.topsoe.com,,+45 4527 2000,2,2,,,,,,,"Agriculture and Farming, Biotechnology, Energy, Hardware, Manufacturing, Science and Engineering, Software, Sustainability","Agriculture, Energy, Life Science, Manufacturing, Renewable Energy, Robotics",488,24,Physical Or Chemical Processes Or Apparatus In General,Scientific and technological services,55432088,USD,55432088,,,"Kongens Lyngby, Hovedstaden, Denmark",$1B to $10B,1940-01-01,year,Temasek Holdings,https://www.linkedin.com/company/topsoe
