Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
UUUM,https://www.crunchbase.com/organization/uuum,251-500,Active,http://en.uuum.co.jp,contact+inquiry_en@uuum.jp,03-6434-9500,3,3,2,,,,,,"Advertising, Apps, Events, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Apps, Content, Events, Internet, Marketing, Media and Entertainment, SNS, Social Media",0,3,,Advertising; business,,,,,,"Tokyo, Tokyo, Japan",$10B+,2013-06-01,month,"Sumitomo Mitsui Banking Corporation, JAFCO, ANRI, Mizuho Bank",https://www.linkedin.com/company/uuum
Kakao Japan,https://www.crunchbase.com/organization/kakao-japan,11-50,Active,http://www.kakao.co.jp/,,,,,,,,,,,"Apps, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","Apps, Content, Messaging, Mobile, Publishing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",$100M to $500M,2011-07-01,day,"Kakao Corp, Podotree, Yahoo! Japan, Anchor Equity Partners",https://www.linkedin.com/company/株式会社カカオジャパン
GREE,https://www.crunchbase.com/organization/gree,1001-5000,Active,http://corp.gree.net/jp,inquiry@gree-corp.com,1-135-770-9500,37,42,10,1,,,,,"Internet Services, Mobile, Software","Internet, Mobile, SNS, Social Network",494,56,Sports; Games; Amusements,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$100M to $500M,2004-12-07,day,"KDDI, Globis Capital Partners",https://www.linkedin.com/company/gree-inc.
Digital Identity,https://www.crunchbase.com/organization/digital-identity,51-100,Active,https://digitalidentity.co.jp,,+81357943741,,,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Digital Marketing, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",$100M to $500M,2009-01-01,year,,https://www.linkedin.com/company/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%87%E3%83%B3%E3%83%86%E3%82%A3%E3%83%86%E3%82%A3
SMC,https://www.crunchbase.com/organization/smc,101-250,Active,http://socialmc.co.kr,info@socialmc.co.kr,+82728139799,,,,,,,,,"Advertising, Apps, Internet Services, Media and Entertainment, Mobile, Sales and Marketing, Software","Advertising, Apps, Developer APIs, Mobile, SNS, Social Media",5,0,Vehicles In General,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$100M to $500M,2009-06-24,day,,https://www.linkedin.com/company/socialmc-
CHOWA GIKEN Coporation,https://www.crunchbase.com/organization/chowa-giken-coporation,11-50,Active,http://www.chowagiken.co.jp,,011-717-7017,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Education, Information Technology, Internet, Machine Learning, SNS",,,,,,,,,,"Sapporo, Hokkaido, Japan",$50M to $100M,2009-11-04,day,"Cresco, Fusion Japan, Nikko, Hokkaido Research Institute for the Twenty-first Century",https://www.linkedin.com/company/chowagiken/
MedPeer,https://www.crunchbase.com/organization/medpeer,251-500,Active,http://medpeer.co.jp,,,1,1,1,,,,,,"Administrative Services, Consumer Goods, Food and Beverage, Health Care, Internet Services, Media and Entertainment, Professional Services, Software","Beauty, Food and Beverage, Health Care, Human Resources, Medical, Nursing and Residential Care, Recruiting, SNS, Social Media, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",$50M to $100M,2004-12-09,day,"JAFCO, Teruhide Sato, Toru Shimada, Toshiro Wakimaru, Toyoaki Kobayashi",https://www.linkedin.com/company/medpeerjp/about/
Fanne,https://www.crunchbase.com/organization/fanne,,Active,https://fanne.co.jp/,,,,,,,,,,,"Other, Professional Services, Sales and Marketing, Software","Brand Marketing, Consulting, Professional Services, SNS, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",$50M to $100M,2010-04-06,day,,
C Channel,https://www.crunchbase.com/organization/c-channel,101-250,Active,http://www.cchan.tv,,,,,,,,,,,"Advertising, Consumer Goods, Food and Beverage, Media and Entertainment, Sales and Marketing, Software, Video","Advertising, Beauty, Content, Food and Beverage, Marketing, Media and Entertainment, SNS, Video",0,0,,Advertising; business,,,,,,"Harajuku, Saitama, Japan",$10M to $50M,2015-04-01,day,"SoftBank, Rakuten, SBI Investment, Legend Capital, JAFCO",https://www.linkedin.com/company/c-channel
Mobilus,https://www.crunchbase.com/organization/mobilus-corporation,11-50,Active,http://mobilus.co.jp/,,03-6417-9523,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Content, CRM, Embedded Software, Enterprise Software, SNS, Software, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",$10M to $50M,2011-09-01,day,"Fujitsu, SMBC Venture Capital, Mitsubishi UFJ Capital, transcosmos Japan, LINE Ventures",https://www.linkedin.com/company/mobilus-inc-
User Local,https://www.crunchbase.com/organization/user-local,51-100,Active,http://www.userlocal.jp/en,,+81 364352167,1,1,,,,,,,"Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software","Analytics, Big Data, Content, CRM, Marketing, SNS, Social Media, Task Management, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",$10M to $50M,2005-09-26,day,"East Ventures, DNX Ventures, Deepcore, YJ Capital, Crimson Group",https://www.linkedin.com/company/userlocal-inc
FiNANCiE,https://www.crunchbase.com/organization/financie,11-50,Active,https://financie.jp/,,,,,,,,,,,"Internet Services, Media and Entertainment, Software","Content, SNS, Social Network",0,1,,Advertising; business,,,,,,"Tokyo, Tokyo, Japan",$10M to $50M,2019-01-01,month,"gumi Cryptos Capital (gCC), B Dash Ventures, KSK Angel Fund, D4V, Shinsei Capital Partners",
POL,https://www.crunchbase.com/organization/pol,101-250,Active,https://pol.co.jp/,,1-035-962-9962,,,,,,,,,"Administrative Services, Data and Analytics, Information Technology, Professional Services, Software","Consulting, Database, Employment, Human Resources, Information Technology, Recruiting, SNS",1,0,Computing; Calculating,,,,,,,"Otemachi, Tokyo, Japan",$10M to $50M,2016-09-01,month,"PKSHA Technology, DNX Ventures, CyberAgent Capital, CyberAgent, Beyond Next Ventures",https://www.linkedin.com/company/pol_inc
toridori,https://www.crunchbase.com/organization/toridori,1-10,Active,https://toridori.co.jp,info@toridori.co.jp,03-6892-3591,,,,,,,,,"Administrative Services, Advertising, Data and Analytics, Media and Entertainment, Professional Services, Sales and Marketing, Software, Video","Advertising, Business Development, Business Intelligence, Employment, Human Resources, Marketing, SNS, Video",,,,,,,,,,"Tokyo, Tokyo, Japan",$10M to $50M,2016-06-01,day,"Ceres, Mitsubishi UFJ Capital, Japan Post Capital, Innovation Engine, Nagoya TV Ventures",https://www.linkedin.com/company/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%88%E3%83%AA%E3%83%89%E3%83%AA
PET cierge,https://www.crunchbase.com/organization/pet-cierge,,Active,https://petcierge.jp/,info@petcierge.jp,+81 050-3149-0222,,,,,,,,,"Information Technology, Software","Information Technology, SNS",,,,,,,,,,"Toshima, Tokyo, Japan",$10M to $50M,2020-12-08,day,CYBRiDGE,
Hottolink,https://www.crunchbase.com/organization/hottolink,101-250,Active,https://www.hottolink.co.jp/,info@kakaricho.jp,+81 3-5745-3900,2,2,,,,,,,"Data and Analytics, Internet Services, Media and Entertainment, Privacy and Security, Sales and Marketing, Software","Analytics, Big Data, Marketing, Security, SNS, Social Media, Task Management",0,1,,Advertising; business,,,,,,"Tokyo, Tokyo, Japan",$10M to $50M,2000-06-26,day,"Salesforce Ventures, Synergy Marketing",https://www.linkedin.com/company/152999?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A152999%2Cidx%3A1-1-1%2CtarId%3A1476868932403%2Ctas%3AHottolink
MC Corp,https://www.crunchbase.com/organization/mc-corp,51-100,Active,http://www.mc-corp.vn,phuth@mc-corp.vn,+840435690572,,,,,,,,,"Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software, Transportation","Content, Content Delivery Network, Logistics, Mobile, SNS, Social Media, Young Adults",,,,,,,,,,"Hanoi, NA - Vietnam, Vietnam",$10M to $50M,2011-03-29,day,,https://www.linkedin.com/company/minh-chau-corp
Lepus,https://www.crunchbase.com/organization/leps,1-10,Active,https://lep.jp,info@lep.jp,+81 075-874-1953,,,,,,,,,"Apps, Design, Information Technology, Software","Apps, Graphic Design, Information Technology, SNS, Web Development",,,,,,,,,,"Kyoto, Kyoto, Japan",$10M to $50M,2017-02-01,month,,https://www.linkedin.com/company/lep-jp
Meily,https://www.crunchbase.com/organization/meily,,Active,https://about.meily.co.jp/,,,,,,,,,,,"Content and Publishing, Media and Entertainment, Software","Content Discovery, Journalism, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",$10M to $50M,2017-11-29,day,"East Ventures, YJ Capital, Yuzuru Honda, NOW Japan",
