Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
SiteMinder,https://www.crunchbase.com/organization/siteminder,501-1000,Active,https://www.siteminder.com/,info@siteminder.com,+61 2 9221 4444,,,,,,,,,"Commerce and Shopping, Information Technology, Other, Professional Services, Software, Travel and Tourism","Customer Service, E-Commerce, Enterprise Software, Hotel, Information Technology, SaaS, Software",0,16,,Scientific and technological services,,,,,,"Sydney, New South Wales, Australia",$10B+,2006-09-26,day,"TCV, BlackRock, Fidelity International, Ellerston Capital, AustralianSuper",https://www.linkedin.com/company/302335
Lanes & Planes,https://www.crunchbase.com/organization/tripclick-pro,51-100,Active,https://www.lanes-planes.com,,+49 89 21540710,,,,,,,,,"Software, Travel and Tourism","SaaS, Software, Travel",0,1,,Scientific and electric apparatus and instruments,380091,USD,380091,,,"Munich, Bayern, Germany",$10B+,2017-07-10,day,"Smash Capital, All Iron Ventures, Flixfounders, coparion, Battery Ventures",https://www.linkedin.com/company/lanes-planes-gmbh/
Stripe,https://www.crunchbase.com/organization/stripe,5001-10000,Active,https://www.stripe.com,info@stripe.com,+1 415 298 5539,43,66,32,8,,,,,"Financial Services, Mobile, Payments, Software","Finance, FinTech, Mobile Payments, SaaS",298,89,Computing; Calculating,Scientific and technological services,113449986,USD,113449986,,,"South San Francisco, California, United States",$10B+,2010-01-01,year,"Fidelity, Thrive Capital, National Treasury Management Agency (NTMA), Visa, Baillie Gifford",https://www.linkedin.com/company/stripe
SAP Litmos,https://www.crunchbase.com/organization/litmos,501-1000,Active,http://www.litmos.com,support@litmos.com,(866) 447-2211,,,,,,,,,"Data and Analytics, Design, Education, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software, Video","E-Learning, Education, Market Research, Messaging, Presentations, SaaS, Skill Assessment, Software, Training, Video",,,,,,,,,,"Dublin, California, United States",$10B+,2006-08-01,day,,https://www.linkedin.com/company/litmos
Recruit Holdings,https://www.crunchbase.com/organization/recruit-holdings-3,10001+,Active,https://recruit-holdings.com/,,+81 368351111,25,27,12,,,,,,"Administrative Services, Information Technology, Professional Services, Software","Human Resources, Information Technology, Recruiting, SaaS, Staffing Agency",,,,,,,,,,"Tokyo, Tokyo, Japan",$10B+,1960-01-01,year,JAFCO,https://www.linkedin.com/company/recruit-holdings-co-ltd/about/
Jasper Technologies,https://www.crunchbase.com/organization/jasper-wireless,251-500,Closed,http://www.jasper.com,jasperuk@axicom.com,(650) 810-8000,,,,,,,,,"Internet Services, Mobile, Software","Cloud Computing, Internet of Things, Mobile, SaaS, Software",0,1,,Education; entertainment,19536,USD,19536,,,"Santa Clara, California, United States",$10B+,2004-01-01,year,"Sequoia Capital, Singtel Innov8, AllianceBernstein, Benchmark, DAG Ventures",http://www.linkedin.com/company/25664
Virtustream,https://www.crunchbase.com/organization/virtustream,1001-5000,Active,http://www.virtustream.com,info@virtustream.com,+112402521007,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Computing, Cloud Data Services, Cloud Management, Enterprise Software, IaaS, Information Technology, SaaS, Software",7,3,Computing; Calculating,Scientific and technological services,44566200,USD,44566200,,,"Mclean, Virginia, United States",$10B+,2008-01-01,year,"SAP, Top Tier Capital Partners, Columbia Capital, Noro-Moseley Partners, Silicon Valley Bank",http://www.linkedin.com/company/virtustream
Salesforce,https://www.crunchbase.com/organization/salesforce,10001+,Active,https://www.salesforce.com,info@salesforce.com,+1 800 667 6389,61,69,31,2,,,,2,"Apps, Information Technology, Internet Services, Mobile, Platforms, Sales and Marketing, Software","Apps, Cloud Computing, CRM, Enterprise Software, Information Technology, iOS, Mobile Apps, SaaS, Sales Enablement, Software","4,313",6,Computing; Calculating,Scientific and electric apparatus and instruments,618362,USD,618362,,,"San Francisco, California, United States",$10B+,1999-01-01,day,"Emergence, Meritech Capital Partners, Marc Benioff, New Enterprise Associates, Morgenthaler Ventures",https://www.linkedin.com/company/salesforce
Oracle,https://www.crunchbase.com/organization/oracle,10001+,Active,https://www.oracle.com,oraclesales_us@oracle.com,+1.800.223.1711,40,51,15,7,,,,,"Data and Analytics, Information Technology, Software","Data Governance, Data Management, Enterprise Software, Information Technology, SaaS, Software","15,476",478,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Austin, Texas, United States",$10B+,1977-06-16,day,Sequoia Capital,https://www.linkedin.com/company/oracle
Adobe,https://www.crunchbase.com/organization/adobe-systems,10001+,Active,http://www.adobe.com,,408-536-6000,22,28,7,2,,,,,"Content and Publishing, Data and Analytics, Design, Media and Entertainment, Professional Services, Software","Consulting, Enterprise Software, Graphic Design, Image Recognition, Photo Editing, SaaS, Software, UX Design, Web Design","5,728",469,Computing; Calculating,Scientific and electric apparatus and instruments,1358442216,USD,1358442216,,,"San Jose, California, United States",$10B+,1982-01-01,year,Apple,http://www.linkedin.com/company/adobe
3dcart,https://www.crunchbase.com/organization/3dcart-shopping-cart-software,51-100,Active,https://3dcart.com/,gil@3dcart.com,800-828-6650,,,,,,,,,"Commerce and Shopping, Design, Internet Services, Software","E-Commerce, E-Commerce Platforms, SaaS, Web Design, Web Development",0,1,,Scientific and electric apparatus and instruments,1642846,USD,1642846,,,"Tamarac, Florida, United States",$10B+,1997-05-01,day,,http://www.linkedin.com/company/3dcart.com
Smart Service,https://www.crunchbase.com/organization/smart-service,11-50,Active,https://www.smartservice.com/,,1-888-518-0818,,,,,,,,,"Information Technology, Software","SaaS, Scheduling, Software",,,,,265115,USD,265115,,,"Lewis Center, Ohio, United States",$10B+,1993-01-01,year,,https://www.linkedin.com/company/my-service-depot/
