Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Rockwell Automation,https://www.crunchbase.com/organization/rockwell-automation,10001+,Active,http://www.rockwellautomation.com,,+1 414-382-2000,9,14,6,6,,,,,"Hardware, Information Technology, Manufacturing, Sales and Marketing, Science and Engineering, Software","Hardware, Industrial Automation, Sales Automation, Software","2,539",270,Controlling,Scientific and electric apparatus and instruments,219160398,USD,219160398,,,"Milwaukee, Wisconsin, United States",$1B to $10B,1903-01-01,year,Public Service Commission of Wisconsin,http://www.linkedin.com/company/rockwell-automation
Denave,https://www.crunchbase.com/organization/denave-india-pvt-ltd,1001-5000,Active,http://www.denave.com,marketing@denave.com,+91 120 387 5100,,,,,,,,,"Information Technology, Privacy and Security, Sales and Marketing, Software","Cloud Security, Information Technology, SaaS, Sales Automation, Software",,,,,,,,,,"Noida, Uttar Pradesh, India",$1B to $10B,1999-01-01,year,,https://in.linkedin.com/company/denave
Genesis Digital,https://www.crunchbase.com/organization/genesis-digital,101-250,Active,http://www.genesisdigital.co/,support@genesisdigital.co,(872) 777-2727,,,,,,,,,"Commerce and Shopping, Information Technology, Internet Services, Other, Professional Services, Sales and Marketing, Software","B2B, E-Commerce, Enterprise Software, Information Technology, Internet, Management Consulting, Marketing, SaaS, Sales Automation, Software",0,2,,Scientific and technological services,,,,,,"La Jolla, California, United States",$1B to $10B,2013-03-04,day,,https://www.linkedin.com/company/genesis-digital-llc/
JM Family Enterprises,https://www.crunchbase.com/organization/jm-family-enterprises,1001-5000,Active,http://www.jmfamily.com/,info@jmfamily.com,954-429-2000,2,2,1,,,,,,"Information Technology, Other, Sales and Marketing, Software, Transportation","Automotive, Consumer, Sales Automation",1,39,,Insurance; financial affairs,21737105,USD,21737105,,,"Deerfield Beach, Florida, United States",$1B to $10B,1968-01-01,year,,https://www.linkedin.com/company/jm-family-enterprises
Mercedes Benz UK,https://www.crunchbase.com/organization/mercedes-benz-uk,1001-5000,Active,https://www.mercedes-benz.co.uk,support@mercedes-benz.co.uk,+44 207 660 9991,,,,,,,,,"Information Technology, Manufacturing, Sales and Marketing, Software, Transportation","Automotive, Manufacturing, Sales Automation",,,,,35532000,USD,35532000,,,"Milton Keynes, Milton Keynes, United Kingdom",$1B to $10B,1886-01-01,year,,https://www.linkedin.com/company/mercedes-benz-uk-ltd/
Peak360 IT,https://www.crunchbase.com/organization/peak360-it,1-10,Active,https://www.peak360it.com/,info@peak360it.com,303.536.3602,,,,,,,,,"Apps, Information Technology, Mobile, Professional Services, Sales and Marketing, Software","Consulting, Information Services, Information Technology, Mobile Apps, Sales Automation, Software",,,,,120206,USD,120206,,,"Denver, Colorado, United States",$1B to $10B,2014-01-01,year,,https://www.linkedin.com/company/peak360-it/
Highspot,https://www.crunchbase.com/organization/highspot-2,1001-5000,Active,https://www.highspot.com,sales@highspot.com,(206)535-2855,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Sales Automation, Sales Enablement, Software",11,9,Computing; Calculating,Scientific and technological services,,,,,,"Seattle, Washington, United States",$500M to $1B,2012-01-01,year,"B Capital, Madrona, ICONIQ Growth, Bain & Company, Fuel Capital",https://www.linkedin.com/company/highspot
Marlabs,https://www.crunchbase.com/organization/marlabs-inc,1001-5000,Active,http://www.marlabs.com,contact@marlabs.com,7326941000,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Professional Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Security, IT Infrastructure, Risk Management, Sales Automation",10,2,Computing; Calculating,Scientific and technological services,47013782,USD,47013782,,,"Piscataway, New Jersey, United States",$500M to $1B,1996-01-01,year,BV Investment Partners,http://www.linkedin.com/company/marlabs-inc
Cleber,https://www.crunchbase.com/organization/cleber,1001-5000,Active,https://cleber.com,reclutamiento@cleber.com,81-1966-8800,,,,,,,,,"Information Technology, Other, Sales and Marketing, Software, Transportation","Automotive, Sales Automation, Service Industry",,,,,,,,,,"Garza García, Nuevo Leon, Mexico",$500M to $1B,1997-01-01,year,,https://www.linkedin.com/company/cleber
Allane SE,https://www.crunchbase.com/organization/allane-se,501-1000,Active,https://allane-mobility-group.com/en,,+49 89 30 700 700,,,,,,,,,"Financial Services, Information Technology, Manufacturing, Professional Services, Sales and Marketing, Software","Industrial, Leasing, Manufacturing, Risk Management, Sales Automation",0,11,,Vehicles,52788161,USD,52788161,,,"Pullach, Bayern, Germany",$500M to $1B,1967-01-01,year,,https://www.linkedin.com/company/sixt-leasing-se/
