Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
ICEYE,https://www.crunchbase.com/organization/iceye,251-500,Active,https://www.iceye.com,info@iceye.fi,+44 2071400152,,,,,,,,,"Hardware, Information Technology, Science and Engineering","Aerospace, Information Technology, Remote Sensing, Satellite Communication",27,9,Testing,Scientific and electric apparatus and instruments,,,,,,"Espoo, Southern Finland, Finland",$100M to $500M,2014-01-01,year,"BAE Systems, Molten Ventures, Promus Ventures, DNX Ventures, Seraphim Space",https://www.linkedin.com/company/iceye
Loft Orbital,https://www.crunchbase.com/organization/loft-orbital-solutions-inc,501-1000,Active,http://www.loftorbital.com,info@loftorbital.com,410-382-5050,,,,,,,,,"Hardware, Science and Engineering","Aerospace, Satellite Communication",2,6,Computing; Calculating,Scientific and technological services,305965,USD,305965,,,"San Francisco, California, United States",$1M to $10M,2017-01-01,year,"MDI Ventures, Alumni Ventures, Soundproof Ventures, BlackRock, Chaos Ventures",https://www.linkedin.com/company/17892812/
Firefly Aerospace,https://www.crunchbase.com/organization/firefly-aerospace,501-1000,Active,https://fireflyspace.com/,press@fireflyspace.com,512–277–6959,,,,,,,,,"Hardware, Science and Engineering, Transportation","Aerospace, Air Transportation, Satellite Communication",8,6,Hot-Gas Or Combustion-Product Engine Plants,"Transport, packaging and storing",2622525,USD,2622525,,,"Cedar Park, Texas, United States",$100M to $500M,2014-01-01,year,"SeedInvest, AE Industrial Partners, XBTO Group, Dylan Taylor, Astera Institute",https://www.linkedin.com/company/fireflyspace
Skylo,https://www.crunchbase.com/organization/skylo,51-100,Active,https://www.skylo.tech,info@skylo.tech,,,,,,,,,,"Hardware, Information Technology, Internet Services, Mobile","Information Technology, Internet of Things, Satellite Communication, Telecommunications, Wireless",1,0,Electric Communication Technique,,1096800,USD,1096800,,,"Mountain View, California, United States",$1M to $10M,2017-01-01,year,"SoftBank, DCM Ventures, Next47, Seraphim Space, Samsung Catalyst Fund",https://www.linkedin.com/company/skylotech
Ursa Major,https://www.crunchbase.com/organization/ursa-major-technologies,251-500,Active,https://www.ursamajor.com,,1-970-344-8147,,,,,,,,,"Hardware, Science and Engineering, Transportation","Aerospace, Satellite Communication, Space Travel",0,0,,Machines and machine tools,944113,USD,944113,,,"Berthoud, Colorado, United States",$10M to $50M,2015-01-01,year,"Alumni Ventures, Mack & Co., Exor Ventures, BlackRock, Alpha Edison",https://www.linkedin.com/company/ursamajortech
Astra,https://www.crunchbase.com/organization/astra-b6dc,251-500,Active,https://astra.com,press@astra.com,,,,,,,,,,"Hardware, Science and Engineering, Transportation","Aerospace, Satellite Communication, Space Travel",,,,,1249158,USD,1249158,,,"Alameda, California, United States",$10M to $50M,2016-01-01,year,"ACME Capital, BlackRock, Artis Ventures (AV), LionTree, Marc Benioff",https://www.linkedin.com/company/astraspace
CesiumAstro,https://www.crunchbase.com/organization/cesiumastro,101-250,Active,https://www.cesiumastro.com,info@cesiumastro.com,(512) 520-8116,,,,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Transportation","Aerospace, Drones, Satellite Communication, Space Travel",0,0,,Scientific and technological services,107786,USD,107786,,,"Austin, Texas, United States",$10M to $50M,2017-01-01,year,"Franklin Templeton, Analog Devices, L3 Harris Technologies, Airbus Ventures, Kleiner Perkins",https://www.linkedin.com/company/cesiumastro/
ABL Space Systems,https://www.crunchbase.com/organization/abl-space-systems,101-250,Active,https://www.ablspacesystems.com,hi@ablspacesystems.com,,,,,,,,,,"Hardware, Information Technology, Science and Engineering","Aerospace, Information Technology, Satellite Communication",6,0,Aircraft; Aviation; Cosmonautics,,327822,USD,327822,,,"El Segundo, California, United States",$1M to $10M,2017-08-01,month,"Fidelity, T. Rowe Price, JAM Fund, Lockheed Martin Ventures, New Science Ventures",https://www.linkedin.com/company/abl-space-systems
Maxar Technologies,https://www.crunchbase.com/organization/maxar-technologies,1001-5000,Active,https://www.maxar.com,info@maxar.com,303-684-4561,,,,,,,,,"Data and Analytics, Government and Military, Hardware, Navigation and Mapping, Science and Engineering","Aerospace, Geospatial, Government, Remote Sensing, Satellite Communication, Telecommunications",0,18,,Scientific and technological services,123838450,USD,123838450,,,"Westminster, Colorado, United States",$1B to $10B,1968-01-01,year,Sixth Street,https://www.linkedin.com/company/maxar-technologies-ltd
Orbex Space,https://www.crunchbase.com/organization/orbex-space,51-100,Active,https://orbex.space/,contact@orbex.space,,,,,,,,,,"Hardware, Science and Engineering, Transportation","Aerospace, Autonomous Vehicles, Satellite Communication, Space Travel",3,6,Aircraft; Aviation; Cosmonautics,Machines and machine tools,1348732,USD,1348732,,,"Forres, Moray, United Kingdom",$1M to $10M,2015-01-01,year,"Verve Ventures, Jacobs, UK Space Agency, Octopus Ventures, Heartcore Capital",https://www.linkedin.com/company/orbital-express-launch-limited/
