Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Smart Service,https://www.crunchbase.com/organization/smart-service,11-50,Active,https://www.smartservice.com/,,1-888-518-0818,,,,,,,,,"Information Technology, Software","SaaS, Scheduling, Software",,,,,265115,USD,265115,,,"Lewis Center, Ohio, United States",$10B+,1993-01-01,year,,https://www.linkedin.com/company/my-service-depot/
Dayforce,https://www.crunchbase.com/organization/dayforce,251-500,Active,http://www.dayforce.com,info@dayforce.com,800-488-8757,,,,,,,,,"Administrative Services, Information Technology, Software","Enterprise Software, Human Resources, Information Technology, Scheduling, Software",0,7,,Scientific and electric apparatus and instruments,,,,,,"Toronto, Ontario, Canada",$1B to $10B,2008-01-01,year,"Ceridian, Bridgescale Partners, David Ossip, RADLP",
Asure Software,https://www.crunchbase.com/organization/asure-software,251-500,Active,http://www.asuresoftware.com,ctrbula@asuresoftware.com,+1 888 323 8835,,,,,,,,,"Administrative Services, Information Technology, Software","Human Resources, SaaS, Scheduling, Software",0,8,,Insurance; financial affairs,7393888,USD,7393888,,,"Austin, Texas, United States",$100M to $500M,1985-01-01,year,,https://www.linkedin.com/company/asure-software
Zocdoc,https://www.crunchbase.com/organization/zocdoc,501-1000,Active,http://www.zocdoc.com,service@zocdoc.com,(855) 962-3621,,,,,,,,,"Apps, Health Care, Information Technology, Mobile, Software","Health Care, Medical, mHealth, Mobile Apps, Scheduling",19,19,Computing; Calculating,Medical services; veterinary services,22528050,USD,22528050,,,"New York, New York, United States",$100M to $500M,2007-09-18,day,"Disruptive Ventures, Baillie Gifford, Jeff Bezos, Marc Benioff, Manhattan Venture Partners",http://www.linkedin.com/company/167902
Cron,https://www.crunchbase.com/organization/cron,1-10,Active,https://cron.com,hello@cron.com,,,,,,,,,,"Apps, Information Technology, Software","Apps, Productivity Tools, Scheduling, Software",0,0,,Scientific and electric apparatus and instruments,91363,USD,91363,,,"San Francisco, California, United States",$100M to $500M,2020-01-01,day,"Y Combinator, TwentyTwo VC, Initialized Capital, Jeff Weiner, Elad Gil",https://linkedin.com/company/cronhq
Xtime,https://www.crunchbase.com/organization/xtime,251-500,Active,http://www.xtime.com,support@xtime.com,650-508-4300,,,,,,,,,"Information Technology, Sales and Marketing, Software, Transportation","Automotive, CRM, SaaS, Scheduling, Software",,,,,,,,,,"Redwood Shores, California, United States",$100M to $500M,1999-01-01,year,"Innovacom, Fenwick & West, Lumia Capital, Bessemer Venture Partners, RPM Ventures",https://www.linkedin.com/company/xtime
Spok,https://www.crunchbase.com/organization/spok-holdings,501-1000,Active,http://www.spok.com,inforequest@spok.com,+1 800 611 8488,1,1,,,,,,,"Hardware, Health Care, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Communications Infrastructure, Health Care, Messaging, Mobile, Scheduling, Software, Telecommunications, Wireless",0,58,Education; Cryptography; Display; Advertising; Seals,Scientific and electric apparatus and instruments,10963067,USD,10963067,,,"Springfield, Virginia, United States",$100M to $500M,1984-01-01,year,,https://www.linkedin.com/company/spok
Cadence - The Event Experience Platform,https://www.crunchbase.com/organization/cadence-5,11-50,Active,https://www.eventcadence.com/,michael@eventcadence.com,(929) 392-4024,,,,,,,,,"Community and Lifestyle, Content and Publishing, Events, Information Technology, Media and Entertainment, Professional Services, Software, Video","Enterprise Software, Event Management, Events, Professional Networking, SaaS, Scheduling, Video Streaming",,,,,217045,USD,217045,,,"Brooklyn, New York, United States",$100M to $500M,2016-09-15,day,MassChallenge,https://www.linkedin.com/company/eventcadence
System One,https://www.crunchbase.com/organization/system-one-2,1-10,Active,https://www.systemonesoftware.com/,sales@systemonesoftware.com,+4903055169048,,,,,,,,,"Events, Information Technology, Media and Entertainment, Music and Audio, Software","Contact Management, Event Management, Events, Music, Performing Arts, SaaS, Scheduling, Software",,,,,199407,USD,199407,,,"Berlin, Berlin, Germany",$100M to $500M,2007-02-01,day,,https://www.linkedin.com/company/system-one-saas-gmbh
Universal Weather and Aviation,https://www.crunchbase.com/organization/universal-weather-and-aviation,1001-5000,Active,http://www.universalweather.com,sales@universalweather.com,(713) 944-1622,,,,,,,,,"Information Technology, Software","Scheduling, Software",0,11,,Scientific and technological services,5377866,USD,5377866,,,"Houston, Texas, United States",$100M to $500M,1959-01-01,year,,http://www.linkedin.com/company/universal-weather-and-aviation
Zenoti,https://www.crunchbase.com/organization/zenoti,501-1000,Active,http://www.zenoti.com,sales@zenoti.com,877-481-7634,,,,,,,,,"Commerce and Shopping, Information Technology, Internet Services, Payments, Sales and Marketing, Software","Billing, Cloud Data Services, CRM, Enterprise Software, Marketing, Point of Sale, SaaS, Scheduling, Software",4,8,Computing; Calculating,Scientific and technological services,,,,,,"Bellevue, Washington, United States",$50M to $100M,2010-01-01,year,"TPG, Steadview Capital, Accel, Tiger Global Management, Norwest Venture Partners",https://www.linkedin.com/company/zenoti
Calendly,https://www.crunchbase.com/organization/calendly,501-1000,Active,https://calendly.com,support@calendly.com,+1 (800) 979-9850,1,1,,,,,,,"Information Technology, Messaging and Telecommunications, Other, Software","Collaboration, Enterprise Software, Meeting Software, Productivity Tools, Scheduling, Software",,,,,18904650,USD,18904650,,,"Atlanta, Georgia, United States",$50M to $100M,2013-01-01,year,"ICONIQ Growth, ICONIQ Capital, Atlanta Ventures, OpenView",https://www.linkedin.com/company/calendly
Reflexis Systems,https://www.crunchbase.com/organization/reflexis-systems,501-1000,Active,http://www.reflexisinc.com,sales@reflexisinc.com,(781)493-3400,,,,,,,,,"Information Technology, Software","Enterprise Software, Information Technology, SaaS, Scheduling, Software, Task Management",0,3,,Scientific and electric apparatus and instruments,15231000,USD,15231000,,,"Dedham, Massachusetts, United States",$50M to $100M,2001-01-01,year,"Great Hill Partners, Sageview Capital, Blue Cloud Ventures, Pequot Capital, Velocity Financial Group",http://www.linkedin.com/company/reflexis-systems
ShiftKey,https://www.crunchbase.com/organization/shiftkey,251-500,Active,https://www.shiftkey.com,help@shiftkey.com,844-698-7972,1,1,,,,,,,"Health Care, Information Technology, Software","Health Care, Medical, Scheduling, Software",,,,,,,,,,"Dallas, Texas, United States",$50M to $100M,2016-01-01,year,"Ares Management, Pantheon Ventures, Lorient Capital, Health Velocity Capital, Clearlake Capital Group",https://www.linkedin.com/company/myshiftkey
MIDAS,https://www.crunchbase.com/organization/midas,1-10,Active,https://mid.as,sales@mid.as,,,,,,,,,,"Events, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software","Enterprise Resource Planning (ERP), Event Management, Events, Internet, Meeting Software, Reservations, SaaS, Scheduling, Software",,,,,,,,,,"Cheadle Hulme, Cheshire, United Kingdom",$50M to $100M,2006-03-11,day,,https://linkedin.com/company/2991935
Workplace from Meta,https://www.crunchbase.com/organization/workplace-from-meta,10001+,Active,https://forwork.meta.com,,,,,,,,,,,"Hardware, Information Technology, Media and Entertainment, Software, Video","Communications Infrastructure, Metaverse, Scheduling, Software, Video",,,,,,,,,,"London, England, United Kingdom",$50M to $100M,2004-01-01,year,,https://www.linkedin.com/company/workplacefrommeta/
Asprova,https://www.crunchbase.com/organization/asprova-e078,251-500,Active,https://www.asprova.jp/,info@asprova.com,+81-3-5498-7071,,,,,,,,,"Education, Information Technology, Software, Transportation","E-Learning, Scheduling, Software, Supply Chain Management",,,,,161394,USD,161394,,,"Tokyo, Tokyo, Japan",$50M to $100M,1985-01-01,year,,https://www.linkedin.com/company/asprova/
Azure Midstream Partners,https://www.crunchbase.com/organization/azure-midstream-partners,101-250,Closed,http://www.azuremidstreampartners.com/home2,investorinfo@azuremidstream.com,+1 972 674 5200,,,,,,,,,"Energy, Information Technology, Real Estate, Software","Construction, Energy, Scheduling",,,,,,,,,,"Dallas, Texas, United States",$50M to $100M,,,Energy Spectrum Capital,https://www.linkedin.com/company/azure-midstream
