Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Taiwan Semiconductor Manufacturing Company,https://www.crunchbase.com/organization/tsmc,10001+,Active,http://www.tsmc.com,,+886 3 563 6688,6,6,1,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering","Consumer Electronics, Electronics, Manufacturing, Product Design, Semiconductor","28,326",76,Basic Electric Elements,Treatment of materials,,,,,,"Hsinchu, T'ai-wan, Taiwan",$10B+,1987-01-01,day,"Berkshire Hathaway, U.S. Department of Commerce, CID Group",https://www.linkedin.com/company/tsmc
Infineon Technologies,https://www.crunchbase.com/organization/infineon,10001+,Active,https://www.infineon.com,support@infineon.com,+49 89 234 65555,14,17,5,1,,,,,"Consumer Electronics, Energy, Hardware, Manufacturing, Science and Engineering, Sustainability","Consumer Electronics, Electronics, Energy Efficiency, Manufacturing, Semiconductor","9,129",151,Basic Electric Elements,Scientific and electric apparatus and instruments,276800,USD,276800,,,"Neubiberg, Bayern, Germany",$10B+,1999-04-01,day,,https://www.linkedin.com/company/infineon-technologies
Broadcom Limited,https://www.crunchbase.com/organization/avago-technologies,5001-10000,Active,http://broadcom.com,cxoon@gmx.com,1(408)433-8000,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering","Electronics, Information Technology, Manufacturing, Semiconductor",,,,,763048787,USD,763048787,,,"San Jose, California, United States",$10B+,2005-01-01,year,"Citi, Silver Lake, Bank of America, JP Morgan Chase, Morgan Stanley",http://www.linkedin.com/company/broadcom
Applied Materials,https://www.crunchbase.com/organization/applied-materials,10001+,Active,http://www.appliedmaterials.com,customer_portal@amat.com,+1 408 727 5555,2,2,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software","Electronics, Manufacturing, Semiconductor, Software","15,719",513,Basic Electric Elements,Machines and machine tools,2025626690,USD,2025626690,,,"Santa Clara, California, United States",$10B+,1967-11-10,day,"US Department of Energy, NYSERDA, Stonnington Group",http://www.linkedin.com/company/applied-materials
Texas Instruments,https://www.crunchbase.com/organization/texas-instruments,10001+,Active,http://www.ti.com,,(972) 995-2011,27,34,6,,,,,,"Consumer Electronics, Hardware, Science and Engineering","Computer, DSP, Semiconductor","19,263",213,Basic Electric Elements,Scientific and electric apparatus and instruments,1513291046,USD,1513291046,,,"Dallas, Texas, United States",$10B+,1930-01-01,year,,http://www.linkedin.com/company/texas-instruments
ASML,https://www.crunchbase.com/organization/asml,10001+,Active,https://www.asml.com,corpcom@asml.com,+31 40 268 3000,1,1,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Other, Science and Engineering","Commercial, Electronics, Industrial, Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Nanotechnology, Semiconductor","6,705",142,Photography; Cinematography; Electrography,Scientific and electric apparatus and instruments,516519165,USD,516519165,,,"Veldhoven, Noord-Brabant, The Netherlands",$10B+,1984-01-01,year,,http://www.linkedin.com/company/asml
SK Hynix,https://www.crunchbase.com/organization/sk-hynix,10001+,Active,http://www.skhynix.com,,82-31-630-4114,20,20,7,2,,,,,"Hardware, Manufacturing, Science and Engineering","Manufacturing, Semiconductor, Sensor","12,592",25,Information Storage,Scientific and electric apparatus and instruments,,,,,,"Icheon, Kyonggi-do, South Korea",$10B+,1983-02-01,day,KB Securities,http://www.linkedin.com/company/19120
UNISOC,https://www.crunchbase.com/organization/unisoc,5001-10000,Active,http://www.unisoc.com,,86 21 2036 0600,1,1,1,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Consumer Electronics, Hardware, Manufacturing, Semiconductor, Telecommunications",,,,,,,,,,"Shanghai, Shanghai, China",$10B+,2001-01-01,year,"Legend Capital, Northern Light Venture Capital, New Enterprise Associates, Intel Capital, KTB Ventures",https://www.linkedin.com/company/unisoctechnologies
Intel,https://www.crunchbase.com/organization/intel,10001+,Active,http://www.intel.com,,+1 408-765-8080,69,77,19,6,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Product Design, Semiconductor, Software",,,,,4764282684,USD,4764282684,,,"Santa Clara, California, United States",$10B+,1968-07-18,day,"Commerz Markets LLC, Standard Chartered Bank, Morgan Stanley, BNP Paribas, Goldman Sachs",https://www.linkedin.com/company/intel-corporation
Tongfu Microelectronics,https://www.crunchbase.com/organization/tongfu-microelectronics,10001+,Active,http://www.tfme.com,tfme_stock@tfme.com,0513-85058888,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Electronics, Manufacturing, Semiconductor",,,,,,,,,,"Nantong, Jiangsu, China",$10B+,1997-10-01,day,,
Broadcom,https://www.crunchbase.com/organization/broadcom,10001+,Active,http://www.broadcom.com,,408-433-8000,9,10,4,,,,,,"Hardware, Mobile, Science and Engineering","Mobile, Semiconductor, Wireless",,,,,763048787,USD,763048787,,,"San Jose, California, United States",$10B+,1991-01-01,year,"General American Investors Company,Inc",http://www.linkedin.com/company/broadcom
AMD,https://www.crunchbase.com/organization/amd,10001+,Active,http://www.amd.com,,(408) 749-4000,9,10,2,,,,,,"Consumer Electronics, Hardware, Internet Services, Science and Engineering, Software","Cloud Computing, Computer, Embedded Systems, GPU, Hardware, Semiconductor","5,402",129,Computing; Calculating,Scientific and electric apparatus and instruments,1783262531,USD,1783262531,,,"Santa Clara, California, United States",$10B+,1969-05-01,day,"KB Securities, Daniel Loeb",https://www.linkedin.com/company/amd
Micron Technology,https://www.crunchbase.com/organization/micron-technology,10001+,Active,http://www.micron.com,,(208) 368-4000,11,12,4,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Computer, Hardware, Manufacturing, Semiconductor","22,039",60,Information Storage,Scientific and electric apparatus and instruments,2324036648,USD,2324036648,,,"Boise, Idaho, United States",$10B+,1978-10-05,day,"Gimv, U.S. Department of Commerce, Celtic House Venture Partners",https://www.linkedin.com/company/micron-technology
Analog Devices,https://www.crunchbase.com/organization/analog-devices,10001+,Active,http://www.analog.com,distribution.literature@analog.com,(781)461-4482,4,4,,1,,,,,"Consumer Electronics, Hardware, Science and Engineering","DSP, Electronics, Lighting, Semiconductor","3,185",195,Basic Electronic Circuitry,Scientific and electric apparatus and instruments,950475680,USD,950475680,,,"Norwood, Massachusetts, United States",$10B+,1965-01-01,year,,https://www.linkedin.com/company/3450
NXP Semiconductors,https://www.crunchbase.com/organization/nxp-semiconductors,10001+,Active,https://www.nxp.com,info.software@nxp.com,+31 40 272 8686,8,8,5,,,,,,"Apps, Content and Publishing, Energy, Hardware, Information Technology, Manufacturing, Media and Entertainment, Mobile, Science and Engineering, Software, Sustainability, Transportation, Video","Apps, Automotive, Energy Efficiency, Information Technology, Manufacturing, Mobile, News, Semiconductor, Software, Video",2,0,Electric Communication Technique,,285132210,USD,285132210,,,"Eindhoven, Noord-Brabant, The Netherlands",$10B+,1953-01-01,year,"Apax Partners, HarbourVest Partners, NYSERDA",http://www.linkedin.com/company/nxp-semiconductors
