Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Flock Safety,https://www.crunchbase.com/organization/flock-safety,501-1000,Active,https://www.flocksafety.com,sales@flocksafety.com,866-901-1781,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Hardware, Manufacturing, Privacy and Security, Professional Services, Software","Hardware, Legal, Legal Tech, Machine Learning, Manufacturing, Public Safety, Security, Sensor, Software",4,9,,Scientific and electric apparatus and instruments,5672573,USD,5672573,,,"Atlanta, Georgia, United States",$1M to $10M,2017-01-01,year,"Meritech Capital Partners, Bedrock, Andreessen Horowitz, Anorak Ventures, Y Combinator",https://www.linkedin.com/company/flock-safety
Ambient.ai,https://www.crunchbase.com/organization/ambient-ai,51-100,Active,https://ambient.ai,info@ambient.ai,+1 650 752 6376,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Machine Learning, Security, Sensor",7,2,Computing; Calculating,Scientific and electric apparatus and instruments,1539686,USD,1539686,,,"Menlo Park, California, United States",$1M to $10M,2017-01-01,year,"Andreessen Horowitz, Western Technology Investment, StartX (Stanford-StartX Fund), Y Combinator, Ronald Conway",https://www.linkedin.com/company/ambient-ai
Density,https://www.crunchbase.com/organization/density,101-250,Active,http://www.density.io/,sales@density.io,+1 888-990-2253,,,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Software","Analytics, Electronics, Sensor, Software, Test and Measurement",,,,,,,,,,"San Francisco, California, United States",$10M to $50M,2014-01-01,year,"Gaingels, Arjun Sethi, LAUNCH, Long Journey Ventures, Ludlow Ventures",https://www.linkedin.com/company/density-inc-
Luminar,https://www.crunchbase.com/organization/luminar-technologies,251-500,Active,https://www.luminartech.com/,hello@luminartech.com,(407) 900-5259,2,3,1,,,,,,"Hardware, Software, Transportation","Automotive, Autonomous Vehicles, Sensor, Software",172,2,Testing,Scientific and electric apparatus and instruments,570465,USD,570465,,,"Orlando, Florida, United States",$50M to $100M,2012-01-01,year,"Corning, The Westly Group, Peter Thiel, 1517 Fund, Canvas Ventures",https://www.linkedin.com/company/luminar_technologies/
SimpliSafe,https://www.crunchbase.com/organization/simplisafe,1001-5000,Active,http://simplisafe.com,customer-support@simplisafe.com,+1 888 910 1458,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Privacy and Security, Real Estate","Consumer Electronics, Home Improvement, Manufacturing, Security, Sensor, Smart Home",88,32,Signalling,Scientific and electric apparatus and instruments,20362605,USD,20362605,,,"Boston, Massachusetts, United States",$100M to $500M,2006-01-01,year,"Capital One, Alumni Ventures, Sequoia Capital, Owl Rock Capital, HPS Investment Partners",http://www.linkedin.com/company/simplisafe
VergeSense,https://www.crunchbase.com/organization/vergesense,101-250,Active,http://www.vergesense.com,hello@vergesense.com,+116176185006,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Real Estate, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Hardware, Information Technology, Real Estate, SaaS, Sensor",18,1,,Scientific and electric apparatus and instruments,1420400,USD,1420400,,,"San Francisco, California, United States",$10M to $50M,2017-01-01,year,"Y Combinator, Scale Venture Partners, Tola Capital, Touchdown Ventures, Bolt",https://www.linkedin.com/company/vergesense/
Artisight,https://www.crunchbase.com/organization/artisight,51-100,Active,https://www.artisight.com,,,,,,,,,,,"Hardware, Health Care, Internet Services","Health Care, Hospital, Internet of Things, Medical, Sensor",,,,,,,,,,"Chicago, Illinois, United States",$1M to $10M,2017-01-01,year,"NVIDIA, GFT Ventures, JCI Ventures",https://www.linkedin.com/company/artisight
Aeva,https://www.crunchbase.com/organization/aeva,251-500,Active,http://www.aeva.ai,info@aeva.ai,650-481-7070,,,,,,,,,"Hardware, Navigation and Mapping, Software, Transportation","Automotive, Autonomous Vehicles, Computer Vision, Navigation, Sensor",188,6,Testing,Scientific and electric apparatus and instruments,185302,USD,185302,,,"Mountain View, California, United States",$1M to $10M,2017-01-01,year,"Lux Capital, Socii Capital, Sylebra Capital, Canaan Partners",https://www.linkedin.com/company/aeva-inc/
Syntiant,https://www.crunchbase.com/organization/syntiant,51-100,Active,https://www.syntiant.com,info@syntiant.com,949-774-4887,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Semiconductor, Sensor",0,2,Musical Instruments; Acoustics,Scientific and electric apparatus and instruments,1192015,USD,1192015,,,"Irvine, California, United States",$1M to $10M,2017-01-01,year,"Applied Materials, Alumni Ventures, Microsoft, M12 - Microsoft's Venture Fund, Alpha Edison",https://www.linkedin.com/company/syntiant-corp
Ouster,https://www.crunchbase.com/organization/ouster,251-500,Active,http://www.ouster.com,LIDAR@ouster.io,+1.415.949.0108,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software, Transportation","Autonomous Vehicles, Electronics, Industrial Automation, Manufacturing, Robotics, Sensor",105,7,Testing,Scientific and electric apparatus and instruments,987516,USD,987516,,,"San Francisco, California, United States",$50M to $100M,2015-01-01,year,"Cox Enterprises, Runway Growth Capital, CSC Upshot, Cox Automotive, Tao Capital Partners",https://www.linkedin.com/company/ouster
Innovusion,https://www.crunchbase.com/organization/innovusion,51-100,Active,https://www.innovusion.com/,info@innovusion.com,650-963-9573,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Transportation","Automotive, Electric Vehicle, Electronics, Manufacturing, Sensor",35,0,Testing,,754932,USD,754932,,,"Sunnyvale, California, United States",$10M to $50M,2016-01-01,year,"Eight Roads Ventures, F-Prime Capital, Gaorong Capital, Shunwei Capital, NIO Capital",https://www.linkedin.com/company/innovusion
Nexar,https://www.crunchbase.com/organization/nexar-2,101-250,Active,https://getnexar.com/,contact@getnexar.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Image Recognition, Sensor, Software, Transportation",7,17,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"New York, New York, United States",Less than $1M,2015-01-01,month,"Mosaic Ventures, Ibex Investors, Aleph, PROOF, Tusk Venture Partners",https://www.linkedin.com/company/10460529
