Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Novineer,https://www.crunchbase.com/organization/novineer,1-10,Active,https://novineer.com,,386-281-6747,,,,,,,,,"Content and Publishing, Manufacturing, Media and Entertainment, Software","3D Printing, Printing, Simulation",,,,,240733,USD,240733,,,"Daytona Beach, Florida, United States",$10B+,2022-01-01,year,"Space Florida, Florida Venture Forum",https://www.linkedin.com/company/novineer
Latam Airlines Gp,https://www.crunchbase.com/organization/latam-airlines-gp,10001+,Active,http://www.latamairlinesgroup.net,investorrelations@latam.com,1 866 435 9526,,,,,,,,,"Software, Transportation, Travel and Tourism","Air Transportation, Simulation, Travel",,,,,233186666,USD,233186666,,,"Santiago, Region Metropolitana, Chile",$10B+,2012-01-01,day,,https://www.linkedin.com/company/latam_airlines
ANSYS,https://www.crunchbase.com/organization/ansys,1001-5000,Active,http://www.ansys.com,ansysinfo@ansys.com,1(724) 746-3304,,,,,,,,,"Information Technology, Software","Enterprise Software, Information Services, Information Technology, Simulation, Software",206,62,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Canonsburg, Pennsylvania, United States",$1B to $10B,1970-01-01,year,Western Technology Investment,http://www.linkedin.com/company/ansys-inc
CAE,https://www.crunchbase.com/organization/cae,5001-10000,Active,http://www.cae.com,cae_usa@cae.com,+1 514 341 6780,,,,,,,,,"Information Technology, Other, Privacy and Security, Science and Engineering, Software","Aerospace, Enterprise Software, Information Technology, Security, Simulation, Technical Support",222,38,Education; Cryptography; Display; Advertising; Seals,Scientific and electric apparatus and instruments,,,,,,"Montréal, Quebec, Canada",$1B to $10B,1947-01-01,year,"Fonds de solidarité FTQ, GIC, Caisse de Depot et Placement du Quebec",https://www.linkedin.com/school/cae/
AVEVA,https://www.crunchbase.com/organization/aveva,5001-10000,Active,http://aveva.com,info@aveva.com,+44 1223 556611,,,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Information Technology, Manufacturing, Science and Engineering, Software","Chemical, Computer, Data Mining, Electronics, Industrial Manufacturing, Information Technology, Simulation, Software",0,5,,Scientific and technological services,179981086,USD,179981086,,,"Cambridge, Cambridgeshire, United Kingdom",$1B to $10B,1967-01-01,year,,http://www.linkedin.com/company/aveva
"Intelligence, Communications and Engineering",https://www.crunchbase.com/organization/intelligence-communications-and-engineering,51-100,Active,https://www.iceinc-ps.com/,info@iceinc.us.com,520-458-4321,,,,,,,,,"Information Technology, Privacy and Security, Software","Cyber Security, Information Technology, Simulation",,,,,1448230,USD,1448230,,,"Sierra Vista, Arizona, United States",$1B to $10B,2006-01-01,day,,https://www.linkedin.com/company/iceinc
Siemens Industry Software S.r.l.,https://www.crunchbase.com/organization/siemens-industry-software-s-r-l,10001+,Active,https://www.plm.automation.siemens.com/global/it/,justine.bondoc@siemens.com,,,,,,,,,,"Information Technology, Software","Information Technology, Simulation, Software",2,0,Computing; Calculating,,7232783,USD,7232783,,,"Milan, Lombardia, Italy",$500M to $1B,1998-01-01,year,,https://www.linkedin.com/company/siemens
AVL,https://www.crunchbase.com/organization/avl,10001+,Active,https://www.avl.com,,+43 316 7870,,,,,,,,,"Manufacturing, Software, Transportation","Automotive, Manufacturing, Simulation","1,127",75,Testing,Scientific and electric apparatus and instruments,159769802,USD,159769802,,,"Graz, Steiermark, Austria",$100M to $500M,1948-01-01,year,"Government of Canada, BIRD Energy",https://www.linkedin.com/company/avl
COMSOL,https://www.crunchbase.com/organization/comsol,101-250,Active,http://www.comsol.com,info@comsol.com,7812733322,,,,,,,,,"Information Technology, Manufacturing, Software","Information Technology, Manufacturing, Simulation, Software",,,,,8681963,USD,8681963,,,"Burlington, Massachusetts, United States",$100M to $500M,1986-01-01,year,,http://www.linkedin.com/company/comsol-inc.
Moonshot AI,https://www.crunchbase.com/organization/umbra-ai,1-10,Active,https://moonshotai.org,danielhanchen@gmail.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Health Diagnostics, Information Services, Information Technology, Machine Learning, Natural Language Processing, Predictive Analytics, Simulation, Software",,,,,,,,,,"Sydney, New South Wales, Australia",$100M to $500M,2020-01-01,day,,https://linkedin.com/in/danielhanchen/
ESI Group,https://www.crunchbase.com/organization/esi-group,1001-5000,Active,http://www.esi-group.com,info@esi-group.com,+330153651414,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software, Sustainability","Analytics, Environmental Engineering, Internet of Things, Predictive Analytics, Simulation, Software, Software Engineering, Virtual Reality",2,22,Computing; Calculating,Scientific and electric apparatus and instruments,9653829,USD,9653829,,,"Paris, Ile-de-France, France",$100M to $500M,1973-01-01,year,,http://www.linkedin.com/company/esi-group
Meggitt Training Systems,https://www.crunchbase.com/organization/meggitt-training-systems,10001+,Active,http://meggitttrainingsystems.com,MGTTS-marketing@meggitt.com,+116782881090,,,,,,,,,Software,Simulation,7,0,Weapons,,137894755,USD,137894755,,,"Suwanee, Georgia, United States",$100M to $500M,1984-01-01,year,,https://www.linkedin.com/company/meggitt-training-systems
BTI,https://www.crunchbase.com/organization/bti-5ef4,1-10,Active,https://bti-online.com,info@bti-online.com,49-711-6646-370,,,,,,,,,"Education, Gaming, Professional Services, Software","Consulting, Simulation, Training, Video Games",,,,,68710,USD,68710,,,"Stuttgart, Baden-Wurttemberg, Germany",$100M to $500M,1997-01-01,year,,https://www.linkedin.com/company/bti-business-training-international-gmbh
CAE Elektronik,https://www.crunchbase.com/organization/cae-elektronik,251-500,Active,http://www.cae.de,info@cae.de,49-2402-1060,,,,,,,,,"Education, Government and Military, Software","National Security, Simulation, Training",1,0,Computing; Calculating,,,,,,,"Stolberg, Nordrhein-Westfalen, Germany",$100M to $500M,1961-01-01,day,,https://www.linkedin.com/school/cae/
Triotech,https://www.crunchbase.com/organization/triotech-2,101-250,Active,http://www.trio-tech.com/,info@trio-tech.com,+115143548999,,,,,,,,,"Education, Media and Entertainment, Software","Digital Entertainment, Edutainment, Simulation",2,17,Sports; Games; Amusements,Education; entertainment,1962355,USD,1962355,,,"Montreal, Quebec, Canada",$50M to $100M,1999-01-01,year,"Fonds de solidarité FTQ, Caisse de Depot et Placement du Quebec",https://www.linkedin.com/company/triotech-amusement-inc
Bohemia Interactive Simulations (BISim),https://www.crunchbase.com/organization/bohemia-interactive-simulations,51-100,Active,http://bisimulations.com,sales@bisimulations.com,4076087000,,,,,,,,,"Gaming, Information Technology, Software","Gaming, Information Technology, Simulation, Software",,,,,4320534,USD,4320534,,,"Orlando, Florida, United States",$50M to $100M,2001-01-01,year,Riverside Company,http://www.linkedin.com/company/bohemia-interactive-simulations
DRG,https://www.crunchbase.com/organization/drg-adb1,501-1000,Active,https://www.drgok.com,philip@buseygroup.com,+1-844-306-5858,,,,,,,,,"Navigation and Mapping, Science and Engineering, Software, Transportation","Aerospace, Automotive, Navigation, Simulation",,,,,1435667,USD,1435667,,,"Oklahoma City, Oklahoma, United States",$50M to $100M,2002-01-01,year,,https://www.linkedin.com/company/delaware-resource-group/
TEEX,https://www.crunchbase.com/organization/texas-a-m-engineering-extension-service,501-1000,Active,https://teex.org,media@teex.tamu.edu,+1 979 431 4837,,,,,,,,,"Education, Government and Military, Information Technology, Privacy and Security, Software","Cyber Security, Education, Government, Security, Simulation, Training",0,17,,Education; entertainment,7442338,USD,7442338,,,"College Station, Texas, United States",$50M to $100M,1948-01-01,year,,https://www.linkedin.com/company-beta/813447
Test Tooling Solutions Group,https://www.crunchbase.com/organization/test-tooling-solutions-group,11-50,Active,https://tts-grp.com,sales@tts-grp.com,60-4-646-6966,,,,,,,,,"Data and Analytics, Hardware, Manufacturing, Professional Services, Science and Engineering, Software","Manufacturing, Quality Assurance, Semiconductor, Simulation, Test and Measurement",,,,,3789575,USD,3789575,,,"Singapore, Central Region, Singapore",$50M to $100M,1979-01-01,year,,https://www.linkedin.com/company/test-tooling-solutions-group
Certicon,https://www.crunchbase.com/organization/certicon,501-1000,Active,https://www.certicon.cz/,vladimir.kozak@certiconglobal.com,+420 224 904 150,,,,,,,,,"Clothing and Apparel, Data and Analytics, Design, Health Care, Information Technology, Professional Services, Software","Career Planning, Data Mining, Fashion, Health Diagnostics, Image Recognition, Simulation, Software",0,4,,Scientific and technological services,4077118,USD,4077118,,,"Prague, Hlavni mesto Praha, Czech Republic",$50M to $100M,1996-01-01,year,,https://www.linkedin.com/company/certicon-a.s.
