Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
SAP,https://www.crunchbase.com/organization/sap,10001+,Active,https://www.sap.com,sapnetwork@sap.com,+496227747474,29,35,7,,,,,,"Consumer Electronics, Data and Analytics, Financial Services, Hardware, Software","Analytics, Business Intelligence, Business Process Automation (BPA), Computer, Data Management, Finance, Software","9,774",349,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Walldorf, Baden-Wurttemberg, Germany",$10B+,1972-04-01,day,"Elliott Investment Management, EASME - EU Executive Agency for SMEs",https://www.linkedin.com/company/sap
HP,https://www.crunchbase.com/organization/hewlett-packard,10001+,Active,http://www.hp.com,,(650) 857-1501,25,30,6,,,,,,"Consumer Electronics, Hardware, Information Technology, Software","Computer, Consumer Electronics, Hardware, IT Infrastructure, Software","27,056",412,Computing; Calculating,Scientific and electric apparatus and instruments,2217196547,USD,2217196547,,,"Palo Alto, California, United States",$10B+,1939-01-01,day,Berkshire Hathaway,https://www.linkedin.com/company/hp
Northrop Grumman,https://www.crunchbase.com/organization/northrop-grumman,10001+,Active,http://www.northropgrumman.com,,+1 703 280 2900,5,6,3,,,,,,"Data and Analytics, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Software","Aerospace, Data Integration, Manufacturing, Remote Sensing, Security, Software","2,661",127,Basic Electric Elements,Scientific and electric apparatus and instruments,623548414,USD,623548414,,,"Falls Church, Virginia, United States",$10B+,1994-01-01,year,"NASA, U.S. Department of Defense",http://www.linkedin.com/company/northrop-grumman-corporation
BIGO Technology,https://www.crunchbase.com/organization/bigo-technology,1001-5000,Active,https://www.bigo.sg,press@bigo.sg,+65 6351 9330,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Professional Services, Science and Engineering, Software, Video","Artificial Intelligence (AI), Business Development, Internet, Social Media, Software, Video Streaming",204,23,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Singapore, Central Region, Singapore",$10B+,2014-01-01,year,"JOYY, 5Y Capital, Ping An Overseas Holdings, Xueling Li",https://www.linkedin.com/company/bigo-technology-pte.-ltd.?
Applied Materials,https://www.crunchbase.com/organization/applied-materials,10001+,Active,http://www.appliedmaterials.com,customer_portal@amat.com,+1 408 727 5555,2,2,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software","Electronics, Manufacturing, Semiconductor, Software","15,719",513,Basic Electric Elements,Machines and machine tools,2025626690,USD,2025626690,,,"Santa Clara, California, United States",$10B+,1967-11-10,day,"US Department of Energy, NYSERDA, Stonnington Group",http://www.linkedin.com/company/applied-materials
SiteMinder,https://www.crunchbase.com/organization/siteminder,501-1000,Active,https://www.siteminder.com/,info@siteminder.com,+61 2 9221 4444,,,,,,,,,"Commerce and Shopping, Information Technology, Other, Professional Services, Software, Travel and Tourism","Customer Service, E-Commerce, Enterprise Software, Hotel, Information Technology, SaaS, Software",0,16,,Scientific and technological services,,,,,,"Sydney, New South Wales, Australia",$10B+,2006-09-26,day,"TCV, BlackRock, Fidelity International, Ellerston Capital, AustralianSuper",https://www.linkedin.com/company/302335
Western Digital,https://www.crunchbase.com/organization/western-digital,10001+,Active,https://www.westerndigital.com,investor@wdc.com,+1 949 672 7000,8,8,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Software","Big Data, Computer, Hardware, Manufacturing, Software",907,170,Computing; Calculating,Scientific and electric apparatus and instruments,1190201745,USD,1190201745,,,"Milpitas, California, United States",$10B+,1970-01-01,year,"Apollo, Elliott Investment Management, Tsinghua Unisplendour Venture Capital",https://www.linkedin.com/company/western-digital
Supermicro,https://www.crunchbase.com/organization/super-micro-computer,5001-10000,Active,http://www.supermicro.com,ir@supermicro.com,408-895-6568,,,,,,,,,"Hardware, Internet Services, Manufacturing, Science and Engineering, Software","Cloud Computing, Cloud Infrastructure, Embedded Systems, Manufacturing, Software",130,39,Electric Techniques Not Otherwise Provided For,Scientific and electric apparatus and instruments,,,,,,"San Jose, California, United States",$10B+,1993-01-01,year,Pioneer Holding Group,http://www.linkedin.com/company/supermicro
Coforge,https://www.crunchbase.com/organization/niit-technologies,10001+,Active,https://www.coforgetech.com,webmaster@niit-tech.com,0120-7119100,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",3,2,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"New Delhi, Delhi, India",$10B+,2004-01-01,year,"Canada Pension Plan Investment Board, BPEA EQT",https://www.linkedin.com/company/coforge-tech
TE Connectivity,https://www.crunchbase.com/organization/tyco-electronics,10001+,Active,http://www.te.com,socialmedia@te.com,+1 800 522 6752,3,3,2,,,,,,"Energy, Hardware, Manufacturing, Software, Transportation","Automotive, Electrical Distribution, Hardware, Manufacturing, Software","6,322",723,Basic Electric Elements,Scientific and electric apparatus and instruments,1600690964,USD,1600690964,,,"Schaffhausen, Schaffhausen, Switzerland",$10B+,1941-01-01,year,,http://www.linkedin.com/company/te-connectivity
