Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
DXC Technology,https://www.crunchbase.com/organization/dxc-technology,10001+,Active,https://www.dxc.com,,+1 860 739 8305,1,1,1,,,,,,"Data and Analytics, Financial Services, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","Analytics, Consulting, Information Technology, InsurTech, Outsourcing, Security, Software Engineering",19,69,Computing; Calculating,Scientific and technological services,1145563534,USD,1145563534,,,"Ashburn, Virginia, United States",$10B+,2017-01-01,year,,https://www.linkedin.com/company/dxctechnology/
Spyrosoft,https://www.crunchbase.com/organization/spyrosoft,1001-5000,Active,http://www.spyro-soft.com,office@spyro-soft.com,48500104042,,,,,,,,,"Information Technology, Science and Engineering, Software","Information Technology, Software, Software Engineering",,,,,12431111,USD,12431111,,,"Wroclaw, Dolnoslaskie, Poland",$10B+,2016-01-01,day,,https://www.linkedin.com/company/spyrosoft/
Innotech Corporation,https://www.crunchbase.com/organization/innotech-corporation-ede4,1001-5000,Active,https://www.innotech.co.jp,,+81-45-474-9000,2,2,1,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software","Electronics, Manufacturing, Semiconductor, Software, Software Engineering",34,1,Testing,Scientific and electric apparatus and instruments,,,,,,"Yokohama, Kanagawa, Japan",$10B+,1987-01-05,day,,https://www.linkedin.com/company/innotech-corporation/
Northrop Grumman Technical Services,https://www.crunchbase.com/organization/northrop-grumman-technical-services,10001+,Active,http://www.northropgrumman.com/AboutUs/BusinessSectors/TechnicalServices/Pages/default.aspx,,,,,,,,,,,"Government and Military, Information Technology, Science and Engineering, Software, Transportation","Automotive, Government, Information Technology, National Security, Software Engineering",,,,,623548414,USD,623548414,,,"Falls Church, Virginia, United States",$10B+,1994-01-01,year,,https://www.linkedin.com/company/northrop-grumman-corporation
MIT-IBM Watson AI Lab,https://www.crunchbase.com/organization/mit-ibm-watson-ai-lab,101-250,Active,http://mitibmwatsonailab.mit.edu/,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Software, Software Engineering",,,,,,,,,,"Cambridge, Massachusetts, United States",$1B to $10B,2017-01-01,year,IBM,https://www.linkedin.com/company/mit
DataArt,https://www.crunchbase.com/organization/dataart,5001-10000,Active,http://www.dataart.com,info@dataart.com,+1 212 378 4108,1,1,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Data Services, E-Commerce, Machine Learning, Software Engineering",0,3,,Scientific and technological services,77707586,USD,77707586,,,"New York, New York, United States",$1B to $10B,1997-01-01,year,"FTV Capital, Da Vinci Capital",http://www.linkedin.com/company/dataart
Autodesk,https://www.crunchbase.com/organization/autodesk,10001+,Active,http://www.autodesk.com,india.info@designerscommunity.org,(415)507-5000,53,60,14,9,,,,1,"Hardware, Manufacturing, Real Estate, Science and Engineering, Software","3D Technology, Architecture, Construction, Manufacturing, Software Engineering","1,063",252,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$1B to $10B,1982-01-01,year,OK Blockchain Capital,http://www.linkedin.com/company/autodesk
EPAM Systems,https://www.crunchbase.com/organization/epam-systems,10001+,Active,http://www.epam.com,info@epam.com,12677599000,,,,,,,,,"Artificial Intelligence (AI), Information Technology, Professional Services, Science and Engineering, Software","Consulting, Enterprise Software, Generative AI, Information Technology, Software, Software Engineering",0,28,,Scientific and technological services,375298018,USD,375298018,,,"Newtown, Pennsylvania, United States",$1B to $10B,1993-01-01,year,"Da Vinci Capital, Euroventures, Renaissance Investment Management",https://www.linkedin.com/company/epam-systems/
Ascendion,https://www.crunchbase.com/organization/ascendion,1001-5000,Active,https://ascendion.com,,,,,,,,,,,"Hardware, Internet Services, Professional Services, Science and Engineering, Software","Augmented Reality, Cloud Computing, Consulting, Software Engineering",0,2,,Advertising; business,,,,,,"Basking Ridge, New Jersey, United States",$1B to $10B,2022-06-01,month,,https://www.linkedin.com/company/ascendion/
SS&C Technologies,https://www.crunchbase.com/organization/ss-c-technologies,1001-5000,Active,http://www.ssctech.com,solution@sscinc.com,860-298-4500,,,,,,,,,"Financial Services, Health Care, Information Technology, Internet Services, Other, Science and Engineering, Software","Cloud Management, Enterprise Software, Finance, Financial Services, Health Care, Professional Services, Software, Software Engineering",9,63,Computing; Calculating,Scientific and technological services,407625254,USD,407625254,,,"Windsor, Connecticut, United States",$1B to $10B,1986-01-01,year,,http://www.linkedin.com/company/ss-c-technologies
Consilio,https://www.crunchbase.com/organization/consilio,5001-10000,Active,http://www.consilio.com/,consilio_dc@consilio.com,202-822-6222,,,,,,,,,"Internet Services, Professional Services, Science and Engineering, Software","Ediscovery, Enterprise Software, Legal, Software, Software Engineering",8,32,Computing; Calculating,Legal services,87518600,USD,87518600,,,"Washington, District of Columbia, United States",$1B to $10B,2002-01-01,year,,https://www.linkedin.com/company/consilio-llc/
KBR,https://www.crunchbase.com/organization/kbr-inc,10001+,Active,https://www.kbr.com,contactus@kbr.com,+1 713 753 2000,,,,,,,,,"Administrative Services, Education, Information Technology, Other, Privacy and Security, Professional Services, Science and Engineering, Software","Consulting, Cyber Security, Information Technology, Project Management, Software Engineering, Training",405,73,"Petroleum, Gas Or Coke Industries; Technical Gases Containing Carbon Monoxide; Fuels; Lubricants; Peat",Scientific and technological services,622544000,USD,622544000,,,"Houston, Texas, United States",$1B to $10B,1919-01-01,year,,http://www.linkedin.com/company/kbr-inc
Concentrix Catalyst,https://www.crunchbase.com/organization/concentrix-catalyst-5111,10001+,Active,https://www.concentrix.com/catalyst,,,,,,,,,,,"Information Technology, Internet Services, Professional Services, Science and Engineering, Software","Cloud Management, Consulting, Information Technology, Software Engineering",,,,,148777,USD,148777,,,"Beaverton, Oregon, United States",$1B to $10B,2021-01-01,year,,https://www.linkedin.com/company/concentrix-catalyst
Spatial,https://www.crunchbase.com/organization/spatial,10001+,Active,http://www.spatial.com/,support@3ds.com,303-544-2900,,,,,,,,,"Apps, Design, Hardware, Information Technology, Internet Services, Media and Entertainment, Music and Audio, Professional Services, Science and Engineering, Software","3D Technology, Apps, Audio, Business Development, CAD, Developer Tools, Information Technology, Internet, Software, Software Engineering",1,2,Computing; Calculating,Scientific and electric apparatus and instruments,1014003,USD,1014003,,,"Broomfield, Colorado, United States",$1B to $10B,1986-01-01,year,"Shea Ventures, Capstone Ventures, Roser Ventures, Cypress Growth Capital, Dolphin Asset Management",https://www.linkedin.com/company/869207
Venture,https://www.crunchbase.com/organization/venture-singapore,10001+,Active,https://www.venture.com.sg/,info@venture.com.sg,65-6482-1755,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Sales and Marketing, Science and Engineering, Software, Transportation","Computer, Electronics, Industrial Engineering, Machinery Manufacturing, Manufacturing, Sales, Software Engineering, Supply Chain Management",18,3,Information Storage,"Paints, varnishes, lacquers",,,,,,"Singapore, Central Region, Singapore",$1B to $10B,1984-01-01,year,,https://www.linkedin.com/company/venturecorporationlimited/
Harbourco,https://www.crunchbase.com/organization/harbourco,11-50,Active,http://www.harbourco.com,info@harbourco.com,,,,,,,,,,"Commerce and Shopping, Data and Analytics, Design, Financial Services, Information Technology, Internet Services, Professional Services, Real Estate, Sales and Marketing, Science and Engineering, Software","Accounting, Architecture, Bookkeeping and Payroll, Consulting, CRM, Data Mining, Digital Marketing, E-Commerce Platforms, Graphic Design, Software Engineering",,,,,,,,,,"Ahmedabad, Gujarat, India",$1B to $10B,2013-01-01,year,,http://www.linkedin.com/company/harbourco
EXPLEO GROUP,https://www.crunchbase.com/organization/expleo-group,10001+,Active,https://www.expleo.com,dpo@expleogroup.com,+33 130122500,,,,,,,,,"Information Technology, Professional Services, Science and Engineering, Software","Consulting, Information Technology, Software Engineering",,,,,,,,,,"Montigny-le-bretonneux, Ile-de-France, France",$1B to $10B,1966-01-01,year,,https://www.linkedin.com/company/expleo-group
Infinite Computer Solutions,https://www.crunchbase.com/organization/infinite-computer-solutions,5001-10000,Active,https://www.infinite.com,corporate-marketing@infinite.com,+91 80 4193 0000,,,,,,,,,"Blockchain and Cryptocurrency, Data and Analytics, Hardware, Information Technology, Internet Services, Other, Professional Services, Science and Engineering, Software","Blockchain, Business Intelligence, Cloud Infrastructure, Consulting, Developer Platform, IT Infrastructure, Quality Assurance, Software, Software Engineering",3,5,,Scientific and technological services,39489343,USD,39489343,,,"Rockville, Maryland, United States",$500M to $1B,1999-01-01,year,,https://www.linkedin.com/company/infinite-computer-solutions
Avast,https://www.crunchbase.com/organization/avast,1001-5000,Active,https://www.avast.com,sales@avast.com,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software","Computer, Network Security, Security, Software, Software Engineering",154,34,Computing; Calculating,Scientific and electric apparatus and instruments,31908808,USD,31908808,,,"Prague, Hlavni mesto Praha, Czech Republic",$500M to $1B,1988-01-01,year,"Summit Partners, CVC Capital Partners",https://www.linkedin.com/company/avast-software
Photon,https://www.crunchbase.com/organization/photon-eb6f,5001-10000,Active,https://www.photon.com,yourdigitalpartner@photon.com,+1 858 455 9741,,,,,,,,,"Content and Publishing, Information Technology, Media and Entertainment, Science and Engineering, Software","Creative Agency, Information Technology, Software Engineering",,,,,,,,,,"London, England, United Kingdom",$500M to $1B,2007-01-01,year,,https://www.linkedin.com/company/photon-interactive/
PA Consulting Group,https://www.crunchbase.com/organization/pa-consulting-group,1001-5000,Active,http://www.paconsulting.com/,contact@paconsulting.com,44 20 7730 9000,2,3,,,,,,,"Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","Business Development, Consulting, Cyber Security, Data Integration, Information Technology, IT Infrastructure, Management Consulting, Software Engineering",26,18,,Scientific and technological services,34447042,USD,34447042,,,"London, England, United Kingdom",$500M to $1B,1943-01-01,year,,https://www.linkedin.com/company/pa-consulting/
Andersen Inc.,https://www.crunchbase.com/organization/andersen,1001-5000,Active,https://andersenlab.com?utm_source=catalog&utm_medium=crunchbase.com,vn@andersenlab.com,800-967-7762,,,,,,,,,"Administrative Services, Apps, Design, Education, Information Technology, Mobile, Other, Privacy and Security, Science and Engineering, Software","DevOps, E-Learning, Information Technology, Mobile Apps, Project Management, Security, Software, Software Engineering, UX Design, Web Development",,,,,50242147,USD,50242147,,,"Warsaw, Mazowieckie, Poland",$500M to $1B,2007-01-01,day,,https://www.linkedin.com/company/andersen-lab
SHIFT,https://www.crunchbase.com/organization/shift-4,1001-5000,Active,http://www.shiftinc.jp/,info@shiftinc.jp,+81 120-142-117,3,3,,,,,,,"Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","Developer Platform, Enterprise Software, Network Security, Quality Assurance, Software, Software Engineering",,,,,,,,,,"Tokyo, Tokyo, Japan",$500M to $1B,2005-09-01,day,"Works Applications, Mitsui & Co, DNX Ventures, NTT DOCOMO Ventures, Mistletoe",https://www.linkedin.com/company/shiftincjp
Incora,https://www.crunchbase.com/organization/incora,11-50,Active,http://incorainc.com/,info@incorainc.com,,,,,,,,,,"Apps, Science and Engineering, Software","Software, Software Engineering, Web Apps, Web Development",,,,,,,,,,"Lviv, L'vivs'ka Oblast', Ukraine",$500M to $1B,2015-01-01,day,,https://www.linkedin.com/company/incorainc/
Hawk,https://www.crunchbase.com/organization/hawk,1-10,Active,https://usehawk.com,help@usehawk.com,,,,,,,,,,"Apps, Data and Analytics, Design, Information Technology, Media and Entertainment, Other, Privacy and Security, Professional Services, Science and Engineering, Software, Video","Analytics, Customer Service, Cyber Security, Developer Tools, Software Engineering, UX Design, Video, Web Apps",,,,,79010,USD,79010,,,"Providence, Rhode Island, United States",$500M to $1B,2018-01-01,year,,https://www.linkedin.com/company/usehawk/
