Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
BD,https://www.crunchbase.com/organization/bd-8a88,10001+,Active,https://www.bd.com,,+1-201-847-6800,,,,,,,,,"Health Care, Information Technology, Other","Health Care, Medical Device, Technical Support",,,,,662784234,USD,662784234,,,"Franklin Lakes, New Jersey, United States",$10B+,1897-01-01,year,Steris,https://www.linkedin.com/company/bd1
Arrow Electronics,https://www.crunchbase.com/organization/arrow-electronics,10001+,Active,https://www.arrow.com/,investor@arrow.com,+1 303 824 4000,2,2,1,2,,,,,"Consumer Electronics, Energy, Hardware, Information Technology, Manufacturing, Other, Professional Services, Software","Consulting, Electrical Distribution, Electronics, Hardware, Manufacturing, Professional Services, Service Industry, Software, Technical Support, Virtualization",5,90,Computing; Calculating,Scientific and technological services,,,,,,"Centennial, Colorado, United States",$10B+,1935-01-01,year,,http://www.linkedin.com/company/arrow-electronics
CGI,https://www.crunchbase.com/organization/cgi,10001+,Active,https://www.cgi.com,info@cgi.com,+1 514 841 3200,,,,,,,,,"Data and Analytics, Financial Services, Information Technology, Other, Privacy and Security, Professional Services, Software","Analytics, Application Performance Management, Business Intelligence, Consulting, Cyber Security, Finance, Information Technology, Technical Support",0,79,,Scientific and technological services,993022340,USD,993022340,,,"Montréal, Quebec, Canada",$10B+,1976-01-01,year,,https://www.linkedin.com/company/cgi
The Linde Group,https://www.crunchbase.com/organization/the-linde-group-inc,11-50,Active,http://lindegroup.com,information@lindegroup.com,(510) 705-8910,,,,,,,,,"Information Technology, Other","Information Technology, Management Information Systems, Technical Support",,,,,392068,USD,392068,,,"Emeryville, California, United States",$10B+,1989-01-01,day,,https://www.linkedin.com/company/the-linde-group-inc-/
Pakistan Navy,https://www.crunchbase.com/organization/pakistan-navy,10001+,Active,https://paknavy.gov.pk ,,,,,,,,,,,"Information Technology, Other, Science and Engineering, Transportation","Mechanical Engineering, Shipping, Technical Support",,,,,,,,,,"Karachi, Sindh, Pakistan",$10B+,1952-01-01,year,,https://www.linkedin.com/company/pakistan-navy/ 
Alorica,https://www.crunchbase.com/organization/alorica,10001+,Active,http://www.alorica.com,info@alorica.com,(866)256-7422,1,1,,,,,,,"Administrative Services, Information Technology, Other, Professional Services, Sales and Marketing","Call Center, Customer Service, Marketing, Outsourcing, Technical Support",6,33,Electric Communication Technique,Advertising; business,1173028819,USD,1173028819,,,"Irvine, California, United States",$1B to $10B,1999-01-01,year,Cerberus Business Finance,https://www.linkedin.com/company/alorica
CAE,https://www.crunchbase.com/organization/cae,5001-10000,Active,http://www.cae.com,cae_usa@cae.com,+1 514 341 6780,,,,,,,,,"Information Technology, Other, Privacy and Security, Science and Engineering, Software","Aerospace, Enterprise Software, Information Technology, Security, Simulation, Technical Support",222,38,Education; Cryptography; Display; Advertising; Seals,Scientific and electric apparatus and instruments,,,,,,"Montréal, Quebec, Canada",$1B to $10B,1947-01-01,year,"Fonds de solidarité FTQ, GIC, Caisse de Depot et Placement du Quebec",https://www.linkedin.com/school/cae/
Atento,https://www.crunchbase.com/organization/atento,10001+,Active,http://atento.com,info@atento.com,+34 917 406 800,1,1,,,,,,,"Information Technology, Other, Professional Services, Sales and Marketing, Software","CRM, Outsourcing, Sales, Technical Support",0,8,,Advertising; business,417281,USD,417281,,,"Madrid, Madrid, Spain",$1B to $10B,1999-01-01,year,"MCI World, Farallon Capital Management, HPS Investment Partners, IDB Invest, GIC",https://www.linkedin.com/company/atento
printer repair near me,https://www.crunchbase.com/organization/emirates-global-aluminium-ega,251-500,Active,https://www.uaetechnician.com/printer-repair.html,info@uaetechnician.com,+97145864033,,,,,,,,,"Consumer Electronics, Content and Publishing, Hardware, Information Technology, Media and Entertainment, Other, Privacy and Security","Computer, Hardware, Network Security, Printing, Technical Support",,,,,,,,,,"Dubai, Dubai, United Arab Emirates",$1B to $10B,1975-01-01,year,"Standard Chartered Bank, بنك المؤامرات, Mashreq Bank, Commercial Bank of Dubai",https://www.linkedin.com/in/uae-technician-564703244/
GoTo,https://www.crunchbase.com/organization/authair,1001-5000,Active,https://www.goto.com/,press@goto.com,+1-866-890-8931,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Other, Privacy and Security, Software","Security, Software, Technical Support, Unified Communications",155,6,Electric Communication Technique,Scientific and electric apparatus and instruments,100305287,USD,100305287,,,"Boston, Massachusetts, United States",$1B to $10B,2003-01-01,year,"Polaris Partners, .406 Ventures",https://www.linkedin.com/company/goto
Everise,https://www.crunchbase.com/organization/everise,10001+,Active,https://weareeverise.com,corporate.communications@weareeverise.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Customer Service, Internet of Things, Technical Support",0,5,,Advertising; business,,,,,,"Singapore, Central Region, Singapore",$1B to $10B,2016-01-01,year,Warburg Pincus,https://www.linkedin.com/company/weareeverise
Amentum,https://www.crunchbase.com/organization/amentum,10001+,Active,https://www.amentum.com/,askus@amentum.com,+1 301 944 3100,,,,,,,,,"Information Technology, Other, Privacy and Security, Science and Engineering","Mechanical Engineering, Security, Technical Support",0,14,,Scientific and technological services,717473069,USD,717473069,,,"Germantown, Maryland, United States",$1B to $10B,2020-01-01,year,American Securities,https://www.linkedin.com/company/amentumcorp/
