Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
SoftBank,https://www.crunchbase.com/organization/softbank,251-500,Active,https://group.softbank,pr@softbank.co.jp,+81-3-6889-2000,259,326,158,38,,,,,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Lending and Investments, Mobile","Banking, E-Commerce, Internet, Mobile, Telecommunications",512,52,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Minato, Chiba, Japan",$10B+,1981-09-03,day,"Microsoft, Samsung Electronics, Ilya Sutskever, Tiger Global Management",https://www.linkedin.com/company/softbankgroup
Reliance Industries,https://www.crunchbase.com/organization/reliance-industries,10001+,Active,https://www.ril.com,info@ril.com,+91-22-2278 5000,21,25,20,,,,,,"Commerce and Shopping, Energy, Hardware, Manufacturing, Natural Resources, Other, Science and Engineering","Chemical, Energy, Oil and Gas, Retail, Service Industry, Telecommunications, Textiles",502,22,Organic Macromolecular Compounds; Their Preparation Or Chemical Working-Up,Yarns and threads for textile use,,,,,,"Mumbai, Maharashtra, India",$10B+,1966-01-01,year,"Bank of America, Standard Chartered Bank, DBS Bank, State Bank of India, HSBC",https://www.linkedin.com/company/reliance
Ericsson,https://www.crunchbase.com/organization/ericsson,10001+,Active,https://www.ericsson.com,asq@ericsson.com,+46 10 719 00 00,17,22,3,1,On-Site,2019-11-28,,,"Hardware, Information Technology, Internet Services, Mobile","Information Technology, Internet, Mobile, Telecommunications",60,0,Electric Communication Technique,,,,,,,"Kista, Stockholms Lan, Sweden",$10B+,1876-01-01,day,"European Investment Bank, Nordic Investment Bank, SEK, Cevian Capital",https://www.linkedin.com/company/ericsson
T-Mobile,https://www.crunchbase.com/organization/t-mobile,10001+,Active,https://www.t-mobile.com,,+1 425-378-4000,9,9,3,1,,,,,"Hardware, Internet Services, Mobile","Internet, Mobile, Telecommunications, Wireless","2,936",228,Electric Communication Technique,Telecommunications,6484176258,USD,6484176258,,,"Bellevue, Washington, United States",$10B+,1994-09-18,day,"Mid Europa Partners, Lehman Brothers Venture Partners",http://www.linkedin.com/company/t-mobile
Orange,https://www.crunchbase.com/organization/orange,10001+,Active,http://www.orange.com,infos.groupe@orange.com,+33 1 44 44 22 22,17,21,5,,,,,,"Hardware, Media and Entertainment","Digital Media, Network Hardware, Telecommunications","1,300",41,Electric Communication Technique,Telecommunications,,,,,,"Arcueil, Ile-de-France, France",$10B+,1991-01-01,day,European Investment Bank,https://www.linkedin.com/company/orange
Verizon,https://www.crunchbase.com/organization/verizon-communications,10001+,Active,https://www.verizon.com,,+1-800-922-0204,18,19,12,2,,,,,"Hardware, Information Technology, Mobile","Communications Infrastructure, Information Technology, Mobile, Telecommunications","7,122",207,Electric Communication Technique,Telecommunications,11150573178,USD,11150573178,,,"New York, New York, United States",$10B+,1983-10-07,day,"ATN International, U.S. Department of Defense, NYSERDA, Connect Maryland",http://www.linkedin.com/company/verizon
Vodafone,https://www.crunchbase.com/organization/vodafone,10001+,Active,http://vodafone.com,info@vodafone.com,+61 1300 100 818,24,25,13,1,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Information Technology, Messaging, Telecommunications",291,156,Electric Communication Technique,Telecommunications,,,,,,"Newbury, West Berkshire, United Kingdom",$10B+,1982-01-01,year,"e&, Atlas Investissement",https://www.linkedin.com/company/vodafone
AT&T,https://www.crunchbase.com/organization/at-t,10001+,Active,https://www.att.com,contact@att.com,3145053140,50,57,11,15,,,,,"Hardware, Mobile, Other","Collaboration, Communications Infrastructure, Mobile, Service Industry, Telecommunications, Wireless",,,,,9839086170,USD,9839086170,,,"Dallas, Texas, United States",$10B+,1983-10-05,day,National Telecommunications and Information Administration,https://www.linkedin.com/company/at&t
Telefonica,https://www.crunchbase.com/organization/telefonica,10001+,Active,https://www.telefonica.com/,prensa@telefonica.es,(349) 148-2798,33,36,2,2,,,,,"Hardware, Internet Services, Media and Entertainment, Sales and Marketing, Software, Video","Public Relations, Telecommunications, TV, Web Development, Web Hosting",326,214,Electric Communication Technique,Telecommunications,,,,,,"Madrid, Madrid, Spain",$10B+,1924-01-01,year,"Barclays Investment Bank, Saudi Telecom Company, BBVA Ventures",https://www.linkedin.com/company/telef%C3%B3nica
Airtel,https://www.crunchbase.com/organization/bharti-airtel-ltd,10001+,Active,http://www.airtel.in,121@airtel.com,+91 11 4666 6100,12,17,11,,,,,,"Hardware, Mobile, Sales and Marketing","Mobile, Public Relations, Telecommunications",1,1,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"New Delhi, Delhi, India",$10B+,1995-01-01,year,"Fidelity, Singtel, Google, Warburg Pincus, PIMCO",https://www.linkedin.com/company/airtel
