Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
PayPal,https://www.crunchbase.com/organization/paypal,10001+,Active,https://www.paypal.com/home,spoof@paypal.com,(408)967-1000,33,34,10,3,,,,,"Commerce and Shopping, Financial Services, Internet Services, Mobile, Payments, Software","E-Commerce Platforms, FinTech, Mobile Payments, Transaction Processing","3,081",243,Computing; Calculating,Insurance; financial affairs,2743824717,USD,2743824717,,,"San Jose, California, United States",$10B+,1998-12-01,day,"Singtel, Sequoia Capital, Qualcomm Ventures, Peter Thiel, Goldman Sachs",http://www.linkedin.com/company/paypal
TSYS,https://www.crunchbase.com/organization/total-system-services,10001+,Active,http://www.tsys.com,socialmedia@tsys.com,+1 844 663 8797,1,1,1,,,,,,"Financial Services, Payments, Software","Billing, Financial Services, Payments, Transaction Processing",0,28,,Insurance; financial affairs,954713128,USD,954713128,,,"Columbus, Georgia, United States",$10B+,1983-01-01,year,,https://www.linkedin.com/company/tsys
Societe Generale,https://www.crunchbase.com/organization/societe-generale-0c3e,10001+,Active,https://www.sgcib.com,FR-RELATIONS-MEDIAS@SOCGEN.COM,,,,,,,,,,"Financial Services, Payments, Software","Finance, Financial Services, Insurance, Transaction Processing",,,,,2020808401,USD,2020808401,,,"New York, New York, United States",$10B+,1990-01-01,year,,https://www.linkedin.com/company/societegenerale-corporate-and-investment-banking
Just Eat Takeaway,https://www.crunchbase.com/organization/takeaway-com,10001+,Active,https://www.justeattakeaway.com,info@takeaway.com,,,,,,,,,,"Administrative Services, Commerce and Shopping, Financial Services, Food and Beverage, Payments, Software, Transportation","Delivery, Delivery Service, Food and Beverage, Food Delivery, Marketplace, Restaurants, Transaction Processing",0,14,,Advertising; business,,,,,,"Toronto, Ontario, Canada",$1B to $10B,2000-01-01,year,"Macquarie Capital, The Baupost Group, Rheingau Founders, Prime Ventures",https://www.linkedin.com/company/takeaway-com
Citibank Hong Kong,https://www.crunchbase.com/organization/citibank-hong-kong,51-100,Active,https://www.citibank.com.hk/portal/home_english/hkcb_Home.htm,hongkong.customer.sefrvice@citi.com,(852) 2860 0333,,,,,,,,,"Financial Services, Lending and Investments, Payments, Software","Banking, Finance, Financial Services, Transaction Processing",,,,,,,,,,"Quarry Bay, Hong Kong Island, Hong Kong",$1B to $10B,1902-01-01,year,,
ATRenew,https://www.crunchbase.com/organization/atrenew,1001-5000,Active,https://www.atrenew.com,pr@atrenew.com,+86 400 161 6365,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Financial Services, Hardware, Payments, Software","Consumer Electronics, Marketplace, Transaction Processing",,,,,,,,,,"Shanghai, Shanghai, China",$1B to $10B,2011-01-01,year,,https://www.linkedin.com/company/%E4%B8%87%E7%89%A9%E6%96%B0%E7%94%9F/
Entrust Datacard,https://www.crunchbase.com/organization/datacard-group,1001-5000,Closed,https://www.entrustdatacard.com,info@datacard.com,1(952) 933-1223,2,2,2,,,,,,"Financial Services, Payments, Privacy and Security, Software","Financial Services, Security, Software, Transaction Processing",76,8,Printing; Lining Machines; Typewriters,Scientific and electric apparatus and instruments,105048450,USD,105048450,,,"Shakopee, Minnesota, United States",$500M to $1B,1969-01-01,year,,https://www.linkedin.com/company/entrustdatacard
UMR,https://www.crunchbase.com/organization/umr,1001-5000,Active,https://www.umr.com,,+1-800-826-9781,,,,,,,,,"Financial Services, Payments, Software","Insurance, Transaction Processing",0,4,,Insurance; financial affairs,14119984,USD,14119984,,,"Blue Creek, Ohio, United States",$500M to $1B,1983-01-01,year,,
NIFT,https://www.crunchbase.com/organization/nift,501-1000,Active,https://www.nift.pk,info@nift.pk,9221-111-112-222,,,,,,,,,"Financial Services, Payments, Software","Financial Services, Payments, Transaction Processing",,,,,,,,,,"Karachi, Sindh, Pakistan",$500M to $1B,1995-01-01,year,,https://www.linkedin.com/company/nift
Tradeshift,https://www.crunchbase.com/organization/tradeshift,501-1000,Active,https://tradeshift.com,pr@tradeshift.com,+1 800-381-3585,1,1,,,,,,,"Financial Services, Other, Payments, Software, Transportation","B2B, Enterprise Software, Financial Services, FinTech, Procurement, SaaS, Software, Transaction Processing",1,0,Computing; Calculating,,21978150,USD,21978150,,,"San Francisco, California, United States",$100M to $500M,2009-07-01,day,"Tradeshift, Koch Industries, Employee Stock Option Fund, HSBC, Raison",http://www.linkedin.com/company/tradeshift
