Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Miro,https://www.crunchbase.com/organization/mirohq,1001-5000,Active,https://miro.com,,,,,,,,,,,"Apps, Design, Other, Software","B2B, Enterprise Applications, Enterprise Software, Product Management, UX Design",,,,,29172867,USD,29172867,,,"San Francisco, California, United States",$100M to $500M,2011-06-01,day,"TCV, ICONIQ Growth, Dragoneer Investment Group, Bradley Horowitz, Accel",https://www.linkedin.com/company/mirohq
Mural,https://www.crunchbase.com/organization/mural-ly,501-1000,Active,https://www.mural.co,support@mural.co,415-687-2501,,,,,,,,,"Apps, Design, Other, Software","B2B, Collaboration, Enterprise Applications, Enterprise Software, Product Design, Product Management, Software, UX Design",,,,,,,,,,"San Francisco, California, United States",$1M to $10M,2011-01-01,year,"500 Global, Gradient Ventures, Radian Capital, WiL (World Innovation Lab), NXTP Ventures",https://www.linkedin.com/company/mural.co
Typeform,https://www.crunchbase.com/organization/typeform,501-1000,Active,https://www.typeform.com/,pr@typeform.com,,,,,,,,,,"Data and Analytics, Design, Software","Consumer Research, SaaS, Software, UX Design",0,18,,Scientific and electric apparatus and instruments,17475874,USD,17475874,,,"Barcelona, Catalonia, Spain",Less than $1M,2012-01-01,year,"Sofina, GP Bullhound, Top Tier Capital Partners, Teamworthy Ventures, Jay Parikh",https://www.linkedin.com/company/typeform-/
Concentrix,https://www.crunchbase.com/organization/concentrix-corporation,10001+,Active,https://www.concentrix.com,,+1 158 521 85480,,,,,,,,,"Design, Information Technology, Other, Professional Services, Sales and Marketing","Customer Service, Information Technology, Outsourcing, Sales, UX Design",3,2,,Advertising; business,486094852,USD,486094852,,,"California City, California, United States",$1B to $10B,1983-01-01,year,"Boston Millennia Partners, FA Technology Ventures",https://www.linkedin.com/company/concentrix
Dovetail,https://www.crunchbase.com/organization/dovetail-app,101-250,Active,https://dovetail.com/,hello@dovetailapp.com,+61 6363000901,,,,,,,,,"Data and Analytics, Design, Software","Consumer Research, Product Research, Software, UX Design",0,0,,Advertising; business,,,,,,"Sydney, New South Wales, Australia",$1M to $10M,2017-06-01,day,"Accel, Vlad Magdalin, Felicis, Stewart Butterfield, Blackbird Ventures",https://www.linkedin.com/company/heydovetail/
Brandwatch,https://www.crunchbase.com/organization/brandwatch,1001-5000,Active,https://www.brandwatch.com/,info@brandwatch.com,44 (0) 1273 448 800,,,,,,,,,"Advertising, Data and Analytics, Design, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Analytics, Business Intelligence, Information Technology, Marketing, Product Design, Social Media, Software, UX Design",3,10,,Scientific and technological services,27689398,USD,27689398,,,"Brighton, East Sussex, United Kingdom",$100M to $500M,2007-01-01,year,"Nauta Capital, Sageview Capital, Highland Europe, Partech, Future Fifty",https://www.linkedin.com/company/brandwatch/
Uizard,https://www.crunchbase.com/organization/uizard-technologies,51-100,Active,https://uizard.io,,,,,,,,,,,"Design, Software","Product Design, Software, UX Design, Web Design",,,,,508743,USD,508743,,,"Copenhagen, Hovedstaden, Denmark",$1M to $10M,2018-02-15,day,"7percent Ventures, LDV Capital, AV8 Ventures, Insight Partners, New York Venture Partners",https://www.linkedin.com/company-beta/18083715/
Appcues,https://www.crunchbase.com/organization/appcues,101-250,Active,http://www.appcues.com,support@appcues.com,,,,,,,,,,"Data and Analytics, Design, Other, Software","Analytics, Product Management, Productivity Tools, SaaS, UX Design",0,1,,Scientific and technological services,1166936,USD,1166936,,,"Boston, Massachusetts, United States",$10M to $50M,2013-01-01,year,"NewSpring, Sierra Ventures, Bridge Bank, Dharmesh Shah, Accomplice",http://www.linkedin.com/company/appcues
Wizeline,https://www.crunchbase.com/organization/wizeline,1001-5000,Active,https://www.wizeline.com,contact@wizeline.com,888-386-9493,,,,,,,,,"Data and Analytics, Design, Information Technology, Mobile, Other, Professional Services, Software","B2B, Business Intelligence, Consulting, Information Technology, Mobile, Product Design, Software, UX Design, Web Development",,,,,3129380,USD,3129380,,,"San Francisco, California, United States",$100M to $500M,2013-01-01,year,"Sierra Ventures, Bowery Capital, Apax Digital, LEAP Global Partners, XG Ventures",https://www.linkedin.com/company/wizeline
Dscout,https://www.crunchbase.com/organization/dscout,101-250,Active,https://dscout.com,info@dscout.com,(312)880-9715,,,,,,,,,"Data and Analytics, Design","Consumer Research, Market Research, Product Research, UX Design",0,2,,Advertising; business,2674216,USD,2674216,,,"Chicago, Illinois, United States",$1M to $10M,2011-09-15,day,"Guidepost Growth Equity, Beringea, Synetro Group",https://www.linkedin.com/company/2438748
UserZoom,https://www.crunchbase.com/organization/userzoom,101-250,Active,https://www.userzoom.com,marketing@userzoom.com,4085247446,,,,,,,,,"Data and Analytics, Design, Software","Market Research, Software, Usability Testing, UX Design",,,,,,,,,,"San Jose, California, United States",$10M to $50M,2007-08-01,month,"Trident Capital, StepStone Group, Owl Rock Capital, Sunstone Partners, Thoma Bravo",http://www.linkedin.com/company/userzoom
Abstract,https://www.crunchbase.com/organization/abstract,51-100,Active,https://www.abstract.com/,info@goabstract.com,(415) 857-1593,4,6,,,,,,,"Apps, Design, Software","Apps, Product Design, Software, UX Design, Web Apps",0,3,,Scientific and electric apparatus and instruments,999426,USD,999426,,,"San Francisco, California, United States",$10M to $50M,2015-01-01,year,"Cowboy Ventures, Scale Venture Partners, Lightspeed Venture Partners, Version One Ventures, Designer Fund",https://www.linkedin.com/company/abstract-app/
