Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
China Telecom,https://www.crunchbase.com/organization/china-telcom,10001+,Active,https://www.chinatelecomglobal.com/,cs@chinatelecomglobal.com,+86 10 6642 8166,2,2,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Data Center, Information Services, Internet, Mobile, Telecommunications, Unified Communications",0,2,,Scientific and electric apparatus and instruments,,,,,,"Beijing, Beijing, China",$10B+,2002-01-01,year,,https://www.linkedin.com/company/china-telecom-global/
Virgin Media O2,https://www.crunchbase.com/organization/virgin-media-o2,10001+,Active,https://news.virginmediao2.co.uk,,,,,,,,,,,"Commerce and Shopping, Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Video","Broadcasting, Information Technology, Internet, Telecommunications, Unified Communications, Wholesale",,,,,,,,,,"London, England, United Kingdom",$10B+,2021-01-01,year,,https://www.linkedin.com/company/virgin-media-o2
FaceTime Communications,https://www.crunchbase.com/organization/facetime-communications-inc-2,251-500,Active,http://www.facetime.com,info@facetime.com,+1 888 349 3223,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security","Cyber Security, Internet, Messaging, Mobile, Unified Communications",,,,,127449,USD,127449,,,"Foster City, California, United States",$10B+,1998-01-01,year,"Sutter Hill Ventures, Compaq, TH Lee Putnam Ventures, Sumitomo Ventures, Novell Ventures",https://www.linkedin.com/company/facetime-communications
GoTo,https://www.crunchbase.com/organization/authair,1001-5000,Active,https://www.goto.com/,press@goto.com,+1-866-890-8931,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Other, Privacy and Security, Software","Security, Software, Technical Support, Unified Communications",155,6,Electric Communication Technique,Scientific and electric apparatus and instruments,100305287,USD,100305287,,,"Boston, Massachusetts, United States",$1B to $10B,2003-01-01,year,"Polaris Partners, .406 Ventures",https://www.linkedin.com/company/goto
Konica Minolta Business Solutions U.S.A.,https://www.crunchbase.com/organization/konica-minolta-business-solutions-u-s-a,5001-10000,Active,http://kmbs.konicaminolta.us,marketing@se.konicaminolta.us,+1 201 825 4000,,,,,,,,,"Apps, Content and Publishing, Data and Analytics, Information Technology, Internet Services, Manufacturing, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","Business Intelligence, Cloud Data Services, Document Management, Enterprise Resource Planning (ERP), Information Technology, Manufacturing, Mobile Apps, Printing, Unified Communications, Web Development",52,24,Computing; Calculating,Scientific and technological services,222687616,USD,222687616,,,"Ramsey, New Jersey, United States",$1B to $10B,1873-01-01,year,,https://www.linkedin.com/company/konica-minolta-business-solutions-u-s-a--inc-/
Alcatel-Lucent Enterprise,https://www.crunchbase.com/organization/alcatel-lucent-enterprise,1001-5000,Active,https://www.al-enterprise.com/,,+33 1 55 66 70 00,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Science and Engineering, Software","Internet, Robotics, Telecommunications, Unified Communications, Wireless",,,,,109588180,USD,109588180,,,"Colombes, Ile-de-France, France",$1B to $10B,2014-01-01,year,,https://www.linkedin.com/company/alcatellucententerprise/
TDH Net,https://www.crunchbase.com/organization/tdh-net,1-10,Active,http://www.tdh-net.dk,info@tdh-net.dk,45 70273274,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Internet, Telecommunications, Unified Communications",,,,,,,,,,"Hvidovre, Hovedstaden, Denmark",$1B to $10B,2015-01-01,day,,https://www.linkedin.com/company/tdh-net
Link Mobility,https://www.crunchbase.com/organization/link-mobility,501-1000,Active,http://www.linkmobility.com/,info@linkmobility.com,47 57 74 84 84,,,,,,,,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Professional Services, Sales and Marketing, Software","Apps, Business Development, Business Information Systems, Email Marketing, Marketing, Messaging, Mobile, SMS, Telecommunications, Unified Communications",0,4,,Telecommunications,10797488,USD,10797488,,,"Oslo, Oslo, Norway",$500M to $1B,2001-01-01,year,,https://www.linkedin.com/company/linkmobility-group/
altafiber,https://www.crunchbase.com/organization/cincinnati-bell-technology-solutions,1001-5000,Active,https://www.altafiber.com,cbtssales@cbts.cinbell.com,+1 513 841 2287,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Professional Services, Software","Business Development, Consulting, Data Storage, Information Technology, IT Infrastructure, Unified Communications",,,,,,,,,,"Cincinnati, Ohio, United States",$500M to $1B,1994-01-01,year,,https://www.linkedin.com/company/altafiber
Nextiva,https://www.crunchbase.com/organization/nextiva,1001-5000,Active,http://www.nextiva.com,info@Nextiva.com,800-799-0600,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Enterprise Software, SaaS, Unified Communications, Video Conferencing, VoIP",48,63,Electric Communication Technique,Telecommunications,45170924,USD,45170924,,,"Scottsdale, Arizona, United States",$100M to $500M,2006-04-01,day,Goldman Sachs Asset Management,https://www.linkedin.com/company/nextiva
