Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Logitech,https://www.crunchbase.com/organization/logitech,5001-10000,Active,https://www.logitech.com/business,,+1 510-795-8500,9,10,,1,,,,,"Consumer Electronics, Gaming, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","B2B, Consumer Electronics, Gaming, Hardware, Professional Services, Software, Video Conferencing, Virtual Reality",1,1,Controlling,Scientific and electric apparatus and instruments,84022845,USD,84022845,,,"San Jose, California, United States",$10B+,1981-01-01,year,,https://www.linkedin.com/showcase/logitech-business/
Zoom,https://www.crunchbase.com/organization/zoom-video-communications,5001-10000,Active,http://zoom.us,info@zoom.us,1(888)799-9666,24,26,12,1,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Collaboration, Information Technology, Messaging, Video Conferencing",406,57,Electric Communication Technique,Scientific and technological services,,,,,,"San Jose, California, United States",$1B to $10B,2011-01-01,year,"DCVC, Emergence, Sequoia Capital, Qualcomm Ventures, Horizons Ventures",https://www.linkedin.com/company/zoom-video-communications
GoTo Meeting,https://www.crunchbase.com/organization/gotomeeting,1001-5000,Active,https://www.goto.com/meeting,press@goto.com,617-279-2443,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Developer Platform, Software, Video Conferencing",13,48,Electric Communication Technique,Scientific and technological services,100305287,USD,100305287,,,"Boston, Massachusetts, United States",$1B to $10B,2004-01-01,year,,https://www.linkedin.com/company/goto
General Communication,https://www.crunchbase.com/organization/general-communication,1001-5000,Active,https://www.gci.com/,support@gci.net,800-800-7754,3,6,1,,,,,,"Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software, Video","Internet, ISP, Mobile, Telecommunications, TV, Video Conferencing",2,7,Electric Communication Technique,Telecommunications,77342530,USD,77342530,,,"Anchorage, Alaska, United States",$500M to $1B,1979-01-01,year,"Searchlight Capital Partners, U.S. Department of Agriculture",https://www.linkedin.com/company/general-communication-inc-gci/
The Executive Centre,https://www.crunchbase.com/organization/the-executive-centre,501-1000,Active,https://www.executivecentre.com,communications@executivecentre.com,+852 3974 8888,,,,,,,,,"Events, Financial Services, Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Real Estate, Software","Coworking, Events, Real Estate, Real Estate Investment, Video Conferencing",0,2,,Advertising; business,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",$500M to $1B,1994-01-01,year,,https://www.linkedin.com/company/the-executive-centre
Nextiva,https://www.crunchbase.com/organization/nextiva,1001-5000,Active,http://www.nextiva.com,info@Nextiva.com,800-799-0600,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Enterprise Software, SaaS, Unified Communications, Video Conferencing, VoIP",48,63,Electric Communication Technique,Telecommunications,45170924,USD,45170924,,,"Scottsdale, Arizona, United States",$100M to $500M,2006-04-01,day,Goldman Sachs Asset Management,https://www.linkedin.com/company/nextiva
"Fuze, an 8x8 company",https://www.crunchbase.com/organization/fuze,1001-5000,Active,http://www.8x8.com/fuze,,877-769-0691,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Cloud Computing, Collaboration, Enterprise Software, SaaS, Video Conferencing",47,9,Electric Communication Technique,Telecommunications,60622904,USD,60622904,,,"Campbell, California, United States",$100M to $500M,2006-01-01,year,"TCV, Summit Partners, Wellington Management, TriplePoint Capital, Khosla Ventures",https://www.linkedin.com/company/8x8
ZEGOCLOUD,https://www.crunchbase.com/organization/zego-2bef,501-1000,Active,https://www.zegocloud.com,marketing@zegocloud.com,,,,,,,,,,"Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Other, Software, Video","Collaboration, Internet, Metaverse, Video, Video Conferencing",,,,,,,,,,"Singapore, Central Region, Singapore",$100M to $500M,2015-01-01,year,"Tencent, Qiming Venture Partners, IDG Capital",https://www.linkedin.com/company/zegocloud/
BlueJeans Network,https://www.crunchbase.com/organization/blue-jeans-network,501-1000,Active,http://bluejeans.com,info@bluejeans.com,(408) 550-2828,,,,,,,,,"Content and Publishing, Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software, Video","Enterprise Software, SaaS, Video Conferencing, Video Streaming",15,3,Electric Communication Technique,Scientific and electric apparatus and instruments,9821585,USD,9821585,,,"San Jose, California, United States",$100M to $500M,2009-01-01,year,"Employee Stock Option Fund, DTCP, Glynn Capital Management, Accel, New Enterprise Associates",http://www.linkedin.com/company/blue-jeans-network
Lifesize,https://www.crunchbase.com/organization/lifesize,251-500,Active,https://www.lifesize.com/,pr@lifesize.com,512-347-9300,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Collaboration, Communication Hardware, Enterprise, Software, Telecommunications, Video Conferencing",110,10,Electric Communication Technique,Scientific and electric apparatus and instruments,11553945,USD,11553945,,,"Austin, Texas, United States",$100M to $500M,2003-01-01,year,"Sutter Hill Ventures, Meritech Capital Partners, Austin Ventures, Norwest Venture Partners, Redpoint",https://www.linkedin.com/company/lifesize-communications/
