Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Netflix,https://www.crunchbase.com/organization/netflix,10001+,Active,https://www.netflix.com,,866-579-7172,4,4,,,,,,,"Content and Publishing, Media and Entertainment, Video","Digital Entertainment, Media and Entertainment, TV, Video Streaming",716,76,Electric Communication Technique,Education; entertainment,278843,USD,278843,,,"Los Gatos, California, United States",$10B+,1997-01-01,day,"TCV, WS Investments, Foundation Capital, IVP, Groupe Arnault",http://www.linkedin.com/company/netflix
InVideo,https://www.crunchbase.com/organization/invideo,101-250,Active,http://invideo.io,info@invideo.io,415-670-9803,,,,,,,,,"Advertising, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Video","Animation, Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Software, Video, Video Advertising, Video Editing",,,,,,,,,,"Singapore, Central Region, Singapore",$1M to $10M,2017-08-04,day,"Blume Ventures, Hummingbird Ventures, Omidyar Network, Titan Capital, Surge",https://www.linkedin.com/company/invideoio
VEED,https://www.crunchbase.com/organization/veed-3a95,251-500,Active,https://www.veed.io,hello@veed.io,,,,,,,,,,"Content and Publishing, Internet Services, Media and Entertainment, Video","Media and Entertainment, Social Media, Video, Video Editing",0,3,,Scientific and electric apparatus and instruments,211947,USD,211947,,,"Benfleet, Essex, United Kingdom",$1M to $10M,2018-01-01,year,"Sequoia Capital, s16vc",https://www.linkedin.com/company/veedhq
Akamai Technologies,https://www.crunchbase.com/organization/akamai-technologies,10001+,Active,https://www.akamai.com/,support@akamai.com,(877) 325-2624,24,25,4,3,On-Site,,,,"Content and Publishing, Information Technology, Media and Entertainment, Privacy and Security, Software, Video","Cyber Security, Digital Media, SaaS, Software, Video Streaming",667,24,Electric Communication Technique,Scientific and technological services,549164100,USD,549164100,,,"Cambridge, Massachusetts, United States",$1B to $10B,1998-08-01,day,"Polaris Partners, The TCW Group, Battery Ventures, CORMCO, IVP",http://www.linkedin.com/company/akamai-technologies
Colossyan,https://www.crunchbase.com/organization/colossyan,51-100,Active,https://www.colossyan.com,info@colossyan.com,,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software, Video","Artificial Intelligence (AI), Audio, Generative AI, Media and Entertainment, Software, Video, Video Editing",0,2,,Education; entertainment,,,,,,"Wilmington, Delaware, United States",$10M to $50M,2020-01-01,year,"Lakestar, APX, LAUNCHub Ventures, Day One Capital, Oktogon Ventures",https://www.linkedin.com/company/colossyan
Vimeo,https://www.crunchbase.com/organization/vimeo,1001-5000,Active,https://vimeo.com,help@vimeo.com,,,,,,,,,,"Content and Publishing, Media and Entertainment, Software, Video","File Sharing, Software, Video, Video Streaming",2,0,Electric Communication Technique,,654188,USD,654188,,,"New York, New York, United States",$100M to $500M,2004-01-01,year,"Thrive Capital, T. Rowe Price, Oberndorf Enterprises, GIC",https://www.linkedin.com/company/167813
Nielsen,https://www.crunchbase.com/organization/nielsen,10001+,Active,https://www.nielsen.com,,+1 226-663-2500,10,10,5,,,,,,"Advertising, Content and Publishing, Data and Analytics, Design, Media and Entertainment, Music and Audio, Sales and Marketing, Video","Advertising, Advertising Platforms, Analytics, Digital Media, Internet Radio, Market Research, Marketing, Test and Measurement, TV, Video Streaming","2,376",178,Electric Communication Technique,Advertising; business,271132906,USD,271132906,,,"New York, New York, United States",$1B to $10B,1963-08-10,day,,https://www.linkedin.com/company/nielsen
NTWRK,https://www.crunchbase.com/organization/ntwrk,101-250,Active,http://thentwrk.com/,,,1,1,1,,,,,,"Commerce and Shopping, Content and Publishing, Internet Services, Media and Entertainment, Video","E-Commerce, E-Commerce Platforms, Internet, Media and Entertainment, Shopping, Video Streaming",0,8,,Advertising; business,1786050,USD,1786050,,,"Los Angeles, California, United States",Less than $1M,2018-01-01,year,"Live Nation Entertainment, Kering, Goldman Sachs, LionTree, Foot Locker",https://www.linkedin.com/company/thentwrk/
Plex,https://www.crunchbase.com/organization/plex,101-250,Active,https://www.plex.tv,contact@plexapp.com,,,,,,,,,,"Apps, Content and Publishing, Media and Entertainment, Mobile, Other, Software, Video","Digital Media, Media and Entertainment, Mobile Apps, Subscription Service, Video Streaming",3,13,Electric Communication Technique,Scientific and electric apparatus and instruments,2488800,USD,2488800,,,"Los Gatos, California, United States",$1M to $10M,2009-12-03,day,"Kleiner Perkins, Klass Capital, Intercap, Patrick Peterson, Scott Banister",http://www.linkedin.com/company/plex-inc
Conviva,https://www.crunchbase.com/organization/conviva,251-500,Active,http://www.conviva.com,mherman@conviva.com,+1 650 401 8282,,,,,,,,,"Advertising, Content and Publishing, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software, Video","Advertising, Analytics, Information Technology, Marketing, Media and Entertainment, Social Media, Software, Video, Video Streaming",70,4,Electric Communication Technique,Scientific and technological services,9263400,USD,9263400,,,"Foster City, California, United States",$10M to $50M,2006-01-01,year,"Notable Capital, Pelion Venture Partners, New Enterprise Associates, Future Fund, Foundation Capital",http://www.linkedin.com/company/conviva
Mux,https://www.crunchbase.com/organization/mux-2,51-100,Active,https://mux.com,info@mux.com,510-402-2257,,,,,,,,,"Content and Publishing, Data and Analytics, Media and Entertainment, Software, Video","Analytics, Developer APIs, Developer Tools, Video, Video Streaming",15,2,Electric Communication Technique,Scientific and technological services,2593200,USD,2593200,,,"San Francisco, California, United States",$10M to $50M,2015-01-01,year,"UpHonest Capital, Dragoneer Investment Group, Haystack, CSC Upshot, 7percent Ventures",https://www.linkedin.com/company/mux
Vinivia AG,https://www.crunchbase.com/organization/vinivia-ag,51-100,Active,https://www.vinivia.com,info@vinivia.com,+41415527200,,,,,,,,,"Commerce and Shopping, Content and Publishing, Hardware, Internet Services, Media and Entertainment, Software, Video","Augmented Reality, E-Commerce, Social Media, Software, Video Streaming",0,1,,Scientific and electric apparatus and instruments,2132964,USD,2132964,,,"Zug, Zug, Switzerland",$10M to $50M,2020-02-01,month,Dariush Soudi,https://www.linkedin.com/company/vinivia/
