Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Volume,https://www.crunchbase.com/organization/volume-3,101-250,Active,https://volume.ai,hello@volume.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Hardware, Software","Corporate Training, E-Learning, Natural Language Processing, Virtual Assistant, Virtual Reality",,,,,2143375,USD,2143375,,,"Wokingham, Wokingham, United Kingdom",$1B to $10B,1997-01-01,year,,https://www.linkedin.com/company/volume/
Munson Medical Center,https://www.crunchbase.com/organization/munson-medical-center,5001-10000,Active,https://www.munsonhealthcare.org,contact@mhc.net,+1 231 935 5000,,,,,,,,,"Health Care, Software","Health Care, Medical, Virtual Assistant",,,,,,,,,,"Miusinsk, Luhans'ka Oblast', Ukraine",$1B to $10B,1915-01-01,year,,https://www.linkedin.com/company/munsonhealthcare
Interactions,https://www.crunchbase.com/organization/interactions,501-1000,Active,http://www.interactions.com,contact@interactions.com,(866) 637-9049,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Customer Service, Enterprise Software, Information Services, Information Technology, Machine Learning, Natural Language Processing, Software, Speech Recognition, Virtual Assistant",4,3,Musical Instruments; Acoustics,Scientific and technological services,17554428,USD,17554428,,,"Franklin, Massachusetts, United States",$100M to $500M,2004-01-01,year,"NewSpring, Comcast Ventures, Updata Partners, Sigma Partners, Revolution Growth",http://www.linkedin.com/company/interactions-corporation
Cogneesol Inc.,https://www.crunchbase.com/organization/cogneesol,1001-5000,Active,https://www.cogneesol.com/,info@cogneesol.com,(646)688-2821,,,,,,,,,"Data and Analytics, Education, Information Technology, Professional Services, Real Estate, Sales and Marketing, Software, Transportation, Travel and Tourism","Analytics, Construction, Contact Management, Digital Marketing, Education, Hospitality, Information Technology, Legal Tech, Logistics, Virtual Assistant",,,,,3960747,USD,3960747,,,"New York, New York, United States",$100M to $500M,2008-04-13,day,,http://www.linkedin.com/company/cogneesol
Asitur,https://www.crunchbase.com/organization/asitur,1001-5000,Active,http://www.asitur.es,recepcion@asitur.es,+34 91 393 90 09,,,,,,,,,"Financial Services, Software, Travel and Tourism","Insurance, Travel, Virtual Assistant",,,,,25584905,USD,25584905,,,"Madrid, Madrid, Spain",$100M to $500M,1982-01-01,year,,https://www.linkedin.com/company/asitur/
B-Connect,https://www.crunchbase.com/organization/b-connect,251-500,Active,https://bconnect.com,,52 55 3334 7863,,,,,,,,,"Other, Professional Services, Sales and Marketing, Software","Customer Service, Email Marketing, Marketing, Professional Services, Virtual Assistant",,,,,,,,,,"Granjas México, Distrito Federal, Mexico",$100M to $500M,1995-01-01,year,,https://www.linkedin.com/company/b-connect
Boldly,https://www.crunchbase.com/organization/boldly,101-250,Active,https://boldly.com,hello@boldly.com,800 456 0633,,,,,,,,,"Administrative Services, Other, Software","Professional Services, Staffing Agency, Virtual Assistant",,,,,6369732,USD,6369732,,,"New York, New York, United States",$50M to $100M,2012-04-23,day,,https://www.linkedin.com/company/workboldly
Infognana Solutions,https://www.crunchbase.com/organization/infognana-solutions,251-500,Active,https://www.infognana.com/,sales@infognana.com,+1 (972) 635-3497,,,,,,,,,"Apps, Commerce and Shopping, Information Technology, Mobile, Software","Document Management, E-Commerce, Mobile Apps, Software, Virtual Assistant",,,,,,,,,,"Coimbatore, Tamil Nadu, India",$50M to $100M,2000-06-05,day,,https://www.linkedin.com/company/infognana-ig-solutions
Kora.ai,https://www.crunchbase.com/organization/kora-ai,251-500,Active,https://kora.ai/,social@kora.ai,321-420-0990,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Information Technology, IT Management, Software, Virtual Assistant, Virtual Workforce",,,,,,,,,,"Orlando, Florida, United States",$50M to $100M,2020-04-01,month,,https://www.linkedin.com/company/koratheeva
DialedIn,https://www.crunchbase.com/organization/chasedata,11-50,Active,https://getdialedin.com/,sales@getdialedin.com,1(888)739-8218,,,,,,,,,"Administrative Services, Hardware, Information Technology, Software","Call Center, Information Technology, Telecommunications, Virtual Assistant",0,3,,Scientific and electric apparatus and instruments,206243,USD,206243,,,"Plantation, Florida, United States",$50M to $100M,1996-01-01,year,,https://www.linkedin.com/company/getdialedin/
JH Virtual Assistant,https://www.crunchbase.com/organization/jh-virtual-assistant,1-10,Active,http://jhvirtualassistant.co.uk/,info@jhvirtualassistant.co.uk,01383 231 599,,,,,,,,,"Professional Services, Software","Recruiting, Virtual Assistant",,,,,48041,USD,48041,,,"Dunfermline, Fife, United Kingdom",$50M to $100M,2013-01-01,day,,https://www.linkedin.com/company/jh-virtual-assistant
