Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
NVIDIA,https://www.crunchbase.com/organization/nvidia,10001+,Active,https://www.nvidia.com,info@nvidia.com,+1 (140) 848-6200,64,77,19,7,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), GPU, Hardware, Software, Virtual Reality","4,907",284,Computing; Calculating,Scientific and electric apparatus and instruments,2081257545,USD,2081257545,,,"Santa Clara, California, United States",$10B+,1993-01-01,year,"Sequoia Capital, TriplePoint Capital, ARK Investment Management, DARPA, ARPA-E",https://www.linkedin.com/company/nvidia
Meta,https://www.crunchbase.com/organization/facebook,10001+,Active,https://meta.com,,,50,55,27,7,,,,,"Hardware, Internet Services, Media and Entertainment, Software","Augmented Reality, Metaverse, Social Media, Social Network, Virtual Reality","12,285",467,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Menlo Park, California, United States",$10B+,2004-02-04,day,"PayPal, TCV, Horizons Ventures, Meritech Capital Partners, Peter Thiel",https://www.linkedin.com/company/meta
DIGITAL HEARTS HOLDINGS,https://www.crunchbase.com/organization/hearts-united-group,1001-5000,Active,https://en.digitalhearts-hd.com,,81 3-3373-0082,1,1,,,,,,,"Hardware, Other, Software","Consumer, Enterprise Software, Software, Virtual Reality",,,,,,,,,,"Tokyo, Tokyo, Japan",$10B+,2013-10-01,month,Whiz Partners,
Logitech,https://www.crunchbase.com/organization/logitech,5001-10000,Active,https://www.logitech.com/business,,+1 510-795-8500,9,10,,1,,,,,"Consumer Electronics, Gaming, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","B2B, Consumer Electronics, Gaming, Hardware, Professional Services, Software, Video Conferencing, Virtual Reality",1,1,Controlling,Scientific and electric apparatus and instruments,84022845,USD,84022845,,,"San Jose, California, United States",$10B+,1981-01-01,year,,https://www.linkedin.com/showcase/logitech-business/
Expeditor Systems,https://www.crunchbase.com/organization/expeditor-systems,51-100,Active,http://expeditor.com,,800.843.9651,,,,,,,,,"Consumer Electronics, Hardware, Health Care, Software","Electronics, Health Care, Virtual Reality, Wearables",,,,,,,,,,"Atlanta, Georgia, United States",$10B+,1982-01-01,year,,https://www.linkedin.com/company/expeditor-systems-inc.
Discovery New York,https://www.crunchbase.com/organization/discovery-inc-f772,10001+,Closed,https://corporate.discovery.com,dplus_escalations@discovery.com,,,,,,,,,,"Hardware, Media and Entertainment, Software","Digital Media, Media and Entertainment, Virtual Reality",,,,,,,,,,"New York, New York, United States",$10B+,1985-01-01,day,,https://www.linkedin.com/company/discoveryinc/
Unity,https://www.crunchbase.com/organization/unity-technologies,5001-10000,Active,https://unity.com,info@unity3d.com,+1 (415) 539-3162,2,2,1,,,,,,"Apps, Hardware, Media and Entertainment, Mobile, Software","Augmented Reality, Developer Platform, Metaverse, Mobile Apps, Virtual Reality",,,,,126083,USD,126083,,,"San Francisco, California, United States",$1B to $10B,2004-08-02,day,"Silver Lake, Thrive Capital, Sequoia Capital, DFJ Growth, Canada Pension Plan Investment Board",http://www.linkedin.com/company/unity-technologies
Volume,https://www.crunchbase.com/organization/volume-3,101-250,Active,https://volume.ai,hello@volume.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Hardware, Software","Corporate Training, E-Learning, Natural Language Processing, Virtual Assistant, Virtual Reality",,,,,2143375,USD,2143375,,,"Wokingham, Wokingham, United Kingdom",$1B to $10B,1997-01-01,year,,https://www.linkedin.com/company/volume/
COVER Corporation,https://www.crunchbase.com/organization/cover-corporation,251-500,Active,http://cover-corp.com,,,,,,,,,,,"Consumer Electronics, Content and Publishing, Gaming, Hardware, Media and Entertainment, Software, Video","Content, Gaming, Software, Video Editing, Virtual Reality, Wearables",2,26,Sports; Games; Amusements,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$1B to $10B,2016-06-13,day,"Mizuho Bank, SMBC Venture Capital, Mizuho Capital, STRIVE, VIVE X",https://www.linkedin.com/company/cover-corp
Dassault Systemes,https://www.crunchbase.com/organization/dassault,10001+,Active,http://www.3ds.com,info@dascce.de,+33 (0)1 6162 6162,8,11,5,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Manufacturing, Science and Engineering, Software","3D Technology, Analytics, Apps, Artificial Intelligence (AI), Big Data, Information Technology, Manufacturing, Product Design, Software, Virtual Reality",0,10,,Scientific and electric apparatus and instruments,,,,,,"Vélizy-villacoublay, Ile-de-France, France",$1B to $10B,1981-01-01,year,,http://www.linkedin.com/company/dassaultsystemes
