Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
VMware,https://www.crunchbase.com/organization/vmware,10001+,Active,https://www.vmware.com,ethicsandcompliance@vmware.com,+1 877 486 9273,22,33,3,9,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, Cloud Management, Enterprise Software, Information Technology, Private Cloud, Virtualization","6,704",109,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Palo Alto, California, United States",$10B+,1998-01-01,year,"Intel, Cisco, Dell, Goldman Sachs, Veritas Technologies",http://www.linkedin.com/company/vmware
Arrow Electronics,https://www.crunchbase.com/organization/arrow-electronics,10001+,Active,https://www.arrow.com/,investor@arrow.com,+1 303 824 4000,2,2,1,2,,,,,"Consumer Electronics, Energy, Hardware, Information Technology, Manufacturing, Other, Professional Services, Software","Consulting, Electrical Distribution, Electronics, Hardware, Manufacturing, Professional Services, Service Industry, Software, Technical Support, Virtualization",5,90,Computing; Calculating,Scientific and technological services,,,,,,"Centennial, Colorado, United States",$10B+,1935-01-01,year,,http://www.linkedin.com/company/arrow-electronics
Dell EMC,https://www.crunchbase.com/organization/emc,10001+,Active,https://www.dellemc.com,edservices_cma_apj@emc.com,1-866-438-3622,25,29,6,2,,,,,"Hardware, Information Technology, Internet Services, Other, Privacy and Security, Software","Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Collaboration, Data Storage, IT Infrastructure, Software, Virtualization",619,67,Computing; Calculating,Scientific and electric apparatus and instruments,146032,USD,146032,,,"Hopkinton, Massachusetts, United States",$10B+,1979-01-01,year,,https://www.linkedin.com/company/dellemc
Nutanix,https://www.crunchbase.com/organization/nutanix,5001-10000,Active,http://www.nutanix.com,info@nutanix.com,+1 408-216-8360,,,,,,,,,"Hardware, Information Technology, Software","Data Center, Enterprise Software, Information Technology, Software, Virtualization",508,49,Computing; Calculating,Scientific and technological services,,,,,,"San Jose, California, United States",$1B to $10B,2009-09-01,month,"Fidelity, Employee Stock Option Fund, Wellington Management, EquityZen, Goldman Sachs",http://www.linkedin.com/company/nutanix
AHEAD,https://www.crunchbase.com/organization/ahead-2,1001-5000,Active,https://www.ahead.com,marketing@thinkahead.com,+1 888 992-4323,,,,,,,,,"Administrative Services, Hardware, Information Technology, Internet Services, Software","Cloud Computing, Information Technology, Software, Staffing Agency, Virtualization",,,,,154315826,USD,154315826,,,"Chicago, Illinois, United States",$1B to $10B,2007-01-01,year,,http://www.linkedin.com/company/ahead_2
F5,https://www.crunchbase.com/organization/f5-networks,5001-10000,Active,https://www.f5.com,info@f5.com,1(888) 882-7535,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","Consumer Electronics, SaaS, Security, Virtualization",319,10,Electric Communication Technique,Scientific and electric apparatus and instruments,209030277,USD,209030277,,,"Seattle, Washington, United States",$1B to $10B,1996-02-01,day,"Elliott Investment Management, Ridge Ventures",https://www.linkedin.com/company/f5
Citrix,https://www.crunchbase.com/organization/citrix-systems,5001-10000,Active,https://www.citrix.com/,secure@citrix.com,408 790 8000,28,33,5,3,,,,1,"Hardware, Information Technology, Software","Enterprise Software, SaaS, Software, Virtualization","3,434",115,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Fort Lauderdale, Florida, United States",$1B to $10B,1989-01-01,year,"Kleiner Perkins, Mayfield Fund",https://www.linkedin.com/company/citrix
ConvergeOne,https://www.crunchbase.com/organization/convergeone,1001-5000,Active,https://www.convergeone.com/,ContactUs@converge-one.com,888-321-6227,,,,,,,,,"Hardware, Information Technology, Software","Data Center, Enterprise Software, Virtualization",0,12,Computing; Calculating,Scientific and technological services,57095467,USD,57095467,,,"Eagan, Minnesota, United States",$1B to $10B,1993-01-01,year,Clearlake Capital Group,https://www.linkedin.com/company/converge-one
Trend Micro,https://www.crunchbase.com/organization/trend-micro,5001-10000,Active,http://www.trendmicro.com,media_relations@trendmicro.com,+1 (817) 522-7911,4,4,1,,,,,,"Hardware, Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Security, Virtualization",618,2,Computing; Calculating,Scientific and technological services,,,,,,"Tokyo, Tokyo, Japan",$1B to $10B,1988-01-01,year,,http://www.linkedin.com/company/trend-micro
CA Technologies,https://www.crunchbase.com/organization/ca,10001+,Closed,http://www.ca.com,cainfo@ca.com,(800)225-5224,2,2,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Enterprise Software, Information Technology, Software, Virtualization",,,,,3918002,USD,3918002,,,"New York, New York, United States",$1B to $10B,1976-01-01,year,,http://www.linkedin.com/company/ca-technologies
Mitel Networks Corporation,https://www.crunchbase.com/organization/mitel-networks-corporation,1001-5000,Active,http://www.mitel.com,,(613) 592-2122,1,1,1,,,,,,"Hardware, Information Technology, Internet Services, Media and Entertainment, Other, Sales and Marketing, Software, Video","Broadcasting, Cloud Infrastructure, Collaboration, Public Relations, Software, Telecommunications, Virtualization",367,31,Electric Communication Technique,Scientific and electric apparatus and instruments,144122550,USD,144122550,,,"Ottawa, Ontario, Canada",$1B to $10B,1973-01-01,year,,http://www.linkedin.com/company/mitel
Veeam Software,https://www.crunchbase.com/organization/veeam-software,1001-5000,Active,http://www.veeam.com,veeam_team@veeam.com,800-691-1991,1,1,1,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, Data Center, Data Management, Enterprise Software, Software, Virtualization",7,5,Computing; Calculating,Scientific and electric apparatus and instruments,108021078,USD,108021078,,,"Columbus, Ohio, United States",$500M to $1B,2006-01-01,year,"Canada Pension Plan Investment Board, Insight Partners",https://www.linkedin.com/company/veeam-software/
NETSCOUT Systems,https://www.crunchbase.com/organization/netscout-systems,501-1000,Active,http://www.netscout.com,support@netscout.com,(978) 614-4000,,,,,,,,,"Hardware, Information Technology, Privacy and Security, Software","Cyber Security, Network Security, Virtualization",165,39,Electric Communication Technique,Scientific and electric apparatus and instruments,137175000,USD,137175000,,,"Westford, Massachusetts, United States",$500M to $1B,1984-01-01,year,"TA Associates, Greylock, Egan-Managed Capital",http://www.linkedin.com/company/netscout-systems
DigitalOcean,https://www.crunchbase.com/organization/digitalocean,1001-5000,Active,http://www.digitalocean.com,contact@digitalocean.com,212-226-2794,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, DevOps, SaaS, Virtualization, Web Hosting",2,15,Computing; Calculating,Scientific and technological services,50157350,USD,50157350,,,"New York, New York, United States",$100M to $500M,2012-01-01,year,"Techstars, Trinity Capital, Employee Stock Option Fund, Opus Bank, Andreessen Horowitz",http://www.linkedin.com/company/digitalocean
Zerto,https://www.crunchbase.com/organization/zerto,501-1000,Active,http://www.zerto.com,info@zerto.com,800-687-9259,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Software","Computer, Enterprise Software, Private Cloud, SaaS, Software, Virtualization",,,,,8492540,USD,8492540,,,"Boston, Massachusetts, United States",$100M to $500M,2009-01-01,year,"83North, U.S. Venture Partners, Vintage Investment Partners, Kreos Capital, Harmony Partners",http://www.linkedin.com/company/zerto
A10 Networks,https://www.crunchbase.com/organization/a10-networks,501-1000,Active,http://www.a10networks.com,inquire@a10networks.com,408-325-8668,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Sales and Marketing, Software","Cloud Computing, Hardware, Security, SEO, Virtualization, Web Hosting",240,41,Electric Communication Technique,Scientific and electric apparatus and instruments,19292719,USD,19292719,,,"San Jose, California, United States",$100M to $500M,2004-10-01,day,"Summit Partners, JP Morgan, Mitsui & Co, RBC Capital Markets, Silicon Valley Bank",http://www.linkedin.com/company/a10networks
