Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Lumen Technologies,https://www.crunchbase.com/organization/centurylink,10001+,Active,https://news.lumen.com/home,media@lumen.com,(186) 664-2044,4,4,1,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Privacy and Security","Big Data, Information Services, Infrastructure, Optical Communication, Security, Telecommunications, VoIP, Wireless",188,79,Electric Communication Technique,Telecommunications,1424268045,USD,1424268045,,,"Monroe, Louisiana, United States",$10B+,1968-01-01,day,,https://www.linkedin.com/company/lumentechnologies
Ingram Micro,https://www.crunchbase.com/organization/ingram-micro,10001+,Active,https://corp.ingrammicro.com,investor.relations@ingrammicro.com,(714)566-1000,4,5,1,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Professional Services, Software, Transportation","Consulting, Electronics, Information Services, Information Technology, Logistics, Software, Supply Chain Management, VoIP",36,38,Computing; Calculating,Scientific and electric apparatus and instruments,391962198,USD,391962198,,,"Irvine, California, United States",$10B+,1979-01-01,year,,https://www.linkedin.com/company/ingram-micro/
RingCentral,https://www.crunchbase.com/organization/ringcentral,1001-5000,Active,https://www.ringcentral.com,partners@ringcentral.com,(888)528-7464,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Cloud Computing, Collaboration, Enterprise Software, Meeting Software, SaaS, VoIP",599,85,Electric Communication Technique,Telecommunications,,,,,,"Belmont, California, United States",$1B to $10B,2003-01-01,year,"Cisco, Sequoia Capital, Scale Venture Partners, TriplePoint Capital, Khosla Ventures",http://www.linkedin.com/company/ringcentral
Element,https://www.crunchbase.com/organization/new-vector-im,101-250,Active,https://element.io,contact@vector.im,,,,,,,,,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Apps, Commercial, Communications Infrastructure, Information Technology, Software, VoIP",0,2,,Scientific and electric apparatus and instruments,450836,USD,450836,,,"London, England, United Kingdom",$1B to $10B,2017-07-19,day,"Automattic, Status.im, Protocol Labs, Notion Capital, Dawn Capital",https://www.linkedin.com/company/element-hq
Intrado,https://www.crunchbase.com/organization/intrado,10001+,Active,https://www.intrado.com/,info@intrado.com,720-494-5800,,,,,,,,,"Consumer Electronics, Government and Military, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Software","Communications Infrastructure, Consumer Electronics, Information Technology, Network Security, Public Safety, Telecommunications, Virtual Reality, VoIP",5,0,Electric Communication Technique,,145864257,USD,145864257,,,"Longmont, Colorado, United States",$1B to $10B,1979-01-01,year,Boston Millennia Partners,https://www.linkedin.com/company/intrado-corp
Calix,https://www.crunchbase.com/organization/calix,1001-5000,Active,http://www.calix.com,info@calix.com,408-514-3000,1,1,1,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Analytics, Information Technology, Infrastructure, Internet, Software, Telecommunications, VoIP",96,25,Electric Communication Technique,Scientific and electric apparatus and instruments,66959720,USD,66959720,,,"San Jose, California, United States",$1B to $10B,1999-01-01,year,"Meritech Capital Partners, Western Technology Investment, Azure Capital Partners, Foundation Capital, Silicon Valley Bank",http://www.linkedin.com/company/calix
KPN,https://www.crunchbase.com/organization/kpn,10001+,Active,http://www.kpn.com,,(070) 343 43 43,2,2,1,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Internet, Mobile, Telecommunications, VoIP",559,124,Electric Communication Technique,Telecommunications,,,,,,"Rotterdam, Zuid-Holland, The Netherlands",$1B to $10B,1989-01-01,year,,http://www.linkedin.com/company/kpn
XO Communications,https://www.crunchbase.com/organization/xo-communications,1001-5000,Closed,http://www.xo.com,,(214) 291-5157,1,1,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Telecommunications, VoIP, Web Hosting",0,6,,Scientific and electric apparatus and instruments,33316366,USD,33316366,,,"Herndon, Virginia, United States",$1B to $10B,1994-01-01,year,,http://www.linkedin.com/company/xo-communications
XL Axiata Tbk,https://www.crunchbase.com/organization/xl-axiata-tbk,1001-5000,Active,http://www.xl.co.id/,customerservice@xl.co.id,(021) 576-1881,2,3,1,,,,,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Mobile, Mobile Apps, Telecommunications, VoIP, Wireless",,,,,,,,,,"Jakarta, Jakarta Raya, Indonesia",$1B to $10B,1996-10-08,day,,http://www.linkedin.com/company/pt.-xl-axiata-tbk
Yoji,https://www.crunchbase.com/organization/yoji,1001-5000,Active,https://www.yoji.com,info@yoji.com,+1 888 965 4889,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Internet, Telecommunications, VoIP",,,,,143339,USD,143339,,,"Los Angeles, California, United States",$1B to $10B,2009-01-01,year,,https://www.linkedin.com/company/yoji/
BICS,https://www.crunchbase.com/organization/bics,501-1000,Active,http://bics.com,bics-com@bics.com,(322)547-5210,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Telecommunications, VoIP",,,,,,,,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",$1B to $10B,1996-01-01,year,,https://www.linkedin.com/company/bicstelecom/
Radius Connect,https://www.crunchbase.com/organization/radius-connect,251-500,Active,https://www.radiusconnectsolutions.com/,info@pure-telecom.co.uk,+44 174-324-4933,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Data Integration, Telecommunications, VoIP, Wireless",,,,,,,,,,"Belfast, Belfast, United Kingdom",$1B to $10B,1990-01-01,year,,https://www.linkedin.com/company/radius-connect-uk/
Jupiter Global Holdings,https://www.crunchbase.com/organization/jupiter-global-holdings,51-100,Active,,,604-682-6541,,,,,,,,,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","Media and Entertainment, VoIP",,,,,,,,,,"Vancouver, British Columbia, Canada",$1B to $10B,1997-01-29,day,,
8x8,https://www.crunchbase.com/organization/8x8-inc,501-1000,Active,https://www.8x8.com,,(866) 879-8647,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Information Technology, SaaS, Software, Telecommunications, Virtual Reality, VoIP",326,62,Electric Communication Technique,Telecommunications,60627957,USD,60627957,,,"Campbell, California, United States",$500M to $1B,1987-01-01,year,,http://www.linkedin.com/company/8x8
Inteliquent,https://www.crunchbase.com/organization/inteliquent,501-1000,Active,http://www.inteliquent.com,info@inteliquent.com,855-404-4768,1,1,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Communications Infrastructure, IaaS, PaaS, Telecommunications, VoIP, Wireless",10,5,Electric Communication Technique,Telecommunications,19804318,USD,19804318,,,"Chicago, Illinois, United States",$500M to $1B,1997-01-01,year,"DCM Ventures, GTCR, Greenspring Associates, New Enterprise Associates, Wasatch Advisors",http://www.linkedin.com/company/inteliquent
Alpha Networks,https://www.crunchbase.com/organization/alpha-networks,1001-5000,Active,http://www.alphanetworks.com/,,886 3 563 6666,,,,,,,,,"Hardware, Information Technology, Internet Services, Manufacturing, Messaging and Telecommunications","Manufacturing, Network Hardware, VoIP",,,,,70750874,USD,70750874,,,"Hsinchu, T'ai-wan, Taiwan",$500M to $1B,2003-09-01,month,CID Group,https://www.linkedin.com/company/alpha-networks-inc
Tadiran Telecom,https://www.crunchbase.com/organization/tadiran-telecom,101-250,Active,http://www.tadirantele.com,info@tadirantele.com,(972) 392-6200,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Software, Telecommunications, VoIP",0,1,,Scientific and electric apparatus and instruments,,,,,,"Petah Tiqwa, HaMerkaz, Israel",$500M to $1B,1963-01-01,year,,https://www.linkedin.com/company/tadiran-telecom
BCA,https://www.crunchbase.com/organization/bca-2db2,1001-5000,Active,http://www.bca.com,khenao@bcainc.com,+1-305-716-1011,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Software","Cloud Computing, Cyber Security, Information Technology, VoIP",,,,,1111228,USD,1111228,,,"Doral, Florida, United States",$500M to $1B,1990-01-01,year,,https://www.linkedin.com/company/business-computer-associates-inc--bca-inc--/
Charge Communication,https://www.crunchbase.com/organization/charge,1-10,Active,https://charge.co/,hello@charge.co,,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Platforms, Software","Android, iOS, Messaging, Mobile, Telecommunications, VoIP",,,,,123375,USD,123375,,,"San Francisco, California, United States",$500M to $1B,2013-05-01,day,,https://www.linkedin.com/company/3669727
Halotel,https://www.crunchbase.com/organization/halotel,501-1000,Active,https://www.halotel.co.tz/,,+255 620 100 100,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Telecommunications, VoIP, Wired Telecommunications, Wireless",,,,,,,,,,"Dar Es Salaam, Dar es Salaam, Tanzania",$500M to $1B,2015-10-15,day,,https://www.linkedin.com/company/haloteltanzania
Quadrant 4,https://www.crunchbase.com/organization/quadrant-4,1-10,Active,https://www.quadrant4.net,,44(0)29 2060 6250,,,,,,,,,"Education, Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Telecommunications, Training, VoIP",,,,,,,,,,"Senghenydd, Caerphilly, United Kingdom",$500M to $1B,2015-01-01,year,,https://www.linkedin.com/company/quadrant-4/
