Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Elementor,https://www.crunchbase.com/organization/elementor,251-500,Active,https://elementor.com,,,,,,,,,,,"Apps, Design, Internet Services, Other, Software","Developer Tools, Internet, Small and Medium Businesses, Web Apps, Web Design, Web Development",,,,,,,,,,"Tel Aviv, Tel Aviv, Israel",$50M to $100M,2015-01-01,year,"Lightspeed Venture Partners, O.G. Venture Partners, Globis Capital (NY)",https://www.linkedin.com/company/elementor/
Edge Impulse,https://www.crunchbase.com/organization/edge-impulse,51-100,Active,https://www.edgeimpulse.com,hello@edgeimpulse.com,,,,,,,,,,"Apps, Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Software","Computer, Machine Learning, Web Apps",0,3,,Scientific and electric apparatus and instruments,1462500,USD,1462500,,,"San Jose, California, United States",$1M to $10M,2019-06-01,day,"Fika Ventures, Acrew Capital, Momenta, Knollwood Investment Advisory, Coatue",https://www.linkedin.com/company/edgeimpulse
Jungle Scout,https://www.crunchbase.com/organization/jungle-scout,101-250,Active,https://www.junglescout.com,support@junglescout.com,,,,,,,,,,"Apps, Commerce and Shopping, Internet Services, Software","E-Commerce, Marketplace, Search Engine, Software, Web Apps",0,7,,Scientific and technological services,10951353,USD,10951353,,,"Austin, Texas, United States",$10M to $50M,2015-02-01,month,"Summit Partners, Greg Mercer",https://www.linkedin.com/company/junglescout
Fathom,https://www.crunchbase.com/organization/fathom-video,51-100,Active,https://fathom.video/,,,,,,,,,,,"Apps, Media and Entertainment, Messaging and Telecommunications, Software, Video","Meeting Software, Software, Video, Web Apps",,,,,391222,USD,391222,,,"San Francisco, California, United States",,2020-01-01,year,"Zoom, Soma Capital, Y Combinator, Maven Ventures, Pario Ventures",https://www.linkedin.com/company/fathom-video/
Poka,https://www.crunchbase.com/organization/poka-inc,101-250,Active,https://www.poka.io,info@poka.io,844-310-7652,,,,,,,,,"Apps, Education, Information Technology, Internet Services, Manufacturing, Mobile, Software","Cloud Data Services, Developer APIs, Industrial, Manufacturing, Mobile Apps, Skill Assessment, Software, Training, Web Apps",0,6,,Scientific and technological services,3308400,USD,3308400,,,"Quebec, Quebec, Canada",$10M to $50M,2014-05-01,day,"Inovia Capital, SE Ventures, Bosch Ventures, 40 North Ventures, Garage Technology Ventures",http://www.linkedin.com/company/poka-inc-
Abstract,https://www.crunchbase.com/organization/abstract,51-100,Active,https://www.abstract.com/,info@goabstract.com,(415) 857-1593,4,6,,,,,,,"Apps, Design, Software","Apps, Product Design, Software, UX Design, Web Apps",0,3,,Scientific and electric apparatus and instruments,999426,USD,999426,,,"San Francisco, California, United States",$10M to $50M,2015-01-01,year,"Cowboy Ventures, Scale Venture Partners, Lightspeed Venture Partners, Version One Ventures, Designer Fund",https://www.linkedin.com/company/abstract-app/
Stonly,https://www.crunchbase.com/organization/stonly,51-100,Active,https://stonly.com,contact@stonly.com,,,,,,,,,,"Administrative Services, Apps, Information Technology, Internet Services, Other, Sales and Marketing, Software","Internet, Knowledge Management, SaaS, Sales, Software, Technical Support, Web Apps",,,,,928908,USD,928908,,,"Levallois, Ile-de-France, France",$10M to $50M,2018-07-18,day,"Accel, Thibaud Elziere, Eduardo Ronzano, Northzone, Renaud Visage",https://www.linkedin.com/company/stonly/
ServiceTrade,https://www.crunchbase.com/organization/servicetrade,51-100,Active,http://servicetrade.com,hello@servicetrade.com,919-246-9900,,,,,,,,,"Apps, Commerce and Shopping, Mobile, Software","E-Commerce, Enterprise Software, Mobile, Web Apps",,,,,1944920,USD,1944920,,,"Durham, North Carolina, United States",$1M to $10M,2012-01-01,year,"JMI Equity, Frontier Growth, Bull City Venture Partners",http://www.linkedin.com/company/servicetrade
Signal Sciences,https://www.crunchbase.com/organization/signal-sciences,101-250,Active,https://www.signalsciences.com/,info@signalsciences.com,+1 424-404-1139,1,1,,,,,,,"Apps, Information Technology, Privacy and Security, Software","Cyber Security, DevOps, Information Technology, SaaS, Security, Software, Web Apps",,,,,2412651,USD,2412651,,,"Culver City, California, United States",$1M to $10M,2014-03-10,day,"Lead Edge Capital, Harrison Metal, Index Ventures, Oreilly AlphaTech Ventures, CRV",http://www.linkedin.com/company/signal-sciences
Packhelp,https://www.crunchbase.com/organization/packhelp,101-250,Active,https://packhelp.com,hello@packhelp.com,,,,,,,,,,"Administrative Services, Apps, Commerce and Shopping, Internet Services, Software","E-Commerce, E-Commerce Platforms, Packaging Services, Software, Web Apps",0,7,,Scientific and electric apparatus and instruments,821307,USD,821307,,,"Warsaw, Mazowieckie, Poland",$10M to $50M,2015-04-01,month,"European Investment Bank, White Star Capital, Inovo VC, InfraVia Capital Partners, PROfounders Capital",https://www.linkedin.com/company/packhelp/
