Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
City of Dallas,https://www.crunchbase.com/organization/city-of-dallas,10001+,Active,http://dallascityhall.com,scs@dallascityhall.com,2146706897,,,,,,,,,"Government and Military, Information Technology, Internet Services, Software","Government, Information Services, Web Browsers",,,,,295932,USD,295932,,,"Dallas, Texas, United States",$1B to $10B,1841-01-01,year,,https://www.linkedin.com/company/12685
Companion Dog Advisor,https://www.crunchbase.com/organization/companion-dog-advisor,,Active,https://companiondogadvisor.wordpress.com,,,,,,,,,,,"Community and Lifestyle, Internet Services, Media and Entertainment, Software","Content, Pet, Web Browsers",,,,,,,,,,"San Francisco, California, United States",$1B to $10B,1985-01-01,year,,https://www.linkedin.com/company/studio-dentistico
MIT Entrepreneurship Review,https://www.crunchbase.com/organization/mit-entrepreneurship-review,5001-10000,Active,http://miter.mit.edu/,einsteinedison@mit.edu,,,,,,,,,,"Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Software","Analytics, Publishing, Web Browsers",,,,,,,,,,"Cambridge, Massachusetts, United States",$1B to $10B,1861-01-01,year,,https://www.linkedin.com/company/mit
Taobao Movie,https://www.crunchbase.com/organization/taobao-movie,501-1000,Active,https://dianying.taobao.com/,,,,,,,,,,,"Commerce and Shopping, Events, Internet Services, Media and Entertainment, Software, Video","E-Commerce, Film, Ticketing, Web Browsers",,,,,,,,,,"Hangzhou, Zhejiang, China",$500M to $1B,2014-01-01,year,"Ant Group, Bona Film Group, CDH Investments, SINA Corporation, Huace Film & TV",https://www.linkedin.com/company/taobao-marketplace
Hunter,https://www.crunchbase.com/organization/email-hunter,1-10,Active,https://hunter.io,contact@hunter.io,+33176440373,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Software","Email, Social Network, Web Browsers",,,,,,,,,,"Paris, Ile-de-France, France",$500M to $1B,2015-03-28,day,,https://www.linkedin.com/company/hunterio/
UCWeb,https://www.crunchbase.com/organization/ucweb,1001-5000,Closed,https://www.uc.cn/,ruthlesskp3@gmail.com,+917006313186,6,6,1,,,,,,"Apps, Internet Services, Mobile, Software","Apps, Internet, Mobile Apps, Software, Web Browsers",,,,,,,,,,"Guangzhou, Guangdong, China",$500M to $1B,2004-01-01,year,"NGP Capital, Morningside Group, GGV Capital",https://www.linkedin.com/company/uc-mobile-ltd-/about/
Opera,https://www.crunchbase.com/organization/opera-software-as,501-1000,Active,https://www.opera.com,,+472 369 2400,2,2,1,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Design, Financial Services, Internet Services, Mobile, Payments, Platforms, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), iOS, Marketing, Mobile Apps, Mobile Payments, Software, Web Browsers, Web Design",,,,,,,,,,"Oslo, Oslo, Norway",$100M to $500M,1995-01-01,year,,https://www.linkedin.com/company/opera-software
Amazon Wholesale India,https://www.crunchbase.com/organization/amazon-wholesale-india,10001+,Active,https://www.amazon.in,961.8857.279@amazon.in,961.8857.279,,,,,,,,,"Commerce and Shopping, Internet Services, Other, Professional Services, Software","B2B, Business Development, E-Commerce, Web Browsers",,,,,,,,,,"New Delhi, Delhi, India",$100M to $500M,1994-01-01,year,Amazon,https://www.linkedin.com/company/amazon-affiliate
Mozilla,https://www.crunchbase.com/organization/mozilla,5001-10000,Active,https://www.mozilla.org,mozspaces@mozilla.com,,20,21,7,5,,,,,"Internet Services, Software","Browser Extensions, Internet, Open Source, Software, Web Browsers",7,12,Electric Communication Technique,Scientific and technological services,10411321,USD,10411321,,,"Mountain View, California, United States",$100M to $500M,1998-03-31,day,"AOL, Mitchell Kapor",https://www.linkedin.com/company/mozilla-corporation
Spectrio,https://www.crunchbase.com/organization/spectrio,251-500,Active,http://www.spectrio.com,info@spectrio.com,+1-800-584-4653,,,,,,,,,"Advertising, Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Sales and Marketing, Software","Digital Marketing, Digital Signage, Enterprise Software, Marketing, Marketing Automation, Messaging, Mobile Devices, Software, Video Advertising, Web Browsers",5,21,Computing; Calculating,Scientific and technological services,17863734,USD,17863734,,,"Tampa, Florida, United States",$100M to $500M,1986-01-01,year,"Allos Ventures, Bertram Capital Management",http://www.linkedin.com/company/spectrio
