Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
T-Mobile,https://www.crunchbase.com/organization/t-mobile,10001+,Active,https://www.t-mobile.com,,+1 425-378-4000,9,9,3,1,,,,,"Hardware, Internet Services, Mobile","Internet, Mobile, Telecommunications, Wireless","2,936",228,Electric Communication Technique,Telecommunications,6484176258,USD,6484176258,,,"Bellevue, Washington, United States",$10B+,1994-09-18,day,"Mid Europa Partners, Lehman Brothers Venture Partners",http://www.linkedin.com/company/t-mobile
AT&T,https://www.crunchbase.com/organization/at-t,10001+,Active,https://www.att.com,contact@att.com,3145053140,50,57,11,15,,,,,"Hardware, Mobile, Other","Collaboration, Communications Infrastructure, Mobile, Service Industry, Telecommunications, Wireless",,,,,9839086170,USD,9839086170,,,"Dallas, Texas, United States",$10B+,1983-10-05,day,National Telecommunications and Information Administration,https://www.linkedin.com/company/at&t
TELUS,https://www.crunchbase.com/organization/telus,10001+,Active,http://www.telus.com,contacto@telus.mx,+1 (555) 500-0000,9,9,,1,,,,,"Hardware, Internet Services, Mobile","Internet, Mobile, Wireless",17,568,Electric Communication Technique,Telecommunications,1171886411,USD,1171886411,,,"Vancouver, British Columbia, Canada",$10B+,1990-01-01,year,BPEA EQT,http://www.linkedin.com/company/telus
Dish Network,https://www.crunchbase.com/organization/dish-network,10001+,Active,https://www.dish.com,press@dish.com,(888) 656-2461,1,1,,,,,,,"Hardware, Media and Entertainment, Mobile, Music and Audio","Audio, Satellite Communication, Telecommunications, Wireless",30,84,Electric Communication Technique,Education; entertainment,1359191350,USD,1359191350,,,"Englewood, Colorado, United States",$10B+,1980-01-01,year,,http://www.linkedin.com/company/dish-network
Rogers Communications,https://www.crunchbase.com/organization/rogers-communications-inc,10001+,Active,https://www.rogers.com,,+1 416 935 7777,10,11,2,,,,,,"Content and Publishing, Hardware, Internet Services, Media and Entertainment, Mobile","Internet, Media and Entertainment, Publishing, Telecommunications, Wireless",60,565,Electric Communication Technique,Telecommunications,,,,,,"Toronto, Ontario, Canada",$10B+,1960-01-01,year,"Government of Canada, Government of Ontario",http://www.linkedin.com/company/rogers-communications
BCE Inc (Bell Canada Enterprises),https://www.crunchbase.com/organization/bell-canada,10001+,Active,http://www.bce.ca,mobility@bell.ca,416-682-3861,3,3,1,,,,,,"Hardware, Information Technology, Internet Services, Mobile","Information and Communications Technology (ICT), Internet, Mobile, Telecommunications, Wireless",1,422,Electric Communication Technique,Telecommunications,2008606047,USD,2008606047,,,"Toronto, Ontario, Canada",$10B+,1880-01-01,year,,http://www.linkedin.com/company/bell
MTN Group,https://www.crunchbase.com/organization/mtn,10001+,Active,http://www.mtn.com,mtngrouppressoffice@mtn.co.za,+27119123000,7,9,4,,,,,,"Hardware, Mobile, Transportation","Delivery Service, Mobile, Telecommunications, Wireless",4,0,Computing; Calculating,,,,,,,"Johannesburg, NA - South Africa, South Africa",$10B+,1994-01-01,year,"Standard Chartered Bank, Stanbic IBTC Bank, Musa Capital, Citibank, Absa Bank Kenya",https://www.linkedin.com/company/165065
Lumen Technologies,https://www.crunchbase.com/organization/centurylink,10001+,Active,https://news.lumen.com/home,media@lumen.com,(186) 664-2044,4,4,1,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Privacy and Security","Big Data, Information Services, Infrastructure, Optical Communication, Security, Telecommunications, VoIP, Wireless",188,79,Electric Communication Technique,Telecommunications,1424268045,USD,1424268045,,,"Monroe, Louisiana, United States",$10B+,1968-01-01,day,,https://www.linkedin.com/company/lumentechnologies
China Mobile,https://www.crunchbase.com/organization/china-mobile,10001+,Active,http://www.chinamobileltd.com,info@cmi.chinamobile.com,+852 3121 8888,15,15,12,,,,,,"Hardware, Mobile","Mobile, Telecommunications, Wireless",24,3,Electric Communication Technique,"Paper, cardboard and goods made from these materials",,,,,,"Hong Kong, Hong Kong Island, Hong Kong",$10B+,1997-09-03,day,"JD.com, Charoen Pokphand Group, China Post, China Energy Engineering Corporation, State Grid Corporation of China",https://www.linkedin.com/company/china-mobile/
Southern Company,https://www.crunchbase.com/organization/southern-company,10001+,Active,http://www.southerncompany.com,,(404)506-5000,6,8,1,2,,,,,"Hardware, Mobile",Wireless,93,108,Physical Or Chemical Processes Or Apparatus In General,Advertising; business,758340947,USD,758340947,,,"Atlanta, Georgia, United States",$10B+,1912-01-01,year,,https://www.linkedin.com/company/southern-company
